hw_slp1	iast	pwk_L	pwk_pc	corr_n	corr_dicts	mahavy	dcs_lemma	mw_fuzzy	mw_fold_hit
avanDyaprasAda	avandhyaprasāda	212985	7-310-d	1	sch	0	0		0
apratipUjita	apratipūjita	211968	7-304-b	3	cae;sch;stc	0	1		0
cetaHparyAyajYAna	cetaḥparyāyajñāna	217365	7-342-a	1	sch	1	0		0
antarjAnukara	antarjānukara	211483	7-301-c	1	sch	0	0		0
atinanAmin	atinanāmin	210128	7-293-b	1	sch	0	0		0
avAntaraprakfti	avāntaraprakṛti	213099	7-311-c	1	sch	0	0		0
aDaScikura	adhaścikura	210538	7-295-d	1	sch	0	0		0
aviSArada	aviśārada	213232	7-312-b	2	sch;stc	0	1		0
atipraSAnta	atipraśānta	210164	7-293-c	3	cae;sch;stc	0	0		0
ASAwavI	āśāṭavī	214403	7-320-a	2	bhs;sch	0	0		0
tadbudDi	tadbuddhi	222404	7-388-a	3	cae;md;sch	0	0		0
merukadambaka	merukadambaka	220588	7-369-a	1	sch	0	0		0
abahumAna	abahumāna	212108	7-305-b	2	bhs;sch	0	0		0
azwANgahfdayadIpikA	aṣṭāṅgahṛdayadīpikā	213468	7-313-d	1	sch	0	0		0
aniScAyaka	aniścāyaka	211125	7-299-b	1	sch	0	0		0
anapisoma	anapisoma	210817	7-297-b	1	sch	0	0		0
ananyaSAsana	ananyaśāsana	210792	7-297-b	2	ap;sch	0	0		0
ativijYa	ativijña	210238	7-294-a	1	sch	0	0		0
atimanoraTa	atimanoratha	210188	7-293-c	1	sch	0	0		0
analIy	analīy	210882	7-297-d	0		0	0		0
aprakftisTa	aprakṛtistha	211919	7-304-a	3	sch;vcp;yat	0	0		0
alaMkAratilaka	alaṃkāratilaka	212844	7-309-d	2	acc;sch	0	0		0
anaBiDfzRuvant	anabhidhṛṣṇuvant	210831	7-297-c	1	sch	0	0		0
agnipiRqa	agnipiṇḍa	209719	7-290-d	1	sch	0	0		0
uBayagrAsarAhUdaya	ubhayagrāsarāhūdaya	215194	7-325-d	2	acc;sch	0	0		0
argalapASaka	argalapāśaka	212689	7-308-d	1	sch	0	0		0
arTayitar	arthayitar	212732	7-309-b	1	sch	0	0		0
aNgaloman	aṅgaloman	209836	7-291-c	1	sch	0	0		0
anirvedakara	anirvedakara	211111	7-299-a	1	sch	0	0		0
kUreSavijaya	kūreśavijaya	216299	7-333-d	2	acc;sch	0	0		0
