hw_slp1	iast	pwk_L	pwk_pc	pipeline_tier	corr_n	corr_dicts	mahavy	dcs_lemma	mw_fuzzy	friend_pw_pc	mw_exact_hit	mw_fold_hit	mw_stem_hit
AdyadvAra	ādyadvāra	214101	7-318-a	nearform0.94	1	sch	0	0	AyadvAra	1-181-a	0	0	0
arDamIlita	ardhamīlita	212786	7-309-c	NO-MATCH	1	sch	0	0			0	0	0
aBijvalana	abhijvalana	212188	7-305-d	nearform0.80	1	sch	0	0	avajvalana	1-121-b	0	0	0
atisTOlya	atisthaulya	210331	7-294-c	nearform0.82	1	sch	0	1	atilOlya	1-024-a	0	0	0
AraRyakaBawwaBAskara	āraṇyakabhaṭṭabhāskara	214282	7-319-b	NO-MATCH	1	sch	0	0			0	0	0
anAkroSaka	anākrośaka	210949	7-298-b	NO-MATCH	1	sch	0	0			0	0	0
ASramavAsaparvan	āśramavāsaparvan	214429	7-320-b	NO-MATCH	2	inm;sch	0	0			0	0	0
atyAsaNga	atyāsaṅga	210392	7-294-d	nearform0.84	3	md;sch;stc	0	0	aByAsaNgya	1-093-a	0	0	0
kAjava	kājava	215945	7-331-b	NO-MATCH	1	sch	0	1			0	0	0
avacitapUrva	avacitapūrva	212944	7-310-c	NO-MATCH	1	sch	0	0			0	0	0
uqudaSAPala	uḍudaśāphala	214730	7-322-c	NO-MATCH	2	acc;sch	0	0			0	0	0
apratikUlakft	apratikūlakṛt	211951	7-304-b	NO-MATCH	2	sch;stc	0	0			0	0	0
anuvilepana	anuvilepana	211345	7-300-c	NO-MATCH	1	sch	0	0			0	0	0
anupAlaBya	anupālabhya	211278	7-300-b	nearform0.95	2	md;sch	0	0	anupalABa	1-054-a	0	0	0
aDAtu	adhātu	210543	7-295-d	NO-MATCH	1	sch	0	1			0	0	0
aditikuRqalAharaRanAwaka	aditikuṇḍalāharaṇanāṭaka	210445	7-295-b	NO-MATCH	1	sch	0	0			0	0	0
anyonyajananavftti	anyonyajananavṛtti	211579	7-302-a	NO-MATCH	2	gst;sch	0	0			0	0	0
arTakAraRa	arthakāraṇa	212709	7-309-a	nearform0.95	0		0	0	arTakAraRAt	1-110-b	0	0	0
AkzaRika	ākṣaṇika	213888	7-316-d	nearform0.88	1	sch	0	0	Akarzika	1-158-b	0	0	0
anEzwika	anaiṣṭika	211431	7-301-a	NO-MATCH	1	sch	0	0			0	0	0
acarvayant	acarvayant	209878	7-291-d	NO-MATCH	1	sch	0	0			0	0	0
caturyoginIsaMpuwa	caturyoginīsaṃpuṭa	217168	7-340-c	NO-MATCH	1	sch	0	0			0	0	0
asaMprayuYjant	asaṃprayuñjant	213613	7-314-d	NO-MATCH	2	sch;stc	0	0			0	0	0
asitAlakARqA	asitālakāṇḍā	213664	7-315-b	NO-MATCH	1	sch	0	0			0	0	0
ajYAtalipsam	ajñātalipsam	209989	7-292-c	NO-MATCH	1	sch	0	0			0	0	0
apracCAdayant	apracchādayant	211931	7-304-a	NO-MATCH	1	sch	0	0			0	0	0
atipraveSa	atipraveśa	210163	7-293-c	nearform0.90	3	md;sch;stc	0	0	aBipraveSa	1-087-b	0	0	0
karaditi	karaditi	215763	7-329-d	NO-MATCH	1	sch	0	0			0	0	0
aticCedya	aticchedya	210087	7-293-a	NO-MATCH	2	sch;stc	0	0			0	0	0
karaNkAy	karaṅkāy	215754	7-329-d	nearform0.88	0		0	0	karakAyu	2-021-b	0	0	0
