hw_slp1	iast	src	pwk_L	pwk_pc	also_pwkvn	body_chars	mahavy	mahavy_refs	mw_stem_variant	mw_near	corr_n	corr_n_ex_mw72	corr_dicts	dcs_lemma	dcs_form
ABIrapallikA	ābhīrapallikā	pw	15098.1	1-179-a	0	23	0		0		2	2	lrv;pwg	0	0
ABizikta	ābhiṣikta	pw	15090	1-178-c	0	56	0		0	aBizikta:1.000	2	2	pwg;vcp	0	0
ADAraRamudra	ādhāraṇamudra	pw	214115	7-318-a	1	118	1	21	0		1	1	sch	0	0
ADArmika	ādhārmika	pw	14553	1-172-a	0	54	0		0	ADarmika:1.000	2	2	bur;pwg	0	0
AKAta	ākhāta	pw	206732	5-248-c	1	76	0		0	aKAta:1.000	9	8	armh;bur;lrv;mw72;pwg;sch;shs;wil;yat	0	0
AKaRqayitar	ākhaṇḍayitar	pw	13549	1-160-b	0	70	0		0		1	1	pwg	0	0
AKuPalA	ākhuphalā	pw	13574	1-160-c	0	119	0		0		1	1	ap	0	0
AKunaKI	ākhunakhī	pw	13571	1-160-c	0	81	0		0		0	0		0	0
APUka	āphūka	pw	15032.1	1-178-b	0	23	0		0		4	3	lrv;mw72;pwg;vcp	0	0
AQakIPala	āḍhakīphala	pw	14007	1-165-c	0	60	0		0		0	0		0	0
AQyaMBAvuka	āḍhyaṃbhāvuka	pw	14016.1	1-165-c	0	23	0		0	AQyamBAvuka:1.000	4	4	ap;ap90;lrv;sch	0	0
AQyaMBavizRu	āḍhyaṃbhaviṣṇu	pw	14016	1-165-c	0	78	0		0	AQyamBavizRu:1.000	4	4	ap;ap90;lrv;pwg	0	0
ARavay	āṇavay	pw	206759	5-248-c	1	129	0		0		2	2	pwg;sch	0	0
ARipratyARInirhArayoga	āṇipratyāṇīnirhārayoga	pw	214004	7-317-c	1	81	1	245,460	0		0	0		0	0
ARqIra	āṇḍīra	pw	14034	1-166-a	1	50	0		0	aRqIra:1.000	11	10	ap;lrv;mw72;pui;pwg;sch;shs;stc;vcp;wil;yat	0	0
ARqIvant	āṇḍīvant	pw	14035.1	1-166-a	0	23	0		0	ARqIvat:0.933	0	0		0	0
ARqIvata	āṇḍīvata	pw	14035	1-166-a	0	87	0		0	ARqIvat:0.933	2	2	pwg;vcp	0	0
ARqavant	āṇḍavant	pw	206761	5-248-c	1	108	0		0		2	2	pwg;sch	0	0
ASApurasaMBava	āśāpurasaṃbhava	pw	16100	1-190-c	0	81	0		0	ASApurasamBava:1.000	0	0		0	0
AScary	āścary	pw	16181	1-191-b	0	53	0		1	AScarya:0.923	2	2	pwg;sch	0	0
ASmaBArika	āśmabhārika	pw	16193	1-191-c	0	87	0		0		2	2	ap;pwg	0	0
ASmaki	āśmaki	pw	16190	1-191-c	0	67	0		0	aSmakI:1.000	1	1	pwg	0	0
ASmanya	āśmanya	pw	16192	1-191-c	0	52	0		0	asAmanya:0.933	2	2	pwg;vcp	0	0
ASudDya	āśuddhya	pw	16157	1-191-b	0	64	0		0	aSudDa:0.923	0	0		0	0
ASukarman	āśukarman	pw	16147	1-191-a	0	66	0		0	aSrukarman:0.947	1	1	pwg	0	0
ASvAvatAna	āśvāvatāna	pw	16269	1-192-c	0	80	0		0	aSvAvatAna:1.000	2	2	pwg;vcp	0	0
ASvatTIya	āśvatthīya	pw	16247	1-192-b	0	56	0		0	aSvatTIya:1.000	1	1	pwg	0	0
ASvatTikIya	āśvatthikīya	pw	16246	1-192-b	0	60	0		0		0	0		0	0
AYjanikya	āñjanikya	pw	13965	1-165-b	0	76	0		0	AjAnikya:0.941	2	2	pwg;vcp	0	0
AcArAtikrama	ācārātikrama	pw	13794	1-163-b	0	69	0		0		2	2	armh;pwg	0	0
AcCAdanaPala	ācchādanaphala	pw	13831	1-163-c	0	84	0		0		0	0		0	0
AcCowa	ācchoṭa	pw	13838	1-164-a	0	92	0		0		1	1	sch	0	0
AdIDyaka	ādīdhyaka	pw	14486	1-171-b	0	98	0		0		1	1	pwg	0	0
AdIDyana	ādīdhyana	pw	14486.1	1-171-b	0	23	0		0	aDIyAna:0.933	0	0		0	0
AdarSamuKa	ādarśamukha	pw	214068	7-317-d	1	115	1	167	0		2	2	bhs;sch	0	0
AdeSanAprAtihArya	ādeśanāprātihārya	pw	214097	7-318-a	1	146	1	16	0		1	1	sch	0	0
Adftatva	ādṛtatva	pw	206785	5-249-a	1	107	0		0		1	1	sch	0	0
Adivfkza	ādivṛkṣa	pw	14474	1-171-a	0	89	0		0		0	0		0	0
AdyavasAna	ādyavasāna	pw	14519	1-171-c	0	102	0		0	aDyavasAna:1.000	0	0		0	0
AgnimAruti	āgnimāruti	pw	13675	1-161-c	0	97	0		1	agnimAruti:1.000	0	0		0	0
Ahananavant	āhananavant	pw	16521	1-196-b	0	71	0		0		1	1	pwg	0	0
AharacelA	āharacelā	pw	16526.1	1-196-b	0	23	0		0		1	1	ap	0	0
AhicCattrIya	āhicchattrīya	pw	16559	1-196-c	0	62	0		0		0	0		0	0
Ahikam	āhikam	pw	16556	1-196-c	0	40	0		1		2	1	mw72;pwg	0	0
AhitTa	āhittha	pw	16567	1-197-a	0	53	0		0		1	1	pwg	0	0
Ahvaray	āhvaray	pw	16614	1-197-b	0	73	0		0	Ahvara:0.923	1	1	pwg	0	0
AjYApanIya	ājñāpanīya	pw	213978	7-317-b	1	112	1	20,27	0		1	1	sch	0	0
AjYeya	ājñeya	pw	213980	7-317-b	1	90	1	20	0	ajYeya:1.000	2	2	bhs;sch	0	0
AjakarORa	ājakarauṇa	pw	13845	1-164-a	0	73	0		0	AjakaroRa:1.000	1	1	pwg	0	0
AjinIya	ājinīya	pw	13895	1-164-b	0	52	0		0		2	2	pwg;vcp	0	0
AkASAsaNgavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	pw	213861	7-316-c	1	133	1	21	0		2	2	bhs;sch	0	0
AkASajananin	ākāśajananin	pw	13412	1-158-c	0	60	0		0	AkASajananI:0.957	5	5	ap;pwg;shs;wil;yat	0	0
AkASapawala	ākāśapaṭala	pw	13415	1-159-a	0	67	0		0		0	0		0	0
AkASasParaRa	ākāśaspharaṇa	pw	213859	7-316-c	1	118	1	21	0		2	2	bhs;sch	0	0
AkArABinirhAra	ākārābhinirhāra	pw	213849	7-316-c	1	100	0		0		2	2	bhs;sch	0	0
AkArAnapakAra	ākārānapakāra	pw	213848	7-316-c	1	119	1	21	0		1	1	sch	0	0
AkArakaraBa	ākārakarabha	pw	13390	1-158-c	0	71	0		0		1	1	sch	0	0
AkArika	ākārika	pw	13394	1-158-c	0	65	0		0	Akarika:1.000	1	1	pwg	0	0
AkalI	ākalī	pw	13370	1-158-b	0	74	0		1	akali:1.000	0	0		0	0
Akampya	ākampya	pw	213834	7-316-b	1	113	1	24	0	akampya:1.000	2	2	bhs;sch	0	0
AkarAkara	ākarākara	pw	13352	1-158-a	0	69	0		0	akzarakara:0.947	0	0		0	0
AkaraRA	ākaraṇā	pw	13350.1	1-158-a	0	23	0		0	AkAraRA:1.000	1	1	ap90	0	0
AkaraRa	ākaraṇa	pw	13350	1-158-a	0	95	0		0	AkAraRa:1.000	2	1	mw72;pwg	0	0
Akfzwimant	ākṛṣṭimant	pw	213868	7-316-c	1	99	1	143	0	Akfzwiman:0.947	2	2	bhs;sch	0	0
AlabDI	ālabdhī	pw	15790.1	1-186-c	0	23	0		1		0	0		0	0
AlabDi	ālabdhi	pw	15790	1-186-c	0	74	0		1		2	2	pwg;vcp	0	0
AlajI	ālajī	pw	15785.1	1-186-c	0	23	0		1	Alaji:1.000	0	0		0	0
AlakzI	ālakṣī	pw	15783.1	1-186-c	0	23	0		1	Alakzi:1.000	0	0		0	0
Alasyavant	ālasyavant	pw	206813	5-249-b	1	95	0		0	Alasyavat:0.947	1	1	sch	0	0
AliNgi	āliṅgi	pw	15850	1-187-c	0	92	0		1	AliNgin:0.923	0	0		0	0
Alindaka	ālindaka	pw	15856.1	1-187-c	0	23	0		0	alindaka:1.000	3	3	pwg;sch;stc	0	0
AmIla	āmīla	pw	15203	1-180-a	0	76	0		1		1	1	pwg	0	0
AmaGnI	āmaghnī	pw	15130	1-179-b	0	66	0		0		0	0		0	0
Amala	āmala	pw	15168	1-179-c	0	81	0		0	amala:1.000	2	2	pwg;sch	0	0
Amantrayitar	āmantrayitar	pw	15145	1-179-b	0	78	0		0		1	1	pwg	0	0
AmapattrikA	āmapattrikā	pw	15150	1-179-c	0	77	0		0		0	0		0	0
AmiDI	āmidhī	pw	15193	1-180-a	0	129	0		0		0	0		0	0
AmizakiMcitka	āmiṣakiṃcitka	pw	214234	7-319-a	1	138	1	261,26	0		1	1	sch	0	0
AmraganDaDfk	āmragandhadhṛk	pw	15248.2	1-180-c	0	23	0		0		0	0		0	0
AmraganDaDft	āmragandhadhṛt	pw	15248.3	1-180-c	0	23	0		0		0	0		0	0
AmraganDakft	āmragandhakṛt	pw	15248.1	1-180-c	0	23	0		0		0	0		0	0
AmratIrTa	āmratīrtha	pw	214246	7-319-a	1	115	1	167	0		2	2	bhs;sch	0	0
AmuzyakulIna	āmuṣyakulīna	pw	15213	1-180-a	0	42	0		0		1	1	vcp	0	0
Amuzyakulaka	āmuṣyakulaka	pw	15212	1-180-a	0	115	0		0		3	2	mw72;pwg;vcp	0	0
Amuzyaputraka	āmuṣyaputraka	pw	15214	1-180-a	0	115	0		0	AmuzyaputrikA:0.923	1	1	pwg	0	0
AnApAnasmfti	ānāpānasmṛti	pw	214136	7-318-b	1	121	1	53	0		1	1	sch	0	0
Anaki	ānaki	pw	14611	1-172-c	0	34	0		1		0	0		0	0
Anayuga	ānayuga	pw	14697	1-173-c	0	57	0		0		1	1	pwg	0	0
AntarAhati	āntarāhati	pw	14811	1-175-a	0	105	0		0		0	0		0	0
AntarIpa	āntarīpa	pw	14813	1-175-a	0	69	0		0	antarIpa:1.000	0	0		0	0
Anulepika	ānulepika	pw	14768	1-174-b	0	58	0		0	anulepikA:1.000	4	4	ap;ap90;pwg;vcp	0	0
Anumati	ānumati	pw	14759	1-174-b	0	102	0		1	anumati:1.000	0	0		0	0
Anuseya	ānuseya	pw	14788	1-174-c	0	89	0		0	anusEnya:0.933	1	1	pwg	0	0
AnuzaRqaka	ānuṣaṇḍaka	pw	14780.1	1-174-c	0	23	0		0		0	0		0	0
ApAri	āpāri	pw	14929	1-177-a	0	95	0		0	apARi:1.000	0	0		0	0
Apaccika	āpaccika	pw	14852	1-176-b	0	69	0		0		3	3	ap;pwg;vcp	0	0
Apakziti	āpakṣiti	pw	14849	1-176-b	0	102	0		0		2	2	pwg;vcp	0	0
Apanika	āpanika	pw	14880	1-176-c	0	143	0		0	apAnika:1.000	7	6	lrv;mw72;pwg;shs;vcp;wil;yat	0	0
ApiSalyA	āpiśalyā	pw	14942	1-177-a	0	52	0		0	ApiSala:0.933	0	0		0	0
ArAkara	ārākara	pw	15467	1-183-a	0	65	0		0	agrakara:0.933	0	0		0	0
ArAmavallikA	ārāmavallikā	pw	15495	1-183-b	0	91	0		0		0	0		0	0
ArDadroRika	ārdhadroṇika	pw	15674.3	1-185-b	0	23	0		0	ArDadrORika:1.000	0	0		0	0
ArDapura	ārdhapura	pw	15679	1-185-c	0	80	0		0	arDapUrRa:0.941	1	1	pwg	0	0
ArDavAhanika	ārdhavāhanika	pw	15684	1-185-c	0	69	0		0		1	1	pwg	0	0
ArDavAhika	ārdhavāhika	pw	15685	1-185-c	0	112	0		0		0	0		0	0
ArISvIya	ārīśvīya	pw	15514	1-183-c	0	81	0		0		0	0		0	0
ArIhaRaka	ārīhaṇaka	pw	15515	1-183-c	0	88	0		0		2	2	pwg;vcp	0	0
AraRyamudrA	āraṇyamudrā	pw	15431	1-182-c	0	78	0		0		0	0		0	0
AragvAyanabanDakI	āragvāyanabandhakī	pw	15410	1-182-b	0	76	0		0		1	1	pwg	0	0
ArambaRaka	ārambaṇaka	pw	214284	7-319-b	1	95	1	226	0		2	2	bhs;sch	0	0
AramuKI	āramukhī	pw	15448	1-183-a	0	90	0		0		0	0		0	0
Araraka	āraraka	pw	15460	1-183-a	0	55	0		0	ararakA:1.000	1	1	pwg	0	0
Ararakya	ārarakya	pw	15461	1-183-a	0	70	0		0	ararakA:0.933	1	1	pwg	0	0
Arcana	ārcana	pw	15599	1-184-c	0	80	0		0	arcana:1.000	0	0		0	0
ArdrapadI	ārdrapadī	pw	15657	1-185-b	0	71	0		1		2	2	ap;vcp	0	0
ArhantI	ārhantī	pw	15777	1-186-c	0	104	0		0	ahanti:0.923	4	4	ap;lrv;pwg;vcp	0	0
Ari	āri	pw	214296	7-319-b	1	104	0		1	ARi:1.000	1	1	sch	0	0
AriSmIya	āriśmīya	pw	15511	1-183-c	0	82	0		0		1	1	pwg	0	0
