sup7_headword	verdict	pw_L	pw_pc	corr_n	corr_dicts	mahavy_refs	mw_exact_hit	mw_fold_hit	mw_stem_hit
AvirBUya	confirmed-missing	572453	1-297-c	1	sch		0	0	0
aparAditya	confirmed-missing	570347	1-291-a	2	acc;sch		0	0	0
amanasikAra	confirmed-missing	608441	7-307-b	2	bhs;sch	68	0	0	0
ativyapahAra	confirmed-missing	568547	1-285-a	1	sch		0	0	0
kalandakanivApa	confirmed-missing	620390	7-330-c	2	bhs;sch	193	0	0	0
anicita	confirmed-missing	569588	1-288-c	2	sch;stc		0	0	0
alpavijYAna	confirmed-missing	580829	3-254-a	1	sch		0	0	0
atijawADara	confirmed-missing	568370	1-284-b	1	sch		0	0	0
anativAdin	confirmed-missing	12339	1-039-a	1	sch		0	0	0
Anfhata	confirmed-missing	581311	3-255-c	1	sch		0	0	0
gacCanirgata	confirmed-missing	582731	3-260-c	1	sch		0	0	0
anativalita	confirmed-missing	569117	1-287-a	4	ben;md;sch;stc		0	0	0
apiSAca	confirmed-missing	606620	7-303-d	2	sch;stc		0	0	0
ekapuzkara	confirmed-missing	576770	2-296-b	2	sch;vcp		0	0	0
asamudAcAra	confirmed-missing	612646	7-314-d	1	sch		0	0	0
aheli	confirmed-missing	572093	1-296-c	1	sch		0	0	0
anAsAdayamAna	confirmed-missing	603764	7-298-d	1	sch		0	0	0
aBAnupatana	confirmed-missing	607595	7-305-c	2	sch;stc		0	0	0
aDOta	confirmed-missing	11380	1-036-a	5	cae;ccs;md;sch;stc		0	0	0
alpakleSa	confirmed-missing	641929	7-386-b	2	cae;sch		0	0	0
aviSoDana	confirmed-missing	580913	3-254-b	1	sch		0	0	0
aBAvaka	confirmed-missing	584827	4-294-a	1	sch		0	0	0
jawApura	confirmed-missing	626134	7-342-c	2	bhs;sch		0	0	0
aprayojya	confirmed-missing	584731	4-293-c	1	sch		0	0	0
anyonyABiBavavftti	confirmed-missing	605660	7-302-a	2	gst;sch		0	0	0
acCidrayAman	confirmed-missing	4466	1-014-b	1	sch		0	0	0
evaMsaMjYin	confirmed-missing	619168	7-328-a	1	sch	15	0	0	0
atyantABeda	confirmed-missing	601247	7-294-d	1	sch		0	0	0
kiMnibanDana	confirmed-missing	582412	3-259-c	1	sch		0	0	0
Adicakrin	confirmed-missing	572225	1-297-a	1	sch		0	0	0
