slp1	iast
ABA	ābhā
ABIrI	ābhīrī
ABIrapallI	ābhīrapallī
ABerI	ābherī
ABiDA	ābhidhā
ADmAnI	ādhmānī
ADyA	ādhyā
AGA	āghā
AKukarRI	ākhukarṇī
AKuparRI	ākhuparṇī
AKuparRikA	ākhuparṇikā
AKuvizahA	ākhuviṣahā
AKyA	ākhyā
AKyAyikA	ākhyāyikā
AQakI	āḍhakī
ASA	āśā
ASAQA	āśāḍhā
ASI	āśī
ASaMsA	āśaṃsā
ASaMsitA	āśaṃsitā
ASaNkA	āśaṅkā
ASekuwI	āśekuṭī
ASitA	āśitā
ASupatrI	āśupatrī
ASvayujI	āśvayujī
AcArI	ācārī
AcAryyA	ācāryyā
AcAryyARI	ācāryyāṇī
AdAnI	ādānī
AdeSI	ādeśī
AdezwA	ādeṣṭā
AdityaBaktA	ādityabhaktā
AdityapuzpikA	ādityapuṣpikā
AdyA	ādyā
AgAmI	āgāmī
AgamAvarttA	āgamāvarttā
AgneyI	āgneyī
AgrahAyaRI	āgrahāyaṇī
AhAryyaSoBA	āhāryyaśobhā
AhopuruzikA	āhopuruṣikā
AhvA	āhvā
AjYA	ājñā
AjYAkArI	ājñākārī
AkANkzA	ākāṅkṣā
AkASagaNgA	ākāśagaṅgā
AkASajananI	ākāśajananī
AkASamAMsI	ākāśamāṃsī
AkASamUlI	ākāśamūlī
AkASarakzI	ākāśarakṣī
AkASavARI	ākāśavāṇī
AkASavallI	ākāśavallī
AkAlikI	ākālikī
AkarzaRI	ākarṣaṇī
AkfticCatrA	ākṛticchatrā
AkzAraRA	ākṣāraṇā
AlI	ālī
AlamByA	ālambhyā
AliNgI	āliṅgī
AlukI	ālukī
AmIkzA	āmīkṣā
AmalakI	āmalakī
AmayAvI	āmayāvī
AmikzA	āmikṣā
AmizASI	āmiṣāśī
AmizI	āmiṣī
AmlA	āmlā
AmlIkA	āmlīkā
AmlikA	āmlikā
AmodI	āmodī
AmrapezI	āmrapeṣī
AnandA	ānandā
AnandI	ānandī
AnilI	ānilī
AntikA	āntikā
AnupUrvvI	ānupūrvvī
AnuviDitsA	ānuvidhitsā
AnvIkzikI	ānvīkṣikī
ApadA	āpadā
ApagA	āpagā
ApannasattvA	āpannasattvā
ApastamBinI	āpastambhinī
ApfcCA	āpṛcchā
AplavavratI	āplavavratī
AplutavratI	āplutavratī
AptA	āptā
ArA	ārā
ArADanA	ārādhanā
ArAmaSItalA	ārāmaśītalā
ArGA	ārghā
AraRyamudgA	āraṇyamudgā
AravI	āravī
ArdrA	ārdrā
ArdramAzA	ārdramāṣā
ArdrapawI	ārdrapaṭī
ArdrikA	ārdrikā
ArogyaSAlA	ārogyaśālā
ArttavI	ārttavī
AryyA	āryyā
AryyakA	āryyakā
AryyikA	āryyikā
ArzaBI	ārṣabhī
AsPotA	āsphotā
AsPowA	āsphoṭā
AsPowanI	āsphoṭanī
AsTA	āsthā
AsTAnI	āsthānī
AsaNginI	āsaṅginī
AsanA	āsanā
AsanI	āsanī
AsandI	āsandī
AstIkajananI	āstīkajananī
AsurI	āsurī
AsyA	āsyā
AtApI	ātāpī
AtAyI	ātāyī
AtatAyI	ātatāyī
AtmA	ātmā
AtmASI	ātmāśī
AtmaGAtI	ātmaghātī
AtmaSalyA	ātmaśalyā
AtmaSlAGA	ātmaślāghā
AtmagrAhI	ātmagrāhī
AtmaguptA	ātmaguptā
AtmahA	ātmahā
AtmahatyA	ātmahatyā
AtmajA	ātmajā
AtmajanmA	ātmajanmā
AtmamUlI	ātmamūlī
AtmarakzA	ātmarakṣā
AtmodBavA	ātmodbhavā
AtreyI	ātreyī
AtreyikA	ātreyikā
AvADA	āvādhā
AvAhanI	āvāhanī
AvalI	āvalī
AvarttakI	āvarttakī
AvarttanI	āvarttanī
AvarttinI	āvarttinī
AvegI	āvegī
AyasI	āyasī
AyatacCadA	āyatacchadā
AyuDaDarmmiRI	āyudhadharmmiṇī
AyurvvedI	āyurvvedī
AzAQA	āṣāḍhā
AzAQI	āṣāḍhī
BARqArI	bhāṇḍārī
BAdrapadA	bhādrapadā
BAgIraTI	bhāgīrathī
BAgineyI	bhāgineyī
BAjI	bhājī
BAmI	bhāmī
BAminI	bhāminī
BAnuPalA	bhānuphalā
BAnumatI	bhānumatī
BArI	bhārī
BArOhI	bhārauhī
BAradvAjI	bhāradvājī
BAratI	bhāratī
BAravAhI	bhāravāhī
BArdvAjI	bhārdvājī
BArgI	bhārgī
BArgavI	bhārgavī
BAryyA	bhāryyā
BAryyApatI	bhāryyāpatī
BAsantI	bhāsantī
BAskarezwA	bhāskareṣṭā
BAsurapuzpA	bhāsurapuṣpā
BAvAlInA	bhāvālīnā
BAvAnugA	bhāvānugā
BAvI	bhāvī
BAvanA	bhāvanā
BAvinI	bhāvinī
BEkzajIvikA	bhaikṣajīvikā
BEmI	bhaimī
BEravI	bhairavī
BI	bhī
BIlaBUzaRA	bhīlabhūṣaṇā
BImA	bhīmā
BImAdevI	bhīmādevī
BImEkAdaSI	bhīmaikādaśī
BImaraTI	bhīmarathī
BIrupatrI	bhīrupatrī
