a_slp1	a_iast	b_slp1	b_iast
ASAQA	āśāḍhā	AzAQA	āṣāḍhā
ASAQaH	āśāḍhaḥ	AzAQaH	āṣāḍhaḥ
AbaliH	ābaliḥ	AvaliH	āvaliḥ
AnAyaH	ānāyaḥ	AnAyyaH	ānāyyaḥ
ApracCanaM	āpracchanaṃ	ApracCannaM	āpracchannaṃ
AsanaH	āsanaḥ	AsannaH	āsannaḥ
AvftaH	āvṛtaḥ	AvfttaH	āvṛttaḥ
AyataH	āyataḥ	AyattaH	āyattaḥ
AyatiH	āyatiḥ	AyattiH	āyattiḥ
BAlUkaH	bhālūkaḥ	BAllUkaH	bhāllūkaḥ
BAllukaH	bhāllukaḥ	BAlukaH	bhālukaḥ
Bala	bhala	Balla	bhalla
BawaH	bhaṭaḥ	BawwaH	bhaṭṭaḥ
BuvanakoSa	bhuvanakośa	Buvanakoza	bhuvanakoṣa
CAtraH	chātraḥ	CAttraH	chāttraḥ
CatraM	chatraṃ	CattraM	chattraṃ
DAyaH	dhāyaḥ	DAyyaH	dhāyyaḥ
DOtakOSeyaM	dhautakauśeyaṃ	DOtakOzeyaM	dhautakauṣeyaṃ
DUSa	dhūśa	DUza	dhūṣa
Gawa	ghaṭa	Gawwa	ghaṭṭa
GawaH	ghaṭaḥ	GawwaH	ghaṭṭaḥ
GawanA	ghaṭanā	GawwanA	ghaṭṭanā
ISA	īśā	IzA	īṣā
ISAdantaH	īśādantaḥ	IzAdantaH	īṣādantaḥ
ISa	īśa	Iza	īṣa
ISaH	īśaḥ	IzaH	īṣaḥ
JalarI	jhalarī	JallarI	jhallarī
KalaH	khalaḥ	KallaH	khallaḥ
Karbba	kharbba	Karvva	kharvva
KarbbaH	kharbbaḥ	KarvvaH	kharvvaḥ
Kawa	khaṭa	Kawwa	khaṭṭa
KawikA	khaṭikā	KawwikA	khaṭṭikā
KawikaH	khaṭikaḥ	KawwikaH	khaṭṭikaḥ
PalakI	phalakī	PallakI	phallakī
RiSa	ṇiśa	Riza	ṇiṣa
SUra	śūra	zUra	ṣūra
Sa	śa	za	ṣa
SaH	śaḥ	zaH	ṣaḥ
SaRQaH	śaṇḍhaḥ	zaRQaH	ṣaṇḍhaḥ
SaRqaH	śaṇḍaḥ	zaRqaH	ṣaṇḍaḥ
SaSa	śaśa	Saza	śaṣa
SabalaH	śabalaḥ	SavalaH	śavalaḥ
Saca	śaca	zaca	ṣaca
Sada	śada	zada	ṣada
Sala	śala	Salla	śalla
Sala	śala	zala	ṣala
SalaH	śalaḥ	SallaH	śallaḥ
SalaM	śalaṃ	SallaM	śallaṃ
SalakaH	śalakaḥ	SallakaH	śallakaḥ
Sama	śama	zama	ṣama
Samba	śamba	zamba	ṣamba
SambukaH	śambukaḥ	SambukkaH	śambukkaḥ
Sapa	śapa	zapa	ṣapa
Sarvva	śarvva	zarvva	ṣarvva
Sasa	śasa	zasa	ṣasa
Sasta	śasta	zasta	ṣasta
Sawa	śaṭa	zawa	ṣaṭa
Si	śi	zi	ṣi
Sila	śila	zila	ṣila
SivAbaliH	śivābaliḥ	SivAvaliH	śivāvaliḥ
So	śo	zo	ṣo
SunBa	śunbha	zunBa	ṣunbha
Svala	śvala	Svalla	śvalla
Svida	śvida	zvida	ṣvida
aBISuH	abhīśuḥ	aBIzuH	abhīṣuḥ
aRqakoSaH	aṇḍakośaḥ	aRqakozaH	aṇḍakoṣaḥ
aSa	aśa	aza	aṣa
abADaM	abādhaṃ	avADaM	avādhaṃ
aba	aba	ava	ava
aboDaH	abodhaḥ	avoDaH	avodhaḥ
anaH	anaḥ	annaH	annaḥ
anutaraM	anutaraṃ	anuttaraM	anuttaraṃ
anyAyaH	anyāyaḥ	anyAyyaH	anyāyyaḥ
apAvftaM	apāvṛtaṃ	apAvfttaM	apāvṛttaṃ
aqa	aḍa	aqqa	aḍḍa
arbba	arbba	arvva	arvva
asamAnaM	asamānaṃ	asammAnaM	asammānaṃ
awanaM	aṭanaṃ	awwanaM	aṭṭanaṃ
bADA	bādhā	vADA	vādhā
bADa	bādha	vADa	vādha
bADaH	bādhaḥ	vADaH	vādhaḥ
bADakaH	bādhakaḥ	vADakaH	vādhakaḥ
bADanaM	bādhanaṃ	vADanaM	vādhanaṃ
bADitaH	bādhitaḥ	vADitaH	vādhitaḥ
bARA	bāṇā	vARA	vāṇā
bARASrayaH	bāṇāśrayaḥ	vARASrayaH	vāṇāśrayaḥ
bARAriH	bāṇāriḥ	vARAriH	vāṇāriḥ
bARAsanaM	bāṇāsanaṃ	vARAsanaM	vāṇāsanaṃ
bARI	bāṇī	vARI	vāṇī
bARaBawwaH	bāṇabhaṭṭaḥ	vARaBawwaH	vāṇabhaṭṭaḥ
bARaH	bāṇaḥ	vARaH	vāṇaḥ
bARadaRqaH	bāṇadaṇḍaḥ	vARadaRqaH	vāṇadaṇḍaḥ
bARagaNgA	bāṇagaṅgā	vARagaNgA	vāṇagaṅgā
bARahA	bāṇahā	vARahA	vāṇahā
bARaliNgaM	bāṇaliṅgaṃ	vARaliNgaM	vāṇaliṅgaṃ
bARapuNKA	bāṇapuṅkhā	vARapuNKA	vāṇapuṅkhā
bARapuraM	bāṇapuraṃ	vARapuraM	vāṇapuraṃ
bARasutA	bāṇasutā	vARasutA	vāṇasutā
bARavAraH	bāṇavāraḥ	vARavAraH	vāṇavāraḥ
bARayudDaM	bāṇayuddhaṃ	vARayudDaM	vāṇayuddhaṃ
bARiH	bāṇiḥ	vARiH	vāṇiḥ
bARijaH	bāṇijaḥ	vARijaH	vāṇijaḥ
bARijikaH	bāṇijikaḥ	vARijikaH	vāṇijikaḥ
bARijyA	bāṇijyā	vARijyA	vāṇijyā
bARijyaM	bāṇijyaṃ	vARijyaM	vāṇijyaṃ
bARinI	bāṇinī	vARinI	vāṇinī
bAdarA	bādarā	vAdarA	vādarā
bAdaraH	bādaraḥ	vAdaraH	vādaraḥ
bAdaraM	bādaraṃ	vAdaraM	vādaraṃ
bAhA	bāhā	vAhA	vāhā
bAhAbAhavi	bāhābāhavi	vAhAvAhavi	vāhāvāhavi
bAhaH	bāhaḥ	vAhaH	vāhaḥ
bAhuH	bāhuḥ	vAhuH	vāhuḥ
bAhulaH	bāhulaḥ	vAhulaH	vāhulaḥ
bAhulyaM	bāhulyaṃ	vAhulyaM	vāhulyaṃ
bAhumUlaM	bāhumūlaṃ	vAhumUlaM	vāhumūlaṃ
bAhyendriyaM	bāhyendriyaṃ	vAhyendriyaM	vāhyendriyaṃ
bAlUkaH	bālūkaḥ	vAlUkaH	vālūkaḥ
bAlaH	bālaḥ	vAlaH	vālaḥ
bAlakaH	bālakaḥ	vAlakaH	vālakaḥ
bAleyaH	bāleyaḥ	vAleyaH	vāleyaḥ
bAlmIkiH	bālmīkiḥ	vAlmIkiH	vālmīkiḥ
bAluH	bāluḥ	vAluH	vāluḥ
bAluNgI	bāluṅgī	vAluNgI	vāluṅgī
bAluNgikA	bāluṅgikā	vAluNgikA	vāluṅgikā
bAluNkI	bāluṅkī	vAluNkI	vāluṅkī
bAlukA	bālukā	vAlukA	vālukā
bAlukAgaqaH	bālukāgaḍaḥ	vAlukAgaqaH	vālukāgaḍaḥ
bAlukAmayaM	bālukāmayaṃ	vAlukAmayaM	vālukāmayaṃ
bAlukApraBA	bālukāprabhā	vAlukApraBA	vālukāprabhā
bAlukAsvedaH	bālukāsvedaḥ	vAlukAsvedaH	vālukāsvedaḥ
bAlukAtmikA	bālukātmikā	vAlukAtmikA	vālukātmikā
bAlukAyantraM	bālukāyantraṃ	vAlukAyantraM	vālukāyantraṃ
bAlukI	bālukī	vAlukI	vālukī
bAlukaH	bālukaḥ	vAlukaH	vālukaḥ
bAlukaM	bālukaṃ	vAlukaM	vālukaṃ
bAqa	bāḍa	vAqa	vāḍa
bAqavAgniH	bāḍavāgniḥ	vAqavAgniH	vāḍavāgniḥ
bAqavAgryaH	bāḍavāgryaḥ	vAqavAgryaH	vāḍavāgryaḥ
bAqavaH	bāḍavaḥ	vAqavaH	vāḍavaḥ
bAqavaM	bāḍavaṃ	vAqavaM	vāḍavaṃ
bAqaveyO	bāḍaveyau	vAqaveyO	vāḍaveyau
bAqavyaM	bāḍavyaṃ	vAqavyaM	vāḍavyaṃ
bArakIraH	bārakīraḥ	vArakIraH	vārakīraḥ
bArhadraTaH	bārhadrathaḥ	vArhadraTaH	vārhadrathaḥ
bArhadraTiH	bārhadrathiḥ	vArhadraTiH	vārhadrathiḥ
bArhataM	bārhataṃ	vArhataM	vārhataṃ
bAspaH	bāspaḥ	vAspaH	vāspaḥ
bEjikaH	baijikaḥ	vEjikaH	vaijikaḥ
bEjikaM	baijikaṃ	vEjikaM	vaijikaṃ
bEqAlavratI	baiḍālavratī	vEqAlavratI	vaiḍālavratī
bEqAlavrataM	baiḍālavrataṃ	vEqAlavrataM	vaiḍālavrataṃ
bEqAlavratiH	baiḍālavratiḥ	vEqAlavratiH	vaiḍālavratiḥ
bEqAlavratikaH	baiḍālavratikaḥ	vEqAlavratikaH	vaiḍālavratikaḥ
