dict_a	dict_b	shared	union	jaccard
AP	BHS	2009	104966	0.0191
AP	BUR	7258	100783	0.0720
AP	CAE	12938	114003	0.1135
AP	CCS	9983	107636	0.0927
AP	GRA	3733	96270	0.0388
AP	INM	2227	96122	0.0232
AP	MD	8277	100721	0.0822
AP	MW	38210	244771	0.1561
AP	PD	2951	190906	0.0155
AP	PWG	23733	171248	0.1386
AP	PWK	26668	213568	0.1249
AP	SCH	4444	112664	0.0394
AP	SKD	18915	110794	0.1707
AP	VCP	15801	121729	0.1298
AP	VEI	892	91707	0.0097
BHS	BUR	1610	35616	0.0452
BHS	CAE	2465	53661	0.0459
BHS	CCS	2200	44604	0.0493
BHS	GRA	622	28566	0.0218
BHS	INM	971	26563	0.0366
BHS	MD	1806	36377	0.0496
BHS	MW	6609	205557	0.0322
BHS	PD	886	122156	0.0073
BHS	PWG	4837	119329	0.0405
BHS	PWK	6156	163265	0.0377
BHS	SCH	2201	44092	0.0499
BHS	SKD	635	58259	0.0109
BHS	VCP	2655	64060	0.0414
BHS	VEI	357	21427	0.0167
BUR	CAE	7453	49739	0.1498
BUR	CCS	6846	41024	0.1669
BUR	GRA	2639	27615	0.0956
BUR	INM	1705	26895	0.0634
BUR	MD	6447	32802	0.1965
BUR	MW	13919	199313	0.0698
BUR	PD	686	123422	0.0056
BUR	PWG	12539	112693	0.1113
BUR	PWK	12569	157918	0.0796
BUR	SCH	2844	44515	0.0639
BUR	SKD	2107	57853	0.0364
BUR	VCP	10221	57560	0.1776
BUR	VEI	1151	21699	0.0530
CAE	CCS	26836	39934	0.6720
CAE	GRA	6580	42574	0.1546
CAE	INM	3281	44219	0.0742
CAE	MD	13200	44949	0.2937
CAE	MW	34672	197460	0.1756
CAE	PD	1634	141374	0.0116
CAE	PWG	28772	115360	0.2494
CAE	PWK	33835	155552	0.2175
CAE	SCH	4771	61488	0.0776
CAE	SKD	1685	77175	0.0218
CAE	VCP	14219	72462	0.1962
CAE	VEI	2116	39634	0.0534
CCS	GRA	5701	34131	0.1670
CCS	INM	2780	35398	0.0785
CCS	MD	11918	36909	0.3229
CCS	MW	25869	196941	0.1314
CCS	PD	1102	132584	0.0083
CCS	PWG	23839	110971	0.2148
CCS	PWK	27156	152909	0.1776
CCS	SCH	3950	52987	0.0745
CCS	SKD	1526	68012	0.0224
CCS	VCP	11934	65425	0.1824
CCS	VEI	1919	30509	0.0629
GRA	INM	918	19644	0.0467
GRA	MD	4107	27104	0.1515
GRA	MW	9752	195442	0.0499
GRA	PD	561	115509	0.0049
GRA	PWG	8961	108233	0.0828
GRA	PWK	9645	152804	0.0631
GRA	SCH	1225	38096	0.0322
GRA	SKD	713	51209	0.0139
GRA	VCP	3987	55756	0.0715
GRA	VEI	1505	13307	0.1131
INM	MD	2046	27511	0.0744
INM	MW	6795	196745	0.0345
INM	PD	262	114154	0.0023
INM	PWG	5562	109978	0.0506
INM	PWK	5903	154892	0.0381
INM	SCH	1019	36648	0.0278
INM	SKD	637	49631	0.0128
INM	VCP	3763	54326	0.0693
INM	VEI	659	12499	0.0527
MD	MW	18638	195551	0.0953
MD	PD	1751	123314	0.0142
MD	PWG	15188	111001	0.1368
MD	PWK	17834	153610	0.1161
MD	SCH	3779	44537	0.0849
MD	SKD	1613	59304	0.0272
MD	VCP	9455	59283	0.1595
MD	VEI	1581	22226	0.0711
MW	PD	7237	291811	0.0248
MW	PWG	94782	205390	0.4615
MW	PWK	129004	216423	0.5961
MW	SCH	14378	207921	0.0692
MW	SKD	8855	226045	0.0392
MW	VCP	39063	203658	0.1918
MW	VEI	3168	194622	0.0163
PD	PWG	4095	206953	0.0198
PD	PWK	7225	249078	0.0290
PD	SCH	2913	130262	0.0224
PD	SKD	267	145509	0.0018
PD	VCP	2280	151317	0.0151
PD	VEI	67	108599	0.0006
PWG	PWK	99456	157971	0.6296
PWG	SCH	7652	126647	0.0604
PWG	SKD	5518	141382	0.0390
PWG	VCP	34639	120082	0.2885
PWG	VEI	2949	106841	0.0276
PWK	SCH	18260	161294	0.1132
PWK	SKD	5654	186501	0.0303
PWK	VCP	35265	164711	0.2141
PWK	VEI	3017	152028	0.0198
SCH	SKD	971	68056	0.0143
SCH	VCP	5295	71553	0.0740
SCH	VEI	544	31373	0.0173
SKD	VCP	6941	82508	0.0841
SKD	VEI	343	44175	0.0078
VCP	VEI	1819	50520	0.0360
