slp1	n_dicts	dicts
A	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
E	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
F	7	AP BUR MW PWG PWK SKD VCP
I	10	AP BHS BUR INM MW PWG PWK SCH SKD VCP
O	7	AP BUR MW PWG PWK SKD VCP
U	9	BUR CAE CCS MD MW PWG PWK SKD VCP
X	7	AP BUR MW PWG PWK SKD VCP
a	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
e	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
f	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
i	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
n	1	PWK
o	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
u	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
x	7	AP BUR MW PWG PWK SKD VCP
AC	1	PWG
AH	2	AP SKD
AM	2	BUR SKD
AN	5	CCS MD PWK SKD VCP
AS	1	MW
Ac	4	CCS MD MW PWK
Af	1	MW
Ai	1	MW
Aj	1	MW
Ak	1	SCH
Al	1	PWG
Am	9	AP CAE CCS MD MW PWG PWK SCH VCP
An	1	PWG
Ap	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Ar	7	CAE CCS GRA MD MW PWG PWK
As	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
At	9	AP CAE CCS GRA MD MW PWG PWK VCP
Aw	3	MW PWG PWK
Az	2	PWG PWK
BA	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
BF	5	AP BUR MW SKD VCP
BI	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
BU	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
Ba	9	BUR CAE CCS MD MW PWG PWK SKD VCP
Bf	9	AP BUR CAE CCS GRA MD MW SKD VCP
Bo	7	BUR CAE CCS MD MW PWG PWK
Bu	7	CAE CCS GRA MD MW PWG PWK
CA	9	AP CAE CCS MD MW PWG PWK SKD VCP
Ca	8	AP BUR MW PWG PWK SCH SKD VCP
Ci	4	MW PWG PWK VCP
Co	6	AP BUR MW PWG SKD VCP
DA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
DF	2	BUR MW
DI	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
DU	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
Da	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
De	6	AP BUR MD MW SKD VCP
Df	8	AP BUR CAE GRA MD MW SKD VCP
Di	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Du	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ED	1	PWG
EH	2	AP SKD
Es	1	BUR
Et	1	BUR
FH	1	SKD
GA	5	AP MW PWK SKD VCP
Ga	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Gf	7	AP BUR CAE MD MW SKD VCP
Gi	1	BUR
Gu	8	AP BUR MD MW PWG PWK SKD VCP
IH	2	AP SKD
IK	3	AP MW PWK
IL	2	BUR MW
IS	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
Ih	9	AP BUR CAE CCS GRA MD MW PWG PWK
