fem_slp1	fem_iast	masc_slp1	masc_iast	ending	note
AKaRqalA	ākhaṇḍalā	AKaRqala	ākhaṇḍala	ā	confirm same lexeme (e.g. āśā≠āśa)
ASA	āśā	ASa	āśa	ā	confirm same lexeme (e.g. āśā≠āśa)
ASApurA	āśāpurā	ASApura	āśāpura	ā	confirm same lexeme (e.g. āśā≠āśa)
ASI	āśī	ASin	āśin	ī	confirm same lexeme (e.g. āśā≠āśa)
ASIvizA	āśīviṣā	ASIviza	āśīviṣa	ā	confirm same lexeme (e.g. āśā≠āśa)
ASaMsA	āśaṃsā	ASaMsa	āśaṃsa	ā	confirm same lexeme (e.g. āśā≠āśa)
ASlezA	āśleṣā	ASleza	āśleṣa	ā	confirm same lexeme (e.g. āśā≠āśa)
ASrezA	āśreṣā	ASreza	āśreṣa	ā	confirm same lexeme (e.g. āśā≠āśa)
AbADA	ābādhā	AbADa	ābādha	ā	confirm same lexeme (e.g. āśā≠āśa)
AcArI	ācārī	AcArin	ācārin	ī	confirm same lexeme (e.g. āśā≠āśa)
AcAryA	ācāryā	AcArya	ācārya	ā	confirm same lexeme (e.g. āśā≠āśa)
AdityA	ādityā	Aditya	āditya	ā	confirm same lexeme (e.g. āśā≠āśa)
AdyA	ādyā	Adya	ādya	ā	confirm same lexeme (e.g. āśā≠āśa)
AgnIDrA	āgnīdhrā	AgnIDra	āgnīdhra	ā	confirm same lexeme (e.g. āśā≠āśa)
AgneyEndrA	āgneyaindrā	AgneyEndra	āgneyaindra	ā	confirm same lexeme (e.g. āśā≠āśa)
AhvA	āhvā	Ahva	āhva	ā	confirm same lexeme (e.g. āśā≠āśa)
AjA	ājā	Aja	āja	ā	confirm same lexeme (e.g. āśā≠āśa)
AjAnA	ājānā	AjAna	ājāna	ā	confirm same lexeme (e.g. āśā≠āśa)
AkANkzA	ākāṅkṣā	AkANkza	ākāṅkṣa	ā	confirm same lexeme (e.g. āśā≠āśa)
AkASajananI	ākāśajananī	AkASajananin	ākāśajananin	ī	confirm same lexeme (e.g. āśā≠āśa)
AkAlikA	ākālikā	AkAlika	ākālika	ā	confirm same lexeme (e.g. āśā≠āśa)
AkrayA	ākrayā	Akraya	ākraya	ā	confirm same lexeme (e.g. āśā≠āśa)
AlApA	ālāpā	AlApa	ālāpa	ā	confirm same lexeme (e.g. āśā≠āśa)
AlI	ālī	Alin	ālin	ī	confirm same lexeme (e.g. āśā≠āśa)
AlambA	ālambā	Alamba	ālamba	ā	confirm same lexeme (e.g. āśā≠āśa)
AmbazWyA	āmbaṣṭhyā	AmbazWya	āmbaṣṭhya	ā	confirm same lexeme (e.g. āśā≠āśa)
