acc_L	ncc_id	match_tier	score	acc_match_key	ncc_match_key	provenance
924	1_272_b_4403	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
924	1_272_b_4404	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
924	1_272_b_4405	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
30077	1_272_b_4403	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
30077	1_272_b_4404	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
30077	1_272_b_4405	C	0.6	abhayadanasara	abhaya	agent-proposed:reject:C-person_vs_work-c
926	1_272_b_4403	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
926	1_272_b_4404	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
926	1_272_b_4405	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
39349	1_272_b_4403	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
39349	1_272_b_4404	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
39349	1_272_b_4405	C	0.6	abhayapradana	abhaya	agent-proposed:reject:C-person_vs_work-c
926	1_279_a_4469	C	0.6	abhayapradana	abhayaprada	agent-proposed:reject:C-person_vs_work-c
39349	1_279_a_4469	C	0.6	abhayapradana	abhayaprada	agent-proposed:reject:C-person_vs_work-c
41932	1_315_a_4836	C	0.6	abhedakarika	abhedakarikah2	agent-proposed:approve:same_author_prefix-alltiers
933.1	1_292_b_4564	C	0.6	abhidhanacintamaninamamala	abhidhana	agent-proposed:reject:C-prefix_extension_unsupported-c
933.1	1_292_b_4565	C	0.6	abhidhanacintamaninamamala	abhidhana	agent-proposed:reject:C-prefix_extension_unsupported-c
933.1	1_294_a_4572	C	0.6	abhidhanacintamaninamamala	abhidhanacintamaninamamalabijakani	agent-proposed:reject:C-prefix_extension_unsupported-c
933.1	1_294_a_4571	C	0.6	abhidhanacintamaninamamala	abhidhanacintamaninamamalaparisista	agent-proposed:reject:C-commentary_extension-c
31513	1_298_b_4624	C	0.6	abhinavanarayanacampu	abhinava	agent-proposed:reject:C-person_vs_work-c
31513	1_298_b_4625	C	0.6	abhinavanarayanacampu	abhinava	agent-proposed:reject:C-person_vs_work-c
968	1_298_b_4624	C	0.6	abhinavaramayanakavya	abhinava	agent-proposed:reject:C-person_vs_work-c
968	1_298_b_4625	C	0.6	abhinavaramayanakavya	abhinava	agent-proposed:reject:C-person_vs_work-c
30084	1_298_b_4624	C	0.6	abhinavaramayanakavya	abhinava	agent-proposed:reject:C-person_vs_work-c
30084	1_298_b_4625	C	0.6	abhinavaramayanakavya	abhinava	agent-proposed:reject:C-person_vs_work-c
968	1_306_a_4699	C	0.6	abhinavaramayanakavya	abhinavaramayana	agent-proposed:reject:C-different_author-c
30084	1_306_a_4699	C	0.6	abhinavaramayanakavya	abhinavaramayana	agent-proposed:reject:C-prefix_extension_unsupported-c
973	1_298_b_4624	C	0.6	abhinavasukracarya	abhinava	agent-proposed:reject:C-person_vs_work-c
973	1_298_b_4625	C	0.6	abhinavasukracarya	abhinava	agent-proposed:reject:C-person_vs_work-c
990	1_311_a_4769	C	0.6	abhisravana	abhisravana,abhisravanamantra,abhisravanasukta	agent-proposed:reject:C-prefix_extension_unsupported-c
990	1_311_a_4773	C	0.6	abhisravana	abhisravanadimantrah2	agent-proposed:reject:C-prefix_extension_unsupported-c
990	1_311_a_4770	C	0.6	abhisravana	abhisravanamantra	agent-proposed:reject:C-manual_extension_unsupported-c
990	1_311_a_4772	C	0.6	abhisravana	abhisravanamantranukramanika	agent-proposed:reject:C-manual_extension_unsupported-c
990	1_311_a_4771	C	0.6	abhisravana	abhisravanamantrasamgraha	agent-proposed:reject:C-manual_extension_unsupported-c
180	1_69_a_1195	C	0.6	acaladeva	acaladevatapratistha	agent-proposed:reject:C-prefix_extension_unsupported-c
41738	1_73_b_1268	C	0.6	acyutakrsna	acyutakrsnatirtha	agent-proposed:reject:C-person_vs_work-c
207	1_74_b_1279	C	0.6	acyutaramabhyudaya	acyutarama	agent-proposed:reject:C-person_vs_work-c
