headword_iast	source_code	form_key
ḷa	S	ḷa
kṛpanīḷa		kṛpanīḷa
aheḷa	A	aheḷa
vaḥa	R	vaḥa
ajimḥa	I	ajimḥa
acintia	H	acintia
india	P	india
bāḷa	M	bāḷa
nibāḷa	M	nibāḷa
sambāḷa	M	sambāḷa
mīḷa	M	mīḷa
ajamīḷa	M	ajamīḷa
ājamīḷa	M	ājamīḷa
sahasramīḷa	M	sahasramīḷa
purumīḷa	V	purumīḷa
paurumīḷa	M	paurumīḷa
sumīḷa	V	sumīḷa
svarmīḷa	M	svarmīḷa
arīḷa	M	arīḷa
vyūḷa	M	vyūḷa
dṛḷa	M	dṛḷa
rathoḷa	M	rathoḷa
ā		ā
paṛā	N	paṛā
ghūrṅiā	N	ghūrniā
phumphuā		phumphuā
i		i
āi	M	āi
reui		reui
acchāi	M	acchāi
dādābhāi	G	dādābhāi
nāhnābhāi	M	nāhnābhāi
rājasāi		rājasāi
ī		ī
hūṅgarāī	G	hūngarāī
subhruī	I	subhruī
vikṛī	R	vikṛī
dhṛtarāṣṭṛī	I	dhṛtarāṣṭṛī
dhoī	G	dhoī
u		u
vīḷu	G	vīḷu
hareu	G	hareu
jaḷu	M	jaḷu
mīḷu	M	mīḷu
ū		ū
maṅaū		manaū
manaū		manaū
ṛ		ṛ
āṛ	M	āṛ
upaṛ	M	upaṛ
bhaṛ	G	bhaṛ
sāḷṛ	M	sāḷṛ
pravoḷṛ	M	pravoḷṛ
ṝ	A	ṝ
ḷ		ḷ
īḷ	B	īḷ
ḹ		ḹ
e		e
preḷe	B	preḷe
bāḷe	M	bāḷe
ai		ai
o		o
au		au
āṃ	B	ām
humāuṃ	M	humāum
ūṃ	M	ūm
ūṃṃ		ūnm
sayephakhāṃṃ	G	sayephakhānm
sāristhākhāṃṃ		sāristhākhānm
ghrāṃṃ		ghrānm
mukhullocakaṃ	H	mukhullocakam
yenicchakaṃ	H	yenicchakam
tāvattakaṃ	H	tāvattakam
nṛpakaṃ	H	nṛpakam
sākaṃ	M	sākam
ātyantikaṃ	B	ātyantikam
āgāmikaṃ		āgāmikam
bhārikaṃ	G	bhārikam
pāribhāṣikaṃ	G	pāribhāṣikam
abhyaṅgaṃ		abhyangam
yatoadhikaraṅaṃ	H	yatoadhikaranam
saugandhikāharaṅaṃ	N	saugandhikāharanam
tāmravaṅaṃ		tāmravanam
sutṛṣṅaṃ	G	sutṛṣnam
tīkṣṅaṃ	H	tīkṣnam
vācaṃ	R	vācam
abjaṃ	S	abjam
ṭaṃ	R	ṭam
ṭhaṭhaṃ	M	ṭhaṭham
mahairaṅḍaṃ	G	mahairanḍam
anurāgataṃ	H	anurāgatam
pataṃ	M	patam
prātaṃ	H	prātam
samādhitaṃ	H	samādhitam
saṃmitaṃ	H	sanmitam
kṛtaṃ	H	kṛtam
anṛtaṃ	P	anṛtam
śṛtaṃ	M	śṛtam
anuśrotaṃ	H	anuśrotam
naktaṃ	M	naktam
alaktaṃ		alaktam
khattaṃ	H	khattam
kṣattaṃ	H	kṣattam
kuttaṃ	H	kuttam
