n	tag	word	slp1	form_key	norm	in_union16	in_union15	u16_n_dicts	u16_dicts
1		ūṃṃ	UMM	ūmm		0	0		
2	G	sayephakhāṃṃ	sayePaKAMM	sayephakhāmm		0	0		
3		sāristhākhāṃṃ	sArisTAKAMM	sāristhākhāmm		0	0		
4		ghrāṃṃ	GrAMM	ghrāmm		0	0		
5		a	a	a		1	1	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
6	H	acintia	acintia	acintia		1	1	1	BHS
7	P	india	india	india		0	0		
8		ā	A	ā		1	1	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
9	N	paṛā	pafA	paṛā		0	0		
10	N	ghūrṇiā	GUrRiA	ghūrniā		1	1	1	INM
11		phumphuā	PumPuA	phumphuā		1	1	4	AP MW PWG PWK
12		i	i	i		1	1	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
13		reui	reui	reui		1	1	3	MW PWG PWK
14	M	acchāi	acCAi	acchāi		1	1	1	MW
15	G	dādābhāi	dAdABAi	dādābhāi		1	1	3	MW PWG PWK
16	M	nāhnābhāi	nAhnABAi	nāhnābhāi		1	1	1	MW
17	M	āi	Ai	āi		1	1	1	MW
18		rājasāi	rAjasAi	rājasāi		1	1	3	MW PWG PWK
19		ī	I	ī		1	1	10	AP BHS BUR INM MW PWG PWK SCH SKD VCP
20	G	hūṅgarāī	hUNgarAI	hūngarāī		1	1	1	PWG
21	I	subhruī	suBruI	subhruī		0	0		
22	R	vikṛī	vikfI	vikṛī		0	0		
23	I	dhṛtarāṣṭṛī	DftarAzwfI	dhṛtarāṣṭṛī		0	0		
24	G	dhoī	DoI	dhoī		1	1	1	PWG
25		u	u	u		1	1	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
26	G	hareu	hareu	hareu		1	1	1	PWG
27		ū	U	ū		1	1	9	BUR CAE CCS MD MW PWG PWK SKD VCP
28		maṇaū	maRaU	manaū		1	1	3	MW PWG PWK
29		manaū	manaU	manaū		1	1	3	MW PWG PWK
30		ṛ	f	ṛ		1	1	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
31	M	upaṛ	upaf	upaṛ		1	1	1	MW
32	G	bhaṛ	Baf	bhaṛ		0	0		
33	M	āṛ	Af	āṛ		1	1	1	MW
34		ṝ	F	ṝ		1	1	7	AP BUR MW PWG PWK SKD VCP
35		ḹ	X	ḹ		1	1	7	AP BUR MW PWG PWK SKD VCP
36		e	e	e		1	1	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
37		ai	E	ai		1	1	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
38		o	o	o		1	1	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
39		au	O	au		1	1	7	AP BUR MW PWG PWK SKD VCP
40	M	humāuṃ	humAuM	humāum		1	1	1	MW
41	H	mukhullo--cakaṃ	muKullocakaM	mukhullocakam	hyph	1	1	1	BHS
42	H	yenicchakaṃ	yenicCakaM	yenicchakam		1	1	1	BHS
43	H	tāvattakaṃ	tAvattakaM	tāvattakam		1	1	1	BHS
44	H	nṛpakaṃ	nfpakaM	nṛpakam		1	1	1	BHS
45	M	sākaṃ	sAkaM	sākam		1	1	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
46	B	ātyantikaṃ	AtyantikaM	ātyantikam		0	0		
47		āgāmikaṃ	AgAmikaM	āgāmikam		0	0		
48	G	bhārikaṃ	BArikaM	bhārikam		0	0		
49	G	pāribhāṣikaṃ	pAriBAzikaM	pāribhāṣikam		1	1	2	PWG SKD
50	A	mūkaṃ	mUkaM	mūkam		0	0		
51		abhyaṅgaṃ	aByaNgaM	abhyangam		0	0		
52	M	vācaṃ	vAcaM	vācam		1	1	1	MW
53	S	abjaṃ	abjaM	abjam		1	1	1	AP
54	R	ṭaṃ	waM	ṭam		1	1	1	SKD
55	M	ṭhaṭhaṃ	WaWaM	ṭhaṭham		1	1	2	MW SKD
56	G	mahairaṇḍaṃ	mahEraRqaM	mahairanḍam		1	1	1	PWG
