key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
aMSumatPalA	am2s4umatphala1	aṃśumatphalā	anśumatphalā	fiction	13	001-1	SCH-fiction-3147_cases.xml	0
akata	akata	akata	akata	fiction	27	001-2	SCH-fiction-3147_cases.xml	0
akaSApa	Akas4a1pa	akaśāpa	akaśāpa	fiction	77	002-1	SCH-fiction-3147_cases.xml	0
agArdaBaraTika	aga1rdabharathika	agārdabharathika	agārdabharathika	fiction	378	006-1	SCH-fiction-3147_cases.xml	0
agfhapati	agr2hapati	agṛhapati	agṛhapati	fiction	395	006-2	SCH-fiction-3147_cases.xml	0
agopa	agopa	agopa	agopa	fiction	405	006-3	SCH-fiction-3147_cases.xml	0
agozpada	agos2pada	agoṣpada	agoṣpada	fiction	411	006-3	SCH-fiction-3147_cases.xml	0
agniSiKa	agnis4ikha	agniśikha	agniśikha	fiction	460	007-2	SCH-fiction-3147_cases.xml	0
agraBojana	agrabhojana	agrabhojana	agrabhojana	fiction	513	008-1	SCH-fiction-3147_cases.xml	0
agrAmyakanda	agra1myakanda	agrāmyakanda	agrāmyakanda	fiction	530	008-2	SCH-fiction-3147_cases.xml	0
acArmaRa	aca1rman2a	acārmaṇa	acārmana	fiction	708	010-3	SCH-fiction-3147_cases.xml	0
acintyaja	acintyaja	acintyaja	acintyaja	fiction	714	010-3	SCH-fiction-3147_cases.xml	0
acCamaRqaka	acchaman2d2aka	acchamaṇḍaka	acchamanḍaka	fiction	741	011-1	SCH-fiction-3147_cases.xml	0
ajakranda	Ajakranda	ajakranda	ajakranda	fiction	778	011-3	SCH-fiction-3147_cases.xml	0
ajanASam	ajana1s4am	ajanāśam	ajanāśam	fiction	794	011-3	SCH-fiction-3147_cases.xml	0
ajabanDu	Ajabandhu	ajabandhu	ajabandhu	fiction	798	011-3	SCH-fiction-3147_cases.xml	0
aRqAraka	An2d2a1raka	aṇḍāraka	anḍāraka	fiction	918	013-2	SCH-fiction-3147_cases.xml	0
atimahiman	atimahiman	atimahiman	atimahiman	fiction	1178	017-1	SCH-fiction-3147_cases.xml	0
