key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
a	a	a	a	fiction	1	001-1	SCH-fiction-3147_cases.xml	1
aMSumatPalA	am2s4umatphala1	aṃśumatphalā	anśumatphalā	fiction	13	001-1	SCH-fiction-3147_cases.xml	0
akata	akata	akata	akata	fiction	27	001-2	SCH-fiction-3147_cases.xml	0
akaSApa	Akas4a1pa	akaśāpa	akaśāpa	fiction	77	002-1	SCH-fiction-3147_cases.xml	0
akArzRya	aka1rs2n2ya	akārṣṇya	akārṣnya	fiction	99	002-2	SCH-fiction-3147_cases.xml	1
akti	akti	akti	akti	fiction	185	003-3	SCH-fiction-3147_cases.xml	1
akza	aks2a	akṣa	akṣa	fiction	213	004-1	SCH-fiction-3147_cases.xml	1
akzapAtana	aks2apa1tana	akṣapātana	akṣapātana	fiction	233	004-2	SCH-fiction-3147_cases.xml	1
akzaBAra	aks2abha1ra	akṣabhāra	akṣabhāra	fiction	234	004-2	SCH-fiction-3147_cases.xml	1
akzara	aks2ara	akṣara	akṣara	fiction	246	004-2	SCH-fiction-3147_cases.xml	1
akzinikARam	aks2inika1n2am	akṣinikāṇam	akṣinikānam	fiction	288	005-1	SCH-fiction-3147_cases.xml	1
akzIba	aks2i1ba	akṣība	akṣība	fiction	296	005-1	SCH-fiction-3147_cases.xml	1
akzowa	aks2ot2a	akṣoṭa	akṣoṭa	fiction	309	005-2	SCH-fiction-3147_cases.xml	1
agadaMkAra	agadam2ka1ra	agadaṃkāra	agadankāra	fiction	348	005-3	SCH-fiction-3147_cases.xml	1
agaru	agaru	agaru	agaru	fiction	357	006-1	SCH-fiction-3147_cases.xml	1
agastI	agasti1	agastī	agastī	fiction	363	006-1	SCH-fiction-3147_cases.xml	1
agArdaBaraTika	aga1rdabharathika	agārdabharathika	agārdabharathika	fiction	378	006-1	SCH-fiction-3147_cases.xml	0
agfhapati	agr2hapati	agṛhapati	agṛhapati	fiction	395	006-2	SCH-fiction-3147_cases.xml	0
agfhya	a4gr2hya	agṛhya	agṛhya	fiction	398	006-2	SCH-fiction-3147_cases.xml	1
agopa	agopa	agopa	agopa	fiction	405	006-3	SCH-fiction-3147_cases.xml	0
agozpada	agos2pada	agoṣpada	agoṣpada	fiction	411	006-3	SCH-fiction-3147_cases.xml	0
agnikoRa	agnikon2a	agnikoṇa	agnikona	fiction	417	006-3	SCH-fiction-3147_cases.xml	1
agnijanman	agnijanman	agnijanman	agnijanman	fiction	425	006-3	SCH-fiction-3147_cases.xml	1
