lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	1	I	13	0	a	exact	a	PWG-key1	1	a|an	0	bound-prefix-or-stem|routes-disagree
modern-IE	2	I	13	0	a	exact	a	PWG-key1	1	a|an	0	bound-prefix-or-stem|routes-disagree
modern-IE	3	I	13	0	a	exact	a	PWG-key1	1	a|an	0	bound-prefix-or-stem|routes-disagree
modern-IE	4	I	13	0	aMSaH	sandhi/diacritic-normalized	aMSa	rule	1	aMSa	1	
modern-IE	5	I	13	0	aMSuH	sandhi/diacritic-normalized	aMSu	rule	1	aMSu	1	
modern-IE	6	I	13	0	aMsaDrI	exact	aMsaDrI	PWG-key1	1			
modern-IE	7	I	14	0	aMsalaH	sandhi/diacritic-normalized	aMsala	rule	1	aMsala	1	
modern-IE	8	I	14	0	aMsaH	sandhi/diacritic-normalized	aMsa	rule	1	aMsa	1	
modern-IE	9	I	14	0	aMhatiH	sandhi/diacritic-normalized	aMhati	rule	1	aMhati	1	
modern-IE	10	I	14	0	aMhatiH	sandhi/diacritic-normalized	aMhati	rule	1	aMhati	1	
modern-IE	10	I	14	1	aMhatI	exact	aMhatI	PWG-key1	1			
modern-IE	10	I	14	2	aMhitiH	sandhi/diacritic-normalized	aMhiti	rule	1			
modern-IE	11	I	14	0	aMhaH	inflected-form->stem	aMhas	dcs	1	aMhas	same-route	
modern-IE	12	I	14	0	aMhuH	sandhi/diacritic-normalized	aMhu	rule	1			
modern-IE	13	I	14	0	aMhriH	sandhi/diacritic-normalized	aMhri	rule	1			
modern-IE	14	I	14	0	akam	sandhi/diacritic-normalized	aka	rule	1	aka	1	
modern-IE	15	I	15	0	akavaH	sandhi/diacritic-normalized	akava	rule	1			
modern-IE	16	I	15	0	akUpAraH	sandhi/diacritic-normalized	akUpAra	rule	1	akUpAra	1	
modern-IE	17	I	15	0	akkA	exact	akkA	PWG-key1	1			
modern-IE	18	I	15	0	aktA	exact	aktA	PWG-key1	1	aktA	1	
modern-IE	19	I	15	0	aktuH	sandhi/diacritic-normalized	aktu	rule	1	aktu	1	
modern-IE	20	I	15	0	aktuH	sandhi/diacritic-normalized	aktu	rule	1	aktu	1	
modern-IE	21	I	15	0	aknaH	sandhi/diacritic-normalized	akna	rule	1	aYc	0	routes-disagree
modern-IE	22	I	15	0	akraH	sandhi/diacritic-normalized	akra	rule	1	akra	1	
modern-IE	23	I	15-16	0	akraH	sandhi/diacritic-normalized	akra	rule	1	akra	1	
modern-IE	24	I	16	0	akrUraH	sandhi/diacritic-normalized	akrUra	rule	1	akrUra	1	
modern-IE	25	I	16	0	akzati	inflected-form->stem	akz	vidyut	1	akz	same-route	
modern-IE	26	I	16	0	akzaH	sandhi/diacritic-normalized	akza	rule	1	akza	1	
modern-IE	27	I	16	0	akzaH	sandhi/diacritic-normalized	akza	rule	1	akza	1	
modern-IE	28	I	16	0	akzi	exact	akzi	PWG-key1	1	akza|akzi	0	routes-disagree
modern-IE	29	I	16	0	akzipat	exact	akzipat	PWG-key1	1	kzip	0	routes-disagree
modern-IE	30	I	16	0	akzuH	sandhi/diacritic-normalized	akzu	rule	1			
modern-IE	31	I	16	0	akzowaH	sandhi/diacritic-normalized	akzowa	rule	1	akzowa	1	
modern-IE	32	I	16-17	0	akzOhiRI	exact	akzOhiRI	PWG-key1	1	akzOhiRI	1	
modern-IE	33	I	17	0	akzRoti	unmatched			0			
modern-IE	34	I	17	0	aKawwiH	sandhi/diacritic-normalized	aKawwi	rule	1			
modern-IE	35	I	17	0	aKKalIkftya	unmatched			0			
modern-IE	36	I	17	0	agataH	sandhi/diacritic-normalized	agata	rule	1			
modern-IE	37	I	17	0	agaruH	sandhi/diacritic-normalized	agaru	rule	1	agaru	1	
modern-IE	38	I	17	0	agastiH	sandhi/diacritic-normalized	agasti	rule	1	agasti	1	
modern-IE	39	I	17	0	agaH	sandhi/diacritic-normalized	aga	rule	1			
modern-IE	40	I	17	0	agaH	sandhi/diacritic-normalized	aga	rule	1			
modern-IE	41	I	17	0	agAram	sandhi/diacritic-normalized	agAra	rule	1	agAra	1	
modern-IE	42	I	17-18	0	aguruH	sandhi/diacritic-normalized	aguru	rule	1	aguru	1	
modern-IE	43	I	18	0	agDaH	unmatched			0			
modern-IE	44	I	18	0	agniH	sandhi/diacritic-normalized	agni	rule	1	agni	1	
modern-IE	45	I	18	0	agram	sandhi/diacritic-normalized	agra	rule	1	agra	1	
modern-IE	46	I	18	0	agrimaH	sandhi/diacritic-normalized	agrima	rule	1			
modern-IE	47	I	18	0	agruH	sandhi/diacritic-normalized	agru	rule	1			
modern-IE	48	I	19	0	agregUH	sandhi/diacritic-normalized	agregU	rule	1			
modern-IE	49	I	19	0	agryaH	sandhi/diacritic-normalized	agrya	rule	1	agrya	1	
modern-IE	50	I	19	0	aGavAn	unmatched			0			
modern-IE	51	I	19	0	aGaH	sandhi/diacritic-normalized	aGa	rule	1	aGa	1	
modern-IE	52	I	19	0	aGnyaH	sandhi/diacritic-normalized	aGnya	rule	1	aGnya	1	
modern-IE	53	I	19	0	aNkatiH	sandhi/diacritic-normalized	aNkati	rule	1			
