# Renou register glossary — bauddha (Buddhist Sanskrit)
# Generated by `renou_glossary.py bauddha --format tsv --out ../glossaries/bauddha_glossary.tsv --title Renou register glossary — bauddha (Buddhist Sanskrit)` from the Renou-tagged dictionaries (PWG, MW, PW, AP, AP90, BEN, SCH, BHS). Derived data — regenerate, do not hand-edit.
headword	states	provenance	dicts	senses
a	I·II·III·IV·V	dcs+ls	AP,AP90,BEN,BHS,MW,PW,PWG,SCH	36
abaddhapralāpa		ls	BHS	1
abahumāna	V	ls	BHS	1
abala	I·III·IV·V	dcs+ls	AP,AP90,BHS,MW,PW,PWG	14
abalaṃkartar		ls	BHS	1
abalā	III·IV·V	dcs	AP,MW	4
abhaiṣajya	V	ls	BHS,MW	2
abhakṣya	I·III·IV·V	dcs	AP,AP90,MW,PW,PWG	5
abhauti	V	ls	BHS	1
abhautika	IV·V	dcs	AP,AP90,MW,PW	4
abhava	III·IV·V	dcs	MW,PW,PWG,SCH	6
abhavya	III·IV·V	dcs+ls	AP,AP90,BHS,MW,PW,SCH	12
abhavyatā		ls	BHS	1
abhaya	I·III·IV·V	dcs+ls	AP,AP90,BHS,MW,PW,PWG,SCH	24
abhayadeva		ls	BHS	1
abhayagirivāsin	V	ls	BHS,MW	2
abhayaprada	III·V	dcs	AP,MW,PW,PWG	4
abhayapurā		ls	BHS	1
abhayaṃdada	V	ls	BHS,MW	2
abhayaṃkarā	V	ls	BHS	1
abhayā	III·IV·V	ls	BHS	1
abhayākaragupta	V	ls	BHS	1
abhedya	III·IV·V	dcs	AP,AP90,MW,PW,PWG,SCH	12
abhi	I·II·III·IV·V	dcs	AP,AP90,BEN,MW,PW,PWG,SCH	17
abhibhakṣaṇa		ls	BHS	1
abhibhavana	III·IV·V	dcs+ls	BEN,MW,PW,PWG	7
abhibhavati		ls	BHS	1
abhibhinatti	V	ls	BHS	1
abhibhvāyatana	V	ls	BHS	1
abhibhā	I·III·IV·V	ls	MW	1
abhibhāna	V	ls	BHS	1
abhibhāvana	IV·V	dcs+ls	BHS,MW	2
abhibhāṣ	I·III·IV·V	dcs	AP,AP90,MW	3
abhibhāṣati	V	ls	BHS	1
abhibhū	I·III·IV·V	dcs+ls	AP,AP90,BHS,MW,PW,PWG	7
abhibhūyayaśa		ls	BHS	1
abhibudhyati		ls	BHS	1
abhichāda		ls	BHS	1
abhichādana		ls	BHS	1
abhichādayati	V	ls	BHS	1
abhidakṣiṇati		ls	BHS	1
abhidarśanīya	V	ls	BHS	1
abhidaśati	V	ls	BHS	1
abhidevaghoṣaghuṣṭa		ls	BHS	1
abhidharma	V	dcs+ls	BHS,MW,PW,PWG,SCH	7
abhidharmakośa	V	dcs	MW	1
abhidharmasaṃyukta	V	ls	BHS	1
abhidheya	II·III·IV·V	dcs	AP,AP90,MW,PW,PWG	10
abhidhyā	III·IV·V	dcs+ls	AP,AP90,BHS,MW,PW,PWG,SCH	9
abhidhyālu	V	ls	BHS,MW	2
