# State glossary: words attested ONLY in Vedic (I) — pure archaisms
# Generated by `renou_glossary.py I --state-only --exclude-state II,III,IV,V --format tsv --out ../glossaries/vedic_only_archaisms.tsv --title State glossary: words attested ONLY in Vedic (I) — pure archaisms` from the Renou-tagged dictionaries (PWG, MW, PW, AP, AP90, BEN, SCH, BHS). Derived data — regenerate, do not hand-edit.
headword	states	provenance	dicts	senses
abahirdhā	I	ls	MW	1
abaladhanvan	I	ls	MW,PWG	2
abaliman	I	ls	MW	1
abalāsa	I	ls	AP,MW,PWG	3
abalīyas	I	ls	MW	1
abalīyaṃs	I	ls	PWG	1
abanddhra	I	ls	MW	1
abandhana	I	ls	MW,PWG	2
abandhra	I	ls	PWG	1
abandhukṛt	I	ls	MW,PWG	2
abaṇḍa	I	ls	MW,PW	2
abdayā	I	dcs+ls	AP,AP90,MW,PW,PWG	5
abdimant	I	ls	PWG	1
abdimat	I	dcs+ls	MW	1
abhaga	I	dcs+ls	AP,AP90,MW,PW,PWG,SCH	7
abhayasani	I	ls	MW,PWG	2
abhayatama	I	dcs+ls	MW	1
abhayaṃkṛt	I	ls	PWG	1
abhibhañj	I	dcs+ls	MW	1
abhibhuj	I	dcs+ls	MW	1
abhibhāra	I	dcs+ls	AP,AP90,MW,PW,PWG	7
abhibhāvuka	I	ls	SCH	1
abhibhūtyojas	I	ls	MW,PWG	3
abhibhūvan	I	dcs+ls	AP,AP90,MW,PWG	4
abhibhūya	I	ls	MW,PWG	2
abhibhūyam	I	ls	AP	1
abhibhṛ	I	ls	MW	1
abhicakṣaṇa	I	dcs+ls	MW,PW,PWG	3
abhicakṣaṇam	I	ls	AP	1
abhicakṣaṇā	I	ls	AP,MW,PWG	3
abhicakṣya	I	dcs+ls	MW,PW,PWG	3
abhicaraṇīya	I	ls	MW	1
abhicarita	I	ls	MW	1
abhicchad	I	dcs+ls	MW	1
abhicchāyam	I	ls	MW,PWG	2
abhicchāyā	I	ls	MW	1
abhicākaś	I	dcs	MW	1
abhicārakalpa	I	ls	PWG	1
abhidadi	I	dcs+ls	MW,PW	3
abhidah	I	dcs+ls	MW	1
abhidakṣiṇam	I	dcs+ls	AP,MW,PW,PWG	4
abhidham	I	ls	MW	1
abhidhanv	I	ls	MW	1
abhidhi	I	dcs+ls	MW	1
abhidhānī	I	dcs+ls	AP,AP90,MW,PWG	5
abhidhī	I	ls	MW	1
abhidhū	I	dcs	MW	1
abhidhṛṣṇu	I	ls	MW,PWG	2
abhidigdha	I	ls	MW	1
abhidih	I	ls	MW	1
abhidipsu	I	dcs+ls	MW,PW,PWG	3
abhidiś	I	dcs	MW	1
abhidohana	I	ls	MW	1
abhidohya	I	ls	MW	1
abhidoṣam	I	ls	MW	1
abhidrā	I	ls	MW	1
abhidu	I	dcs+ls	MW	1
abhidyu	I	dcs+ls	AP,AP90,MW,PW,PWG,SCH	8
abhidās	I	dcs+ls	MW	1
abhidī	I	ls	MW	1
abhidīkṣ	I	dcs	MW	1
abhigantar	I	ls	PWG	1
abhigara	I	dcs+ls	MW,PW,PWG	6
abhigeṣṇa	I	dcs+ls	AP,AP90,MW,PW,PWG	6
abhighrā	I	dcs	AP,AP90	2
abhighāraṇa	I	dcs+ls	MW,PW,PWG	3
abhighārita	I	ls	MW	1
abhighṛ	I	dcs+ls	AP,AP90,MW	3
abhighṛta	I	dcs+ls	MW	1
abhigoptar	I	ls	PWG	1
abhigoptṛ	I	dcs+ls	AP,AP90,MW	3
abhigopāya	I	ls	MW	1
abhigrahītṛ	I	dcs+ls	MW	1
abhigrāhin	I	dcs	MW	1
abhigur	I	dcs+ls	AP,AP90,MW	3
abhigāh	I	ls	AP,MW	2
abhigūrta	I	ls	AP,MW	2
abhigūrti	I	dcs+ls	MW,PW,PWG	5
abhigūrtiḥ	I	ls	AP,AP90	2
abhigūryā	I	ls	MW	1
abhihary	I	dcs+ls	MW	1
abhihasya	I	ls	MW,PWG	2
abhihata	I	ls	AP,MW	2
abhihavana	I	dcs+ls	MW,PW,SCH	4
abhihita	I	ls	MW	1
abhihiṅkāra	I	dcs+ls	MW,PW	2
abhihiṅkṛ	I	dcs+ls	MW	1
abhihoma	I	dcs	MW,PW,SCH	5
abhihotavai	I	ls	MW	1
abhihrut	I	dcs+ls	AP,AP90,MW,PW,PWG	6
abhihruti	I	dcs+ls	AP,AP90,MW,PW,PWG	6
abhihrutiḥ	I	ls	AP	1
abhihuta	I	ls	MW	1
abhihvara	I	ls	PWG	1
abhihvaraḥ	I	ls	AP	1
abhihve	I	dcs+ls	MW	1
abhihvāra	I	dcs+ls	AP,AP90,MW,PW	4
abhihā	I	dcs+ls	MW	1
abhihāsa	I	ls	MW	1
abhihūti	I	ls	MW,PWG	2
abhijabh	I	ls	MW	1
abhijanitos	I	ls	PW	1
abhijanitu	I	ls	PWG	1
abhijidviśvajitau	I	ls	MW	1
abhijighrat	I	ls	MW	1
abhijighraṇa	I	dcs	MW,PW	3
