form_slp1	lemma_slp1	pos	n_entries
ABAga	ABaj	noun	2
ABAgena	ABaj	noun	2
ABAgya	ABaj	noun	2
ABAsanA	ABAsi	noun	3
ABAva	ABAvi	noun	8
ABAzamARa	ABAz	noun	4
ABAzetAm	ABAz	verb	2
ABAzyamARa	ABAz	noun	2
ABU	ABu	noun	6
ABUma	ABU	verb	1
ABUzeRya	ABUzeRya	noun	2
ABaranti	ABf	noun	4
ABare	ABf	noun	27
ABijana	ABijana	noun	4
ABiyogika	ABiyogika	noun	2
ABizecanika	ABizecanika	noun	2
ABizecanikam	ABizecanika	noun	3
ABram	ABra	noun	3
AByAsika	AByAsika	noun	2
AByas	Asi	noun	18
ADArADeyaBAva	ADArADeyaBAva	noun	2
ADAracakra	ADAracakra	noun	2
ADArakArikA	ADArakArikA	noun	3
ADArarUpa	ADArarUpA	noun	3
ADAratva	ADAratva	noun	2
ADArita	ADAri	noun	2
ADAvatA	Asf	noun	2
ADAyaka	ADA	noun	2
ADIparRa	ADIparRa	noun	2
ADamA	ADmA	noun	1
ADarmika	ADarmika	noun	2
ADarzayan	ADarzi	noun	4
ADirAjya	ADirAjya	noun	2
ADistena	ADistena	noun	2
ADita	ADitA	noun	3
ADvaryava	ADvaryava	noun	4
ADyas	ADA	noun	12
AGAwi	AGAwi	noun	3
AGfRi	AGfRi	noun	3
AGozayanta	AGozi	verb	2
AGrApayet	AGrApi	verb	1
AKaRa	AKaRa	noun	2
AKidA	AKida	noun	1
AKyAd	AKyA	noun	9
AKyAtAram	AKyA	noun	2
AKyAtavat	AKyA	noun	3
AKyAtavya	AKyA	noun	2
ANgUza	ANgUza	noun	4
ANgUzya	ANgUzya	noun	2
ANgam	AaYj	noun	6
ANgirasAnAm	ANgirasa	noun	6
APalodayakarman	APalodayakarman	noun	3
ARqIka	ARqIka	noun	2
ARqaja	ARqaja	noun	4
ARqakapAla	ARqakapAla	noun	2
ASABaNga	ASABaNga	noun	2
ASAbanDa	ASAbanDa	noun	2
ASApAla	ASApAla	noun	2
ASApAlas	ASApAla	noun	1
ASAsaMSita	ASAsaMSita	noun	2
ASAstavan	ASAs	noun	1
ASAsyamAna	ASAsi	noun	4
ASAvaha	ASAvaha	noun	2
ASAvat	ASAvat	noun	3
ASIrgeya	ASIrgeya	noun	2
ASIrvAdABiDAnavat	ASIrvAdABiDAnavat	noun	3
ASItyA	ASI	noun	3
ASaMsamAna	ASaMs	noun	6
ASaMsat	ASaMs	noun	3
ASaNkamAna	ASaNk	noun	4
ASaNkin	ASaNk	noun	2
ASarIka	ASarIka	noun	2
ASas	ASi	noun	28
ASasana	ASas	noun	2
ASasti	ASas	noun	6
ASayAna	ASI	noun	4
AScaryaBUta	AScaryaBUta	noun	2
AScaryarUpARi	AScaryarUpa	noun	3
AScaryarUpam	AScaryarUpa	noun	3
ASina	ASina	noun	2
ASir	ASir	noun	7
ASira	ASira	noun	6
ASizWa	ASizWa	noun	2
ASizyate	ASi	verb	4
ASnAm	aS	verb	1
ASrI	ASri	noun	18
ASramAlaya	ASramAlaya	noun	2
ASramaBrazwa	ASramaBrazwa	noun	2
ASramamaRqala	ASramamaRqala	noun	2
ASramamaRqalam	ASramamaRqala	noun	3
ASramamaRqale	ASramamaRqala	noun	9
ASramapada	ASramapada	noun	2
ASramasTAna	ASramasTAna	noun	2
ASramasTAnezu	ASramasTAna	noun	2
ASramavAsin	ASramavAsin	noun	2
ASramin	ASramin	noun	2
ASrayaRIya	ASri	noun	2
ASrayaRIyam	ASri	noun	3
ASrayaRIyatva	ASrayaRIyatva	noun	2
ASrayatA	ASri	noun	2
ASrayatva	ASrayatva	noun	2
ASrayatvam	ASrayatva	noun	3
ASrayin	ASrayin	noun	2
ASreza	ASrezA	noun	3
ASri	ASri	noun	3
ASritatva	ASritatva	noun	2
ASrutkarRa	ASrutkarRa	noun	2
ASuNga	ASuMga	noun	2
ASuSrUzave	ASuSrUza	noun	2
ASugAmin	ASugAmin	noun	4
ASuhemA	ASuheman	noun	2
ASuheman	ASuheman	noun	3
ASuhezasA	ASuhezas	noun	3
ASukArin	ASukArin	noun	4
ASupatvA	ASupatvan	noun	1
ASutva	ASutva	noun	2
ASuvikramA	ASuvikrama	noun	1
ASuvikramAt	ASuvikrama	noun	2
ASuvikrama	ASuvikrama	noun	2
ASuzARA	ASuzARa	noun	1
ASuzARa	ASuzARa	noun	2
ASvAs	ASva	noun	10
ASvAsayanta	ASvAsi	verb	1
ASvaSvA	ASvaSva	noun	1
ASvameDa	ASvameDa	noun	2
ASvas	ASvas	noun	7
ASvineya	ASvineya	noun	2
ATarvaRi	ATarvaRi	noun	3
AYjanAByaYjana	AYjanAByaYjanA	noun	3
AbaBAja	ABaj	verb	2
AbaDnAt	AbanD	verb	1
AbadDAByAm	AbadDa	noun	18
AbadDamAlA	AbadDamAla	noun	1
AcArahIna	AcArahIna	noun	2
AcAravarjita	AcAravarjita	noun	2
AcAravat	AcAravat	noun	3
AcAryadeva	AcAryadeva	noun	2
AcAryajAyA	AcAryajAyA	noun	3
AcAryatA	AcAryatA	noun	3
AcAryavat	AcAryavat	noun	3
AcAryopAsana	AcAryopAsana	noun	2
AcAryopAsanam	AcAryopAsana	noun	3
AcCA	AcCo	noun	15
AcCadviDAna	AcCadviDAna	noun	2
AcCedi	AcCedi	noun	9
AcCetsyasi	AcCid	verb	1
AcCidyanta	AcCid	verb	1
AcCidyata	AcCid	verb	1
AcCuritaka	AcCuritaka	noun	2
AcIrRa	AcIrRa	noun	2
