key1	homonym	sense	layer	surplus_gloss	cited	reason
gA	h0	3	pw	преследовать · следовать за	ṚV. 4,3,13. 10,18,4	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	1	pw	срезать · -рубать · -бивать · -рывать · -грызать · -кусывать · разрезать · -рубать · -рывать · раскалывать · пробуравливать · пробить отверстие в стене · разломать · разорвать · отрезанный · разорванный · -резанный; надрезанный · снабженный перетяжками	KṢURIKOP. 14. 19 · 217,6	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	1	pw	срезающий · разрезающий · -ламывающий · -рывающий · раскалывающий · пробуравливающий	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	1	pw	губящий · уничтожающий · устраняющий	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	1	pw	разлучать · отделять	ĀPAST. ŚR. 10,15,12 · 19,14	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	2	pw	делитель · знаменатель дроби	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	3	pw	отделять · обособлять · извлекать	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	3	pw	срезание · срубание	BĀLAR. 249,12	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
Cid	h0	5	pw	уничтожать · губить · разрушать · устранять · уплатить долг · исчезать · исчезнувший · более не существующий · что мы при этом теряем? что нам до этого?	287,26	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
jIv	h0	1	pw	жить · быть живым · — оставаться в живых · да живешь ты долго! · живущий · живой · еще живой · остается в живых	57,2	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	1	pw	ставить · класть — · помещать — · вносить в · на или при · помещать · кому-либо · прививать · направлять на · прилагать к · на кого-либо · перекладывать · кому-либо · внушать · наложенный · помещенный внутрь	71,9 · 73,6	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	4	pw	Отдавать в залог · заложенный · отданный в заклад	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	7	pw	Кому-либо · давать · жаловать · передавать · подносить · оказывать	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	10	pw	схватывать · брать	Spr. 7735	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	11	pw	принимать · получать · зачинать плод · concipere	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	13	pw	Принимать в себя · вбирать в себя · принимать · брать на себя · — давать · данный · предаваться	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h0	14	pw	Порождать · производить · вызывать · обращаться к	324,30	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h6	3	pwg	предполагать · допускать	SARVADARŚANAS. 146,16	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h6	3	pwg	сокрытый в сердце · надежно сохраненный	Spr. 2340. · 5010.	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
DA	h6	3	pwg	бедняк · которому нужны деньги · не может и думать о том · чтобы делать деньги	ed. Bomb. · MBH. 12,220.	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	1	pw	поселяться · входить — · вступать — · вселяться — · проникать внутрь — · вползать — · врываться — · погружаться — · сливаться с · всходить на погребальный костер · вступать в соединение с · входить в дом · выступать на сцене · появляться	299,26	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	1	pw	возвращаться · идти обратно · — в	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	1	pwkvn	я беременна мальчиком · направлять свои мысли на	DIVYĀVAD. 541,28 · R. ed. Bomb. 3,68,38	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	5	pw	стекаться · впадать	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	6	pw	приходить · притекать · являться · доставаться · постигать кого-либо	95,4	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	6	pw	распределенный · каждый раз иной	Comm. zu LĀṬY. 9,4,34. 5,4	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
viS	h0	7	pw	причитаться · предназначаться кому-либо · — идти	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
siD	h0	2	pw	приносить пользу · давать плоды · иметь успех · удаваться · осуществляться · совершаться	—	глосса дополнения шире смысла PWG, к которому оно привязано; излишек опирается только на процитированное место
