lemma	id_gra	id_pwg	location	form	translator	status	text	divergence_class	wordlevel_span	wordlevel_confidence
agní-	79	349	1.1.1	agním	grassmann_de_1876	present	Den Priester Agni preise ich, der nach der Ordnung Opfer bringt, Den Gott, den schatzverleihendsten,			
agní-	79	349	1.1.1	agním	geldner_de_1951	present	Agni berufe ich als Bevollmächtigten, als Gott-Priester des Opfers, als Hotr̥, der am meisten Lohn einbringt.			
agní-	79	349	1.1.1	agním	elizarenkova_ru_1989	present	Агни призываю я – во главе поставленного\nБога жертвы (и) жреца,\nХотара обильнейшесокровищного.			
agní-	79	349	1.1.1	agním	griffith_en_1896	present	I Laud Agni, the chosen Priest, God, minister of sacrifice,\nThe hotar, lavishest of wealth.			
agní-	79	349	1.1.1	agním	jamison_brereton_en_2014	present	Agni do I invoke—the one placed to the fore, god and priest of the sacrifice, the Hotar, most richly conferring treasure.			
agní-	79	349	1.1.2	agníḥ	grassmann_de_1876	present	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.			
agní-	79	349	1.1.2	agníḥ	geldner_de_1951	present	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.			
agní-	79	349	1.1.2	agníḥ	elizarenkova_ru_1989	present	Агни достоин призываний риши –\nКак прежних, так и нынешних:\nДа привезет он сюда богов!			
agní-	79	349	1.1.2	agníḥ	griffith_en_1896	present	Worthy is Agni to be praised by living as by ancient seers.\nHe shall bring hitherward the Gods.			
agní-	79	349	1.1.2	agníḥ	jamison_brereton_en_2014	present	Agni, to be invoked by ancient sages and by the present ones— he will carry the gods here to this place.			
agní-	79	349	1.1.3	agnínā	grassmann_de_1876	present	Durch Agni werd' uns Tag für Tag Gedeihn und schönes Gut zu Theil, Das reich mit Helden sei versehn.			
agní-	79	349	1.1.3	agnínā	geldner_de_1951	present	Durch Agni möge er Reichtum und Zuwachs Tag für Tag erlangen, ansehnlichen, der die meisten Söhne zählt.			
agní-	79	349	1.1.3	agnínā	elizarenkova_ru_1989	present	Агни, посредством (него) пусть достигает он богатства\nИ процветания – изо дня в день –\nСияющего, мужеобильнейшего!			
agní-	79	349	1.1.3	agnínā	griffith_en_1896	present	Through Agni man obtaineth wealth, yea, plenty waxing day by day,\nMost rich in heroes, glorious.			
agní-	79	349	1.1.3	agnínā	jamison_brereton_en_2014	present	By Agni one will obtain wealth and prosperity every day, glorious and richest in heroes.			
agní-	79	349	1.1.4	ágne	grassmann_de_1876	present	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.			
agní-	79	349	1.1.4	ágne	geldner_de_1951	present	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.			
agní-	79	349	1.1.4	ágne	elizarenkova_ru_1989	present	О Агни, жертва (и) обряд,\nКоторые ты охватываешь со всех сторон,\nИменно они идут к богам.			
agní-	79	349	1.1.4	ágne	griffith_en_1896	present	Agni, the perfect sacrifice which thou encompassest about\nVerily goeth to the Gods.			
agní-	79	349	1.1.4	ágne	jamison_brereton_en_2014	present	O Agni, the sacrifice and rite that you surround on every side— it alone goes among the gods.			
agní-	79	349	1.1.5	agníḥ	grassmann_de_1876	present	Der weise, weitberühmteste, wahrhafte Priester Agni komm, Der Gott nun mit den Göttern her.			
agní-	79	349	1.1.5	agníḥ	geldner_de_1951	present	Agni, der wahre Hotr̥ mit Sehersinn und am meisten ruhmglänzend, der Gott soll mit den Göttern herkommen.			
