slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
Aditya		2a	vedic	dcs+hand:class	0	23	20	2	1	-1125	1830	0	ok	agree	vedic	
Aditya		2b	vedic	dcs	0	67	62	2	1	-1125	1830	0	ok	agree	vedic	
Aditya		2c	vedic	dcs	0	11	10	2	1	-1125	1830	0	ok	agree	vedic	
Aditya		2d	vedic	dcs	0	62	52	2	1	-1125	1830	0	ok	agree	vedic	
Aditya		2e	classical	dharmamitra	0	9	8	2	1	-1125	1830	0	ok	agree	classical	
Aditya		2f	late-medieval	hand:class	1	1	1	2	1	-1125	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 2a bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
Aditya		2g	early-medieval	dharmamitra	1	2	1	2	1	-1125	1830	0	ok	agree	early-medieval	
Aditya		3			0	1	0	3	1	None	None	0	ok	agree		
Agama		1	vedic	dcs+hand:class	0	8	8	1	1	-1125	-940	0	ok	agree	vedic	
Agama		2a	epic-sutra	dcs+dharmamitra+hand:class	0	25	20	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2b	epic-sutra	hand:class	1	1	1	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2c	epic-sutra	dcs	0	4	2	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2d	epic-sutra	dcs+dharmamitra	0	10	8	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2e	epic-sutra	dcs	0	7	6	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2f	epic-sutra	hand:class	1	5	1	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2g	epic-sutra	dcs+dharmamitra	0	13	10	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2h	epic-sutra	dcs+dharmamitra	0	40	19	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2i	epic-sutra	hand:class	1	1	1	2	1	-500	1150	0	ok	agree	epic-sutra	
Agama		2k			0	1	0	2	1	-500	1150	0	ok	agree		
Agama		3	late-medieval	hand:class	1	3	1	3	1	1830	1830	0	ok	agree	late-medieval	
Agneya		1a	vedic	dcs	0	24	18	1	1	-900	1400	0	ok	agree	vedic	
Agneya		1b			0	1	0	1	1	-900	1400	0	ok	agree		
Agneya		1c	classical	dharmamitra	0	7	7	1	1	-900	1400	0	ok	agree	classical	
Agneya		2a	epic-sutra	dharmamitra	1	2	1	2	1	80	1150	0	ok	agree	epic-sutra	
Agneya		2b	early-medieval	hand:class	1	1	1	2	1	80	1150	0	ok	agree	early-medieval	
Agneya		2c	epic-sutra	dharmamitra	1	1	1	2	1	80	1150	0	ok	agree	epic-sutra	
Agneya		3a	early-medieval	hand:class	0	3	2	3	1	200	1830	0	ok	agree	early-medieval	
Agneya		3b	epic-sutra	dharmamitra	1	1	1	3	1	200	1830	0	ok	agree	epic-sutra	
Agneya		3c	classical	dharmamitra	0	12	10	3	1	200	1830	0	ok	agree	classical	
Agneya		4a	early-medieval	hand:class	1	1	1	4	1	-400	1830	0	ok	agree	early-medieval	
Agneya		4b	epic-sutra	hand:class	0	2	2	4	1	-400	1830	0	ok	agree	epic-sutra	
Agneya		4c	late-medieval	hand:class	1	2	1	4	1	-400	1830	0	ok	agree	late-medieval	
Agneya		4d	late-medieval	hand:class	1	2	1	4	1	-400	1830	0	ok	agree	late-medieval	
Agneya		4e	classical	dharmamitra	0	5	5	4	1	-400	1830	0	ok	agree	classical	
Agneya		4f			0	1	0	4	1	-400	1830	0	ok	agree		
Arya		1a	classical	dharmamitra	0	3	3	1	1	-1125	1830	0	ok	agree	classical	
Arya		1c	early-medieval	hand:class	1	1	1	1	1	-1125	1830	0	ok	agree	early-medieval	
Arya		1f			0	1	0	1	1	-1125	1830	0	ok	agree		
Arya		1g	early-medieval	hand:class	1	1	1	1	1	-1125	1830	0	ok	agree	early-medieval	
Arya		2b	late-medieval	hand:class	1	2	1	2	1	-1125	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 2f bucket 'epic-sutra' explains the window; bucket 'late-medieval' stands for this sub-sense
Arya		2c	early-medieval	hand:class	1	1	1	2	1	-1125	1830	0	ok	agree	early-medieval	
Arya		2d	early-medieval	hand:class	1	1	1	2	1	-1125	1830	0	ok	agree	early-medieval	
Arya		2e			0	1	0	2	1	-1125	1830	0	ok	agree		
Arya		2f	epic-sutra	dharmamitra	1	1	1	2	1	-1125	1830	0	ok	agree	epic-sutra	
Arya		3b	epic-sutra	dharmamitra	0	4	4	3	1	200	1150	0	ok	agree	epic-sutra	
Arya		3c	classical	hand:class	0	10	5	3	1	200	1150	0	ok	agree	classical	
Arya		3d			0	2	0	3	1	200	1150	0	ok	agree		
As	2	10	vedic	dcs	0	9	8	10	1	-1125	80	0	ok	agree	vedic	
As	2	11	vedic	dcs	0	31	28	11	1	-1125	200	0	ok	agree	vedic	
As	2	12	vedic	dcs	0	8	8	12	1	-1125	450	0	ok	agree	vedic	
As	2	13	vedic	dcs	0	17	8	13	1	-940	-800	0	ok	agree	vedic	
As	2	14	late-medieval	dharmamitra	1	3	1	14	1	70	1400	0	ok	agree	late-medieval	
As	2	1a	epic-sutra	hand:class	1	1	1	1	1	-1125	1150	0	ok	agree	epic-sutra	
As	2	1b			0	1	0	1	1	-1125	1150	0	ok	agree		
As	2	1c	epic-sutra	dcs	0	2	2	1	1	-1125	1150	0	ok	agree	epic-sutra	
