source_key	class	mintable	resolved_same_source	no_locus_same_source	top_shapes	expansion	example_miss	example_hit	example_hit_href
SUŚR	source	280	0	0	plain=242;multi_locus=37;range_fgg=1	SUŚRUTA, ed. Calc. (GILD. Bibl. 367); citirt nach Band, Seite und Zeile. Den Titel der HES	<ls>SUŚR. 2,64,9. 10.</ls>		
ŚĀṄKH	source	241	0	0	plain=207;multi_locus=32;range_fgg=2	? [Cologne Addition]	<ls>ŚĀṄKH. ŚR. 15,3,14.</ls>		
CHĀND	source	198	0	0	plain=182;multi_locus=14;range_fgg=2		<ls>CHĀND. UP. 1,1,6.</ls>		
ĀŚV	source	197	0	0	plain=162;multi_locus=34;range_fgg=1	? [Cologne Addition]	<ls>ĀŚV. GṚHY. 1,6,8. 3,10,11.</ls>		
PRAB	source	170	0	0	plain=165;multi_locus=5	PRABODHACANDRODAYA, ed. BROCKHAUS (GILD. Bibl. 216).	<ls>PRAB. 75,2.</ls>		
KAUŚ	source	157	0	0	plain=150;multi_locus=4;range_fgg=3	KAUŚIKA'S SŪTRA zum ATHARVAVEDA. 14 Adhyāya. Die Kaṇ- ḍikā sind durchgezählt. Hdschr.	<ls>KAUŚ. 68. 140.</ls>		
MṚCCH	source	146	0	0	plain=134;multi_locus=10;range_fgg=2	MṚCCHAKAṬIKĀ, ed. STENZLER (GILD. Bibl. 186).	<ls>MṚCCH. 67,3.</ls>		
KĀM	source	128	0	2	plain=113;multi_locus=14;range_fgg=1		<ls>KĀM. NĪTIS. 8. 67.</ls>		
LĀṬY	source	118	0	0	plain=98;multi_locus=20	LĀṬYĀYANA'S SŪTRA zum SV. Hdschr.	<ls>LĀṬY. 5,1,4.</ls>		
VET	source	114	0	0	plain=61;vol_marker=45;multi_locus=6	VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).	<ls>VET. 4,11.</ls>		
ĀPAST	source	113	0	3	plain=98;multi_locus=15	ĀPASTAMBA.	<ls>ĀPAST. 1,25,2</ls>		
SARVADARŚANAS	source	107	0	0	plain=73;multi_locus=25;range_fgg=9	? [Cologne Addition]	<ls>SARVADARŚANAS. 118,8</ls>		
Ind	source	95	0	2	plain=82;multi_locus=8;range_fgg=5	? [Cologne Addition]	<ls>Ind. St. 1,19.</ls>		
PAÑCAV	source	85	0	0	plain=71;multi_locus=13;range_fgg=1	PAÑCAVIṂŚABRĀHMAṆA ? [Cologne addition]	<ls>PAÑCAV. BR. 23,1,2.</ls>		
ŚIŚ	source	85	0	1	plain=77;multi_locus=5;vol_marker=3	ŚIŚUPĀLAVADHA, ed. Calc. (GILD. Bibl. 141).	<ls>ŚIŚ. 18,5</ls>		
DAŚAK	source	83	0	101	plain=74;multi_locus=3;range_fgg=3	DAŚAKUMĀRACARITA, ed. WILSON (GILD. Bibl. 236).	<ls>DAŚAK. 185</ls>		
BṚH	source	77	0	0	plain=70;vol_marker=4;multi_locus=3	? [Cologne Addition]	<ls>BṚH. ĀR. UP. 4,5,14.</ls>		
JĀTAKAM	source	72	0	0	plain=72		<ls>JĀTAKAM. 22</ls>		
ṚT	source	69	0	0	plain=68;multi_locus=1	ṚTUSAM̃HĀRA, ed. BOHLEN (GILD. Bibl. 155).	<ls>ṚT. 1,19.</ls>		
KĀṬH	source	68	0	3	plain=58;multi_locus=10	KĀṬHAKA-Recension des YĀJ. V.	<ls>KĀṬH. 36,7. 34,8.</ls>		
GOBH	source	64	0	1	plain=58;multi_locus=5;range_fgg=1	GOBHILA'S GṚHYASŪTRA; nach Mittheilungen von A. WEBER.	<ls>GOBH. 4,2,9.</ls>		
KIR	source	54	0	0	plain=51;range_fgg=2;multi_locus=1	KIRĀTĀRJUNĪYA, ed. Calc. (GILD. Bibl. 139).	<ls>KIR. 16,3.</ls>		
ṚV	format	54	3697	9	plain=54	ṚGVEDA. Es wird nach Maṇḍala, Sūkta und Ṛc citirt. ROSEN zu ṚV. verweist auf die Anmerkung	<ls>ṚV. PRĀT. 13,13.</ls>	<ls>ṚV. 1,100,5</ls>	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.100.html#rv01.100.05
CARAKA	source	53	0	0	plain=48;multi_locus=4;range_fgg=1	? [Cologne Addition]	<ls>CARAKA. 6,18</ls>		
MAITRYUP	source	45	0	0	plain=42;multi_locus=3	? [Cologne Addition]	<ls>MAITRYUP. 6,24.</ls>		
DIVYĀVAD	source	44	0	0	plain=41;multi_locus=2;range_fgg=1	DIVYĀVADĀNA ? [Cologne Addition]	<ls>DIVYĀVAD. 232,19</ls>		
Z	source	44	0	1	plain=40;roman=1;trailing_prose=1	? [Cologne Addition]	<ls>Z. 13</ls>		
PĀR	source	41	0	1	plain=38;multi_locus=3	? [Cologne Addition]	<ls>PĀR. GṚHY. 2,2.</ls>		
MAITR	source	40	0	0	plain=37;multi_locus=2;range_fgg=1	? [Cologne Addition]	<ls>MAITR. S. 1,2,17</ls>		
ARJ	source	39	0	0	plain=36;multi_locus=3	ARJUNASAMĀGAMA, ed. BOPP (GILD. Bibl. 106).	<ls>ARJ. 4,23.</ls>		
TAITT	source	39	0	1	plain=33;multi_locus=4;range_fgg=2	? [Cologne Addition]	<ls>TAITT. UP. 1,8.</ls>		
KAṬHOP	source	38	0	0	plain=37;range_fgg=1	KAṬHOPANIṢAD in der Bibliotheca indica.	<ls>KAṬHOP. 6,18.</ls>		
MUṆḌ	source	37	0	1	plain=36;multi_locus=1		<ls>MUṆḌ. UP. 3,2,2.</ls>		
VARĀH	format	37	555	0	vol_marker=19;plain=17;multi_locus=1	? [Cologne Addition]	<ls>VARĀH. BṚH. S. 41 (40),5.</ls>	<ls>VARĀH. BṚH. S. 79,14.</ls>	https://sanskrit-lexicon-scans.github.io/brihatsam/app1?79,14
DHŪRTAS	source	35	0	0	plain=31;multi_locus=4	DHŪRTASAMĀGAMA in LASSEN'S Anthologie (GILD. Bibl. 48).	<ls>DHŪRTAS. 81,6.</ls>		
SŪRYAS	source	35	0	0	plain=23;multi_locus=10;range_fgg=2	SŪRYASIDDHĀNTA, nach Anführungen in HAUGHTON, A Dict. Beng. and S.	<ls>SŪRYAS. 1,52. 60. 2,28. 57. 61. 64. fg. 3,10. 22.</ls>		
ŚVETĀŚV	source	35	0	0	plain=34;multi_locus=1	? [Cologne Addition]	<ls>ŚVETĀŚV. UP. 4,10.</ls>		
KAUṢ	source	34	0	2	plain=30;multi_locus=2;range_fgg=2	? [Cologne Addition]	<ls>KAUṢ. UP. 2,15.</ls>		
NAIṢ	source	34	0	0	plain=34	NAIṢADHACARITA, ed. Calc. (GILD. Bibl. 143).	<ls>NAIṢ. 8,89</ls>		
SĀV	source	33	0	0	plain=33	SĀVITRYUPĀKHYĀNA, ed. BOPP (GILD. Bibl. 106).	<ls>SĀV. 6,27.</ls>		
PAT	source	32	0	18	plain=27;vol_marker=5	PATAÑJALI, als Verfasser des MAHĀBHĀṢYA; nach Excerpten in BÖHTLINGK'S Ausgabe des PĀṆINI.	<ls>PAT. a. a. O. 1,48,b.</ls>		
KAP	source	31	0	0	plain=27;multi_locus=3;trailing_prose=1	KAPILA (The Aphorisms of the Sánkhya Philosophy, of Kapila; with illustrative extracts fro	<ls>KAP. 1,152.</ls>		
LALIT	source	31	0	0	plain=16;ed_variant=8;multi_locus=6	RGYA TCH'ER ROL PA (LALITAVISTĀRA) ou Développement des yeux, traduit etc. par PH. ÉD. FOU	<ls>LALIT. 499,9</ls>		
TS	format	30	391	5	plain=27;roman=2;range_fgg=1	TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa, eingetheilt in Praśna, Anuvāka und Kaṇḍikā. Die letzten bezei	<ls>TS. PRĀT. 22,6.</ls>	<ls>TS. 6,6,11,5.</ls>	https://sanskrit-lexicon-scans.github.io/taittiriyas/app1?6,6,11,5
LA	source	29	0	0	vol_marker=21;plain=8	LASSEN'S Anthologie (GILD. Bibl. 48).	<ls>LA. (II) 90,6.</ls>		
VS	format	29	269	8	plain=27;range_fgg=1;multi_locus=1	VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHITĀ in the MĀDHYANDINA -- and the KĀṆVA-ŚĀKHĀ with 	<ls>VS. PRĀT. 1,38.</ls>	<ls>VS. 17,75.</ls>	https://sanskrit-lexicon-scans.github.io/vajasasa/app1?17,75
DRAUP	source	28	0	0	plain=26;multi_locus=2	DRAUPADĪPRAMĀTHA, ed. BOPP (GILD. Bibl. 106).	<ls>DRAUP. 8,37.</ls>		
KĀD	source	28	0	0	plain=22;multi_locus=5;roman=1	? [Cologne Addition]	<ls>KĀD. 2,118,1</ls>		
VĀLAKH	source	28	0	0	plain=27;multi_locus=1	VĀLAKHILYA, die zwischen ṚV. 8, 48 und 49 eingeschobe- nen Lieder.	<ls>VĀLAKH. 3. 2.</ls>		
BRAHMA-P	source	27	0	0	plain=15;vol_marker=11;multi_locus=1	BRAHMAPURĀṆA in LASSEN'S Anthologie (GILD. Bibl. 48).	<ls>BRAHMA-P. 52,2.</ls>		
PRAŚNOP	source	27	0	0	plain=27	PRAŚNOPANIṢAD, nach der Ausgabe von RÖER in der Biblio- theca indica.	<ls>PRAŚNOP. 6,5.</ls>		
WEBER	source	26	0	1	plain=19;range_fgg=5;trailing_prose=1	? [Cologne Addition]	<ls>WEBER, RĀMAT. UP. 356,4.</ls>		
BĀLAR	source	25	0	0	plain=25	? [Cologne Addition]	<ls>BĀLAR. 74,3</ls>		
Comm	source	25	0	0	plain=22;multi_locus=3		<ls>Comm. zu ĀPAST. ŚR. 5,29,12</ls>		
ŚUK	source	25	0	0	plain=14;vol_marker=9;ibid=1	ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).	<ls>ŚUK. in LA. (II) 34,19.</ls>		
SADDH	source	24	0	0	plain=24		<ls>SADDH. P. 4,27,b.</ls>		
Jātakam	source	23	0	0	plain=23		<ls>Jātakam. 22.</ls>		
MAHĀVY	source	23	0	0	plain=23		<ls>MAHĀVY. 81,5</ls>		
Sp	source	22	0	0	plain=16;range_fgg=6	? [Cologne Addition]	<ls>Sp. 302, Z. 9. fgg.</ls>		
SĀṂKHYAK	source	22	0	1	plain=21;range_fgg=1	SĀṂKHYAKĀRIKĀ, ed. WILSON (GILD. Bibl. 271), mit Benutzung des Index in LASSEN'S Ausgabe (	<ls>SĀṂKHYAK. 20.</ls>		
AMAR	source	21	0	0	plain=21	AMARUŚATAKA nach der Calc. Ausg. (GILD. Bibl. 162).	<ls>AMAR. 97.</ls>		
ŚRUT	source	21	0	2	plain=21	ŚRUTABODHA in der Zeitschrift für die Kunde des Morgenlan- des, IV, S. 60 fgg. Ein dabeist	<ls>ŚRUT. 18.</ls>		
ŚĀK	format	21	522	4	plain=21	ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD. Bibl. 191). Eine einfache Zahl be	<ls>ŚĀK. CH. 16,3.</ls>	<ls>ŚĀK. 62.</ls>	https://sanskrit-lexicon-scans.github.io/shakuntala/app1?62
CAMPAKA	source	20	0	0	plain=20		<ls>CAMPAKA 126</ls>		
Journ	source	20	0	0	plain=17;multi_locus=2;roman=1		<ls>Journ. of the As. Soc. of B. IV, Pl. XL, Z. 6. 7.</ls>		
Sch	source	20	0	0	plain=20	Scholiast.	<ls>Sch. 6,4,49</ls>		
VAJRACCH	source	20	0	0	plain=17;range_fgg=2;multi_locus=1		<ls>VAJRACCH. 28,14</ls>		
INDR	source	19	0	0	plain=18;multi_locus=1	INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him- mel u. s. w.	<ls>INDR. 1,12.</ls>		
KENOP	source	19	0	0	plain=19	KENOPANIṢAD in der Bibliotheca indica.	<ls>KENOP 19.</ls>		
MĀN	source	19	0	0	plain=15;multi_locus=3;range_fgg=1	? [Cologne Addition]	<ls>MĀN. ŚR. 1,3,5. 7,5</ls>		
ṢAḌV	source	19	0	0	plain=19	? [Cologne Addition]	<ls>ṢAḌV. BR. 2,4.</ls>		
HEM	source	18	0	7	plain=18	HEMACANDRA ? [Cologne Addition]	<ls>HEM. PAR. 1,380</ls>		
KĀRAṆḌ	source	18	0	0	multi_locus=9;plain=8;range_fgg=1		<ls>KĀRAṆḌ. 85,8. 86,8</ls>		
MĀLATĪM	source	18	0	0	plain=16;ed_variant=2	? [Cologne Addition]	<ls>MĀLATĪM. 2,12.</ls>		
S	source	18	0	0	roman=18		<ls>S I,196,6.</ls>		
UTTARAR	source	18	0	0	plain=17;range_fgg=1	? [Cologne Addition]	<ls>UTTARAR. 110,1 (148,16).</ls>		
