slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_grounded_verse	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
A	1	4	4	17	3267	7	120	0.0367	0	0	0	1	R3_tagged_but_unaligned
A	2	9	9	224	3267	7	120	0.0367	1	1	0	1	R4_grounded_alignment
A	3	2	2	5	3267	7	120	0.0367	0	0	0	1	R3_tagged_but_unaligned
ABIla		2	2	12	4	1	1	0.2500	1	0	0	1	R4_grounded_alignment
ABIra		4	4	49	36	3	4	0.1111	1	0	0	1	R4_grounded_alignment
ABUti		2	2	6	4	1	1	0.2500	1	1	0	1	R4_grounded_alignment
ABaraRa		2	2	23	623	5	82	0.1316	0	0	0	1	R3_tagged_but_unaligned
ABaradvasu		2	2	2		0	0		0	0	0	1	R1_lemma_absent_from_dcs
ABicArika		2	2	4	17	1	1	0.0588	0	0	0	1	R3_tagged_but_unaligned
ABijita		2	2	3		0	0		0	0	1	1	R1_lemma_absent_from_dcs
ABimuKya		3	3	8	7	1	1	0.1429	0	0	0	1	R3_tagged_but_unaligned
ABoga		6	6	31	74	2	4	0.0541	1	1	0	1	R4_grounded_alignment
ABu		2	2	4	4	2	3	0.7500	0	0	0	1	R3_tagged_but_unaligned
AByudayika		3	3	9	5	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ADAna		8	7	38	73	2	2	0.0274	1	1	0	1	R4_grounded_alignment
ADAra		8	8	52	290	7	21	0.0724	1	1	0	1	R4_grounded_alignment
ADava		2	2	2	3	1	1	0.3333	1	1	0	1	R4_grounded_alignment
ADeya		4	3	10	9	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ADi	1	3	3	18	131	5	9	0.0687	1	1	0	1	R4_grounded_alignment
ADi	2	5	5	28	131	5	9	0.0687	1	1	0	1	R4_grounded_alignment
ADmAna		2	2	9	213	6	37	0.1737	0	0	0	1	R3_tagged_but_unaligned
ADvaryava		2	2	20	13	1	2	0.1538	1	1	1	1	R4_grounded_alignment
AGAra		2	2	16	30	0	0	0.0000	1	1	0	1	R4_grounded_alignment
AGAta		6	6	27	72	3	6	0.0833	1	1	0	1	R4_grounded_alignment
AGAwa		4	4	6	1	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
AGrARa		3	3	3	9	1	2	0.2222	0	0	0	1	R3_tagged_but_unaligned
AGrAta		3	3	7		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AKaRqala		2	2	14	32	2	9	0.2812	1	1	0	1	R4_grounded_alignment
AKanika		5	5	12		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AKewaka		2	2	14	5	1	2	0.4000	0	0	0	1	R3_tagged_but_unaligned
AKu		6	3	23	78	3	5	0.0641	1	1	0	1	R4_grounded_alignment
AKyAna		2	2	31	216	8	34	0.1574	1	1	0	1	R4_grounded_alignment
AKyAnaka		2	2	10	10	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AKyAti		2	2	3	2	1	1	0.5000	0	0	0	1	R3_tagged_but_unaligned
ANga	2	2	2	2		0	0		0	0	0	1	R1_lemma_absent_from_dcs
ANgika		2	2	6	6	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AQaka		3	3	35	152	2	10	0.0658	0	0	1	1	R3_tagged_but_unaligned
AQya		3	3	32	519	10	94	0.1811	0	0	1	1	R3_tagged_but_unaligned
ARi		4	3	13	18	3	5	0.2778	1	1	0	1	R4_grounded_alignment
ASAbanDa		2	2	6	2	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
ASaNkA		2	2	15	54	2	3	0.0556	0	0	0	1	R3_tagged_but_unaligned
ASara		2	2	4	1	1	1	1.0000	0	0	0	1	R3_tagged_but_unaligned
ASaya		6	6	68	426	10	40	0.0939	1	1	0	1	R4_grounded_alignment
ASira	2	2	2	3		0	0		0	0	0	1	R1_lemma_absent_from_dcs
ASis	1	3	3	63	235	7	26	0.1106	1	1	0	1	R4_grounded_alignment
ASitaMBava		2	2	8		0	0		0	0	0	1	R1_lemma_absent_from_dcs
ASleza		3	3	24	43	1	2	0.0465	0	0	0	1	R3_tagged_but_unaligned
ASmana		2	2	4		0	0		0	0	0	1	R1_lemma_absent_from_dcs
ASrama		4	4	60	1515	4	197	0.1300	0	0	0	1	R3_tagged_but_unaligned
ASramapada		2	2	9	6	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASrava	1	2	2	12	5	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASrava	2	3	3	8	5	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASrayASa		2	2	8	2	1	1	0.5000	0	0	0	1	R3_tagged_but_unaligned
ASraya		10	10	70	882	10	29	0.0329	1	1	0	1	R4_grounded_alignment
ASrayaRa		4	4	4	15	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASrayin		2	2	10	30	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASreza		2	2	7		0	0		1	1	0	1	R4_grounded_alignment
ASu		3	3	80	1305	7	143	0.1096	1	1	0	1	R4_grounded_alignment
ASuga		5	5	24	86	2	11	0.1279	1	0	0	1	R4_grounded_alignment
ASuheman		2	2	6	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASvAsa		3	3	15	28	2	2	0.0714	0	0	0	1	R3_tagged_but_unaligned
ASvAsana		2	2	9	18	0	0	0.0000	1	0	0	1	R4_grounded_alignment
ASva		4	4	10	6	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ASvatTa		3	3	16	12	0	0	0.0000	1	1	1	1	R4_grounded_alignment
ASvayuja		4	4	29	38	1	6	0.1579	1	1	0	1	R4_grounded_alignment
ASvina	1	5	5	39	73	2	8	0.1096	2	2	1	1	R4_grounded_alignment
ASvineya		2	2	4	4	2	2	0.5000	0	0	1	1	R3_tagged_but_unaligned
ATarvaRa		7	7	55	64	2	7	0.1094	2	2	0	1	R4_grounded_alignment
AYjana		2	2	4	21	1	1	0.0476	0	0	0	1	R3_tagged_but_unaligned
AbADa		3	3	22	67	7	10	0.1493	1	1	0	1	R4_grounded_alignment
AbadDa		4	3	5		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AbanDa		4	3	6	6	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AcAma		2	2	6	20	1	1	0.0500	1	1	0	1	R4_grounded_alignment
AcAra		4	4	58	880	6	34	0.0386	1	1	0	1	R4_grounded_alignment
AcArya		3	3	37	946	7	92	0.0973	1	1	0	1	R4_grounded_alignment
AcAryaka		2	2	6	13	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AcCAdana		3	3	31	88	5	15	0.1705	1	1	0	1	R4_grounded_alignment
AcCurita		3	2	3	6	1	1	0.1667	0	0	0	1	R3_tagged_but_unaligned
AcCuritaka		2	2	8	5	1	1	0.2000	0	0	0	1	R3_tagged_but_unaligned
AcamanIya		2	2	8	30	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Acamana		2	2	17	73	1	1	0.0137	1	1	0	1	R4_grounded_alignment
AcaraRa		3	3	8	54	4	7	0.1296	1	1	0	1	R4_grounded_alignment
Acaritavya		2	2	2		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Acarya		2	2	2	2	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Acita		4	4	34	2	2	3	1.5000	0	0	0	1	R3_tagged_but_unaligned
AdAna	1	4	4	40	207	5	16	0.0773	1	1	0	1	R4_grounded_alignment
AdAna	2	3	3	7	207	5	16	0.0773	1	1	0	1	R4_grounded_alignment
AdAra		2	2	9	1	0	0	0.0000	1	1	0	1	R4_grounded_alignment
AdInava		3	3	10	11	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
AdIpana		2	2	3	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Adadi		2	2	3	3	0	0	0.0000	1	1	0	1	R4_grounded_alignment
AdarSa		6	6	38	108	3	8	0.0741	1	1	0	1	R4_grounded_alignment
AdeSa		4	4	48	141	4	13	0.0922	1	1	0	1	R4_grounded_alignment
AdeSin		2	2	3	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AdiS		3	3	8	464	14	38	0.0819	1	1	0	1	R4_grounded_alignment
AdibudDa		2	2	10		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AdikAraRa		2	2	4	3	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
AdinATa		2	2	2	9	1	1	0.1111	0	0	1	1	R3_tagged_but_unaligned
Aditeya		2	2	5	4	1	1	0.2500	1	1	0	1	R4_grounded_alignment
Aditya		11	11	198	1574	7	254	0.1614	2	2	0	1	R4_grounded_alignment
AdityavarRa		2	2	3		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Adizwa		3	3	5	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Adya	1	2	2	18	2116	8	186	0.0879	0	0	0	1	R3_tagged_but_unaligned
Adya	2	5	5	52	2116	8	186	0.0879	1	0	0	1	R4_grounded_alignment
AgAmin		3	3	10	28	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Agama		15	14	127	650	13	47	0.0723	1	1	0	1	R4_grounded_alignment
Agamana		2	2	25	266	4	20	0.0752	0	0	0	1	R3_tagged_but_unaligned
Agantu		3	3	15	133	1	29	0.2180	0	0	0	1	R3_tagged_but_unaligned
Agantuka		3	3	11	36	2	4	0.1111	1	1	0	1	R4_grounded_alignment
Agastya	1	2	2	5	7	1	1	0.1429	1	0	0	1	R4_grounded_alignment
Agati		2	2	10	41	1	1	0.0244	1	1	0	1	R4_grounded_alignment
AgnIDrIya		3	2	20	7	0	0	0.0000	1	1	1	1	R4_grounded_alignment
AgnIDra		6	6	42	40	0	0	0.0000	2	2	0	1	R4_grounded_alignment
Agneya		15	15	65	369	7	51	0.1382	1	1	2	1	R4_grounded_alignment
AgnimAruta		3	3	13	21	0	0	0.0000	1	1	2	1	R4_grounded_alignment
AgrahAyaRa		4	4	20	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Agraha		9	4	23	18	1	1	0.0556	0	0	0	1	R3_tagged_but_unaligned
AgrayaRa		4	4	40	16	1	4	0.2500	2	2	0	1	R4_grounded_alignment
AhAra		5	5	67	1173	7	106	0.0904	2	1	0	1	R4_grounded_alignment
AhArya		7	7	24	10	3	4	0.4000	0	0	0	1	R3_tagged_but_unaligned
AhAva		4	4	24	15	3	4	0.2667	1	1	0	1	R4_grounded_alignment
Aha	1	3	2	4	0	1	1		0	0	0	1	R3_tagged_but_unaligned
Ahanana		2	2	3	1	0	0	0.0000	1	1	0	1	R4_grounded_alignment
Ahanas		2	2	8	7	2	2	0.2857	1	1	0	1	R4_grounded_alignment
Ahara		3	3	4	6	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AharaRa		4	3	18	59	5	11	0.1864	1	0	0	1	R4_grounded_alignment
Ahartar		3	3	11		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Ahata		3	2	2	2	2	2	1.0000	0	0	0	1	R3_tagged_but_unaligned
Ahava		2	2	36	642	7	85	0.1324	1	1	0	1	R4_grounded_alignment
Ahika		2	2	4	5	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
AhlAda		2	2	5	30	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Ahnika		5	5	27	61	1	5	0.0820	0	0	0	1	R3_tagged_but_unaligned
Ahuti		2	2	54	321	2	18	0.0561	1	1	0	1	R4_grounded_alignment
AhvAna		6	6	28	48	0	0	0.0000	1	0	0	1	R4_grounded_alignment
Ahvaya		2	2	21	350	4	103	0.2943	0	0	0	1	R3_tagged_but_unaligned
AjAna		2	2	10	2	1	1	0.5000	1	1	0	1	R4_grounded_alignment
AjAneya		2	2	9	15	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Aja		6	5	11	83	2	13	0.1566	0	0	1	1	R3_tagged_but_unaligned
Aji		4	4	53	298	8	23	0.0772	1	1	0	1	R4_grounded_alignment
Ajya	1	6	6	64	914	6	186	0.2035	1	1	0	1	R4_grounded_alignment
Ajyapa		2	2	13	14	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
AkANkzA		2	2	10	19	1	1	0.0526	0	0	0	1	R3_tagged_but_unaligned
AkASa		4	3	79	1131	10	103	0.0911	1	1	0	1	R4_grounded_alignment
AkASaga		2	2	4		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AkASavARI		2	2	4		0	0		0	0	0	1	R1_lemma_absent_from_dcs
AkAlika		3	3	11	11	1	1	0.0909	1	1	0	1	R4_grounded_alignment
AkAravant		2	2	2		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Akalana		3	2	5		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Akalpa		3	3	19	18	1	1	0.0556	1	1	0	1	R4_grounded_alignment
Akalpaka		5	5	7		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Akara		5	5	42	204	4	23	0.1127	1	1	0	1	R4_grounded_alignment
Akarza		9	8	20	18	2	4	0.2222	1	0	0	1	R4_grounded_alignment
AkarzaRa		2	2	23	45	1	2	0.0444	0	0	0	1	R3_tagged_but_unaligned
Akarzaka		3	3	4	1	1	1	1.0000	0	0	1	1	R3_tagged_but_unaligned
Akfti		5	5	40	600	5	75	0.1250	1	1	0	1	R4_grounded_alignment
AkrIqa		3	3	14	39	3	4	0.1026	1	1	0	1	R4_grounded_alignment
AkramaRa		2	2	13	17	0	0	0.0000	1	1	0	1	R4_grounded_alignment
Akranda		5	5	22	62	7	12	0.1935	0	0	0	1	R3_tagged_but_unaligned
AkroSa		3	3	14	36	1	9	0.2500	1	1	0	1	R4_grounded_alignment
AkulIkar		2	2	4		0	0		0	0	0	1	R1_lemma_absent_from_dcs
Akula		4	4	45	580	7	44	0.0759	1	0	0	1	R4_grounded_alignment
AkulatA		2	2	5	4	1	1	0.2500	1	0	0	1	R4_grounded_alignment
Akulatva		2	2	4	1	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
Akzepa		8	8	42	82	5	6	0.0732	1	1	0	1	R4_grounded_alignment
