id	k1	hom	stratum	rule	agent_verdict	pwg_members	index_members	vs_index_class	length_bucket	freq_bucket	freq_count	L_id	pwg_source_paren	mw_k2_raw
KagaSatru	KagaSatru		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	Kaga + Satru	Ka + ga + Satru	member_count_diff	medium(9-10)	no_dcs_freq		20765	({#Kaga#} + {#Satru#})	Ka—ga—Satru
zawtilin	zawtilin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	zaz + tila	zaw + tilin	same_count_diff_split	short(<=8)	no_dcs_freq		102436	(von {#zaz#} + {#tila#})	zaw—tilin
janArRava	janArRava		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	jana + arRava	ja + nArRava	same_count_diff_split	medium(9-10)	low(1-2)	1	26546	({#jana#} + {#arRava#})	ja—nArRava
kuRipadI	kuRipadI		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	kuRi + pAd	kuRi + padI	same_count_diff_split	short(<=8)	no_dcs_freq		17618	({#kuRi#} + {#pAd#} {%Fuss%})	kuRi—padI
saMDyABra	saMDyABra		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	saMDyA + aBra	saMDyA + Bra	same_count_diff_split	medium(9-10)	low(1-2)	2	104777	({#saMDyA#} + {#aBra#})	saM-DyA—Bra
mfdUBAva	mfdUBAva		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	mfdU + BU	mfdU + BAva	same_count_diff_split	short(<=8)	no_dcs_freq		61741	(von {#mfdU#} + <hom>1.</hom> {#BU#})	mfdU—BAva
citravallika	citravallika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	citra + valli	citra + vallika	same_count_diff_split	long(>=11)	low(1-2)	1	25497	({#citra#} + {#valli#})	citra—vallika
tridivOkas	tridivOkas		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	tridiva + okas	tri + divOkas	same_count_diff_split	medium(9-10)	high(>=10)	34	30971	({#tridiva#} + {#okas#})	tri—divOkas
tridiveSa	tridiveSa		residual-undersized	cut_moved_neither_reading_lexical	unresolved	tridiva + iSa	tri + diveSa	same_count_diff_split	medium(9-10)	no_dcs_freq		30968	({#tridiva#} + {#iSa#})	tri—diveSa
antarIpa	antarIpa		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	antar + ap	antar + Ipa	same_count_diff_split	short(<=8)	low(1-2)	1	3306	(von {#antar#} + {#ap#} {%Wasser%})	antar—Ipa
naradevadeva	naradevadeva		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	naradeva + deva	nara + deva + deva	member_count_diff	long(>=11)	no_dcs_freq		37792	({#naradeva#} + {#deva#})	nara—deva—deva
puMDvaja	puMDvaja		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	pumaMs + Dvaja	puM + Dvaja	same_count_diff_split	short(<=8)	no_dcs_freq		45942	({#pumaMs#} + {#Dvaja#})	puM—Dvaja
BadraMkara	BadraMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	Badram + kara	Badra + Mkara	same_count_diff_split	medium(9-10)	high(>=10)	22	53991	({#Badram#}, <ab>acc.</ab> von {#Badra#}, + <hom>1.</hom> {#kara#})	Badra—M-kara
balAtkfta	balAtkfta		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	balAt + kar	balAt + kfta	same_count_diff_split	medium(9-10)	high(>=10)	21	51963	(von {#balAt#} + <hom>1.</hom> {#kar#})	balAt—kfta
