index_token	count
m·1+2	12681
m·1	11496
mfn·1	8346
mfn·1+2	6736
n·1+2	6116
n·1	5916
f·2+2	3811
f·2	2531
mfn·1a	2329
mfn·1b	2069
f·4+2	1698
mfn·1a+2	1500
m·1b	1399
mfn·8i	1380
m·3+2	1273
f·4	1152
m·3	1148
ind·0	1124
f·3	967
m·1a	958
mfn·8t*	928
ind·0+2	855
f·3+2	797
mfn·8i+2	794
n·1a	683
mfn·1b+2	677
m·5+2	657
m·8i+2	502
m·5	497
mfn·8√b+2	493
m·1b+2	468
mfn·8ta*	437
f·1	417
m·8i	405
m·1+3	402
mfn·8√+2	400
m·8√+2	399
mfn·5	376
m·8n*+2	365
n·1b	359
mfn·8ib	354
m·8√	328
mfn·3+2	325
mfn·8√	308
mfn·8sa+2	299
f·3a	290
n·8n*+2	282
mfn·5b	270
n·1b+2	261
f·8√	260
m·3a	254
f·2+3	250
n·1+3	240
f·2b	233
m·1a+2	210
n·8√	201
f·2a	198
mfn·3a+2	197
n·1a+2	196
mfn·8n*+2	186
mfn·8√b	179
mfn·3a	179
mfn·8na*+2	177
mfn·1+3	174
mfn·8s+2	173
mn·1	165
mfn·5a+2	150
mfn·3	148
mfn·5+2	143
n·8sa	142
m·8s+2	138
m·8n*	138
n·8s+2	136
f·8√+2	131
mfn·2b+2	130
mfn·5a	127
m·8t*	124
f·8√b	122
mfn·8ib+2	111
mfn·8√a	108
f·3a+2	107
f·4b	105
f·3b	104
m·8nb*	103
m·3b	103
m·3a+2	101
mfn·8tb*	100
mfn·8s	98
mfn·8n*	98
mn·1a	97
mfn·8na*	97
m·5b	96
f·1+2	96
m·5a	92
n·8s	91
m·8s	91
mn·1+2	91
mfn·8sa	91
mfn·2+2	86
f·4a	86
f·6+2	85
f·2b+2	74
f·2a+2	74
mfn·2	73
n·8na*	70
m·8√b	67
mfn·4+2	66
mn·1b	62
mfn·3b	58
n·5	55
f·4+3	55
n·8n*	51
m·8ib	51
m·6+2	49
m·3+3	49
n·5+2	47
mfn·8nb*+2	46
f·5	46
m·8na*	45
mfn·8√a+2	45
mfn·2b	45
mfn·4b+2	42
n·3	41
mfn·4	41
m·4+2	40
f·5+2	40
mfn·6b+2	38
mfn·8sb	37
f·1a	37
f·1b	35
mfn·5b+2	34
f·3b+2	33
m·4	32
f·8t*	29
n·3+2	28
f·6	28
m·6	27
mfn·8nb*	26
mfn·4a+2	26
mfn·6+2	25
m·8√a	24
m·5a+2	24
m·2	24
mfn·3b+2	24
ind·0+3	24
m·8i+3	23
f·4b+2	23
m·3b+2	21
mfn·1a+3	21
f·6b	21
m·8√b+2	20
m·8sa	19
m·8n*+3	19
f·4a+2	19
n·5a	18
f·3+3	18
n·2	17
mfn·8sb+2	17
mfn·8ia	17
f·8√b+2	17
f·8ta*+2	17
n·8√+2	16
m·2+2	16
mfn·8cb*	16
mfn·4b	16
f·8s	16
f·8i	16
m·5b+2	15
m·5+3	15
mfn·8i+3	15
f·8tb*	15
n·8sb	14
n·8nb*	14
m·8na*+2	14
mfn·8c*	14
mfn·6b	14
f·8√a	13
n·2+2	12
m·8√+3	12
m·8sa+2	12
mfn·8ia+2	12
mfn·2a+2	12
m·8ta*	11
m·8sb	11
m·8ib+2	11
mfn·6°	11
f·8sb	11
n·8t*	10
mfn·4a	10
mfn·2a	10
f·8s+2	10
f·5a	10
n·8sb+2	9
n·8i	9
m·2b+2	9
mn·1b+2	9
mfn·6	9
f·8t*+2	9
mn·5	8
n·8nb*+2	7
n·8na*+2	7
m·8√a+2	7
m·8nb*+2	7
m·6b	7
m·4b	7
m·4+3	7
mfn·8ca*	7
f·8n*+2	7
f·4°	7
n·1b+3	6
m·4b+2	6
mfn·8√b+3	6
mfn·8√+3	6
mfn·3+3	6
n·8√b	5
n·8√a	5
n·8sa+2	5
m·6b+2	5
m·4a	5
mn·5b	5
mfn·6a	5
mfn·4°	5
f·8√a+2	5
f·6°	5
f·1+3	5
n·8t*+2	4
n·8s+3	4
n·8n*+3	4
n·4°	4
n·3a	4
m·2b	4
m·1b+3	4
mn·5a	4
mn·1a+2	4
mfn·8tb*+2	4
mfn·8sa+3	4
mfn·8n*+3	4
f·8n*	4
f·8i+2	4
f·6b+2	4
f·5b	4
f·5a+2	4
f·2a+3	4
f·1a+2	4
n·8i+2	3
n·4+2	3
m·8t*+2	3
m·8ia	3
m·6°	3
m·6+3	3
m·1a+3	3
mfn·8s+3	3
mfn·8na*+3	3
mfn·8cb*+2	3
mfn·5+3	3
mfn·4+3	3
mfn·3a+3	3
mfn·1b+3	3
f·8sa	3
f·8na*	3
f·6+3	3
f·5b+2	3
n·5b+2	2
n·4	2
n·2a	2
n·1a+3	2
m·8tb*	2
m·8ia+2	2
m·5a+3	2
m·4°	2
m·3a+3	2
m·2a+2	2
m·2a	2
mn·8√	2
mn·8na*	2
mn·3	2
mf·3b	2
mf·3a	2
mf·3	2
mfn·8ca*+2	2
mfn·8c*+2	2
mfn·6a+2	2
mfn·5a+3	2
mfn·2b+3	2
f·8√+3	2
f·1b+2	2
fn·8sb	2
n·8tb*	1
n·8ia	1
n·8i+3	1
n·6°	1
n·5b	1
n·5a+2	1
n·4b+2	1
n·3b	1
n·2+3	1
m·8tb*+2	1
m·8sb+2	1
m·8s+3	1
m·8nb*+3	1
m·8cb*	1
m·8c*	1
m·4a+2	1
m·2+3	1
mn·8√+2	1
mn·8tb*	1
mn·8sa	1
mn·8s+2	1
mn·8nb*	1
mn·8n*+2	1
mn·5+2	1
mn·1+3	1
mf·5b	1
mfn·8√a+3	1
mfn·8t*+2	1
mfn·8nb*+3	1
mfn·8ib+3	1
mfn·8ia+3	1
mfn·5b+3	1
