slp1	iast	pos	period_spread
kf	kṛ	v	1
vac	vac	v	1
BU	bhū	v	1
mahat	mahat	adj	1
as	as	v	1
rAjan	rājan	m	1
gam	gam	v	1
deva	deva	m	1
dfS	dṛś	v	1
Adi	ādi	m	1
arTa	artha	mn	1
Darma	dharma	mn	1
Atman	ātman	m	1
putra	putra	m	1
dA	dā	v	1
loka	loka	m	1
agni	agni	m	1
tva	tva	n	1
Sru	śru	v	1
rasa	rasa	mn	1
karman	karman	n	1
indra	indra	m	1
sva	sva	adj	1
brU	brū	v	1
sTA	sthā	v	1
jan	jan	v	1
han	han	v	1
kAla	kāla	m	1
rUpa	rūpa	n	1
bala	bala	mn	1
tri	tri	nr	1
raTa	ratha	m	1
vid	vid	v	1
pitf	pitṛ	m	1
ah	ah	v	1
Pala	phala	n	1
guRa	guṇa	mn	1
manas	manas	n	1
prAp	prāp	v	1
tA	tā	f	1
puruza	puruṣa	m	1
kAma	kāma	m	1
yuj	yuj	v	1
yA	yā	v	1
nara	nara	m	1
brahman	brahman	m	1
Sata	śata	mn	1
fzi	ṛṣi	m	1
bahu	bahu	adj	1
doza	doṣa	mn	1
brAhmaRa	brāhmaṇa	m	1
jYA	jñā	v	1
yoga	yoga	m	1
Bagavant	bhagavant	m	1
muni	muni	m	1
tapas	tapas	n	1
go	go	mf	1
grah	grah	v	1
BUta	bhūta	mn	1
iz	iṣ	v	1
sahasra	sahasra	mn	1
parama	parama	adj	1
man	man	v	1
uttama	uttama	adj	1
Sara	śara	m	1
smf	smṛ	v	1
anta	anta	m	1
ja	ja	adj	1
SrI	śrī	f	1
muKa	mukha	n	1
namas	namas	n	1
Agam	āgam	v	1
dvi	dvi	nr	1
priya	priya	adj	1
yajYa	yajña	m	1
strI	strī	f	1
paYcan	pañcan	adj	1
vana	vana	n	1
pARqava	pāṇḍava	m	1
vAta	vāta	m	1
rAma	rāma	m	1
vIra	vīra	m	1
jana	jana	m	1
pA	pā	v	1
tejas	tejas	n	1
pati	pati	m	1
divya	divya	adj	1
guru	guru	m	1
kaTay	kathay	v	1
varRa	varṇa	mn	1
prARa	prāṇa	m	1
saptan	saptan	adj	1
nfpa	nṛpa	m	1
suta	suta	m	1
pAda	pāda	m	1
ji	ji	v	1
Bavat	bhavat	adj	1
devI	devī	f	1
muc	muc	v	1
maDya	madhya	n	1
catur	catur	nr	1
mUla	mūla	mn	1
vAc	vāc	f	1
laB	labh	v	1
jYAna	jñāna	n	1
vara	vara	adj	1
pravac	pravac	v	1
pitta	pitta	n	1
Bagavat	bhagavat	adj	1
mahAtman	mahātman	adj	1
duHKa	duḥkha	n	1
paS	paś	v	1
car	car	v	1
karRa	karṇa	m	1
vad	vad	v	1
vipra	vipra	m	1
sTa	stha	adj	1
gaRa	gaṇa	m	1
Baya	bhaya	n	1
pUjay	pūjay	v	1
kula	kula	n	1
daSan	daśan	adj	1
jala	jala	n	1
sattva	sattva	n	1
varza	varṣa	mn	1
pada	pada	mn	1
budDi	buddhi	f	1
aNga	aṅga	n	1
anna	anna	n	1
BAga	bhāga	m	1
Sabda	śabda	m	1
rAja	rāja	m	1
mantra	mantra	mn	1
soma	soma	m	1
BAva	bhāva	m	1
viDi	vidhi	m	1
gfha	gṛha	mn	1
vacana	vacana	n	1
dvija	dvija	m	1
vizRu	viṣṇu	m	1
vAkya	vākya	n	1
vIrya	vīrya	n	1
pat	pat	v	1
bAhu	bāhu	mf	1
suKa	sukha	n	1
SarIra	śarīra	n	1
SuBa	śubha	adj	1
SrezWa	śreṣṭha	adj	1
mAtra	mātra	n	1
kArya	kārya	n	1
yuDizWira	yudhiṣṭhira	m	1
nAman	nāman	n	1
Siras	śiras	n	1
indriya	indriya	n	1
hA	hā	v	1
BUmi	bhūmi	f	1
ap	ap	m	1
deha	deha	mn	1
mAtf	mātṛ	f	1
vAyu	vāyu	m	1
ISvara	īśvara	m	1
sUrya	sūrya	m	1
div	div	m	1
ganDa	gandha	mn	1
deSa	deśa	m	1
viza	viṣa	n	1
hari	hari	m	1
lakzaRa	lakṣaṇa	n	1
kaPa	kapha	m	1
pApa	pāpa	n	1
yudDa	yuddha	n	1
veda	veda	m	1
aSva	aśva	m	1
maya	maya	adj	1
pfTivI	pṛthivī	f	1
rudra	rudra	m	1
raRa	raṇa	m	1
Sakti	śakti	f	1
tIrTa	tīrtha	mn	1
satya	satya	n	1
gati	gati	f	1
pracC	pracch	v	1
kAraRa	kāraṇa	n	1
hetu	hetu	m	1
rAkzasa	rākṣasa	m	1
uttara	uttara	adj	1
pArTa	pārtha	m	1
diS	diś	f	1
kzip	kṣip	v	1
viDA	vidhā	v	1
mf	mṛ	v	1
dina	dina	mn	1
Gfta	ghṛta	n	1
BIzma	bhīṣma	m	1
darSana	darśana	n	1
aMSa	aṁśa	m	1
dravya	dravya	n	1
puRya	puṇya	adj	1
BrAtf	bhrātṛ	m	1
vrata	vrata	n	1
Buj	bhuj	v	1
hasta	hasta	mn	1
Siva	śiva	m	1
tattva	tattva	n	1
tyaj	tyaj	v	1
kfzRa	kṛṣṇa	m	1
