kanda	sarga	n_verses	volume	page_first	page_last
1	1	107	1	3	14
1	2	46	1	15	19
1	3	74	1	20	27
1	4	149	1	28	43
1	5	20	1	44	46
1	6	29	1	47	50
1	7	18	1	51	53
1	8	32	1	54	57
1	9	69	1	58	65
1	10	38	1	66	70
1	11	25	1	71	73
1	12	35	1	74	77
1	13	47	1	78	82
1	14	43	1	83	87
1	15	24	1	88	90
1	16	11	1	91	92
1	17	29	1	93	96
1	18	27	1	97	99
1	19	31	1	100	103
1	20	22	1	104	106
1	21	23	1	107	109
1	22	20	1	110	112
1	23	26	1	113	115
1	24	20	1	116	118
1	25	21	1	119	121
1	26	21	1	122	124
1	27	30	1	125	128
1	28	21	1	129	131
1	29	24	1	132	134
1	30	25	1	135	137
1	31	20	1	138	140
1	32	24	1	141	143
1	33	24	1	144	146
1	34	23	1	147	149
1	35	51	1	150	155
1	36	19	1	156	158
1	37	23	1	159	161
1	38	31	1	162	165
1	39	31	1	166	169
1	40	23	1	170	172
1	41	29	1	173	176
1	42	26	1	177	179
1	43	27	1	180	182
1	44	24	1	183	185
1	45	57	1	186	191
1	46	35	1	192	195
1	47	23	1	196	198
1	48	25	1	199	201
1	49	34	1	202	205
1	50	24	1	206	208
1	51	23	1	209	211
1	52	27	1	212	214
1	53	23	1	215	217
1	54	26	1	218	220
1	55	23	1	221	223
1	56	28	1	224	226
1	57	25	1	227	229
1	58	7	1	230	230
1	59	19	1	231	233
1	60	27	1	234	236
1	61	23	1	237	239
1	62	34	1	240	243
1	63	24	1	244	246
1	64	28	1	247	249
1	65	33	1	250	253
1	66	21	1	254	256
1	67	30	1	257	260
1	68	25	1	261	263
1	69	28	1	264	266
1	70	20	1	267	269
1	71	26	1	270	272
1	72	36	1	273	276
1	73	23	1	277	279
1	74	30	1	280	283
1	75	30	1	284	287
1	76	27	1	288	290
1	77	55	1	291	296
1	78	16	1	297	298
1	79	48	1	299	303
1	80	32	1	304	307
2	1	42	1	311	315
2	2	36	1	316	319
2	3	45	1	320	324
2	4	26	1	325	327
2	5	29	1	328	331
2	6	33	1	332	335
2	7	32	1	336	339
2	8	60	1	340	346
2	9	47	1	347	352
2	10	29	2	3	6
2	11	31	2	7	10
2	12	38	2	11	15
2	13	29	2	16	19
2	14	22	2	20	22
2	15	36	2	23	26
2	16	47	2	27	31
2	17	43	2	32	36
2	18	56	2	37	43
2	19	22	2	44	46
2	20	47	2	47	52
2	21	26	2	53	55
2	22	17	2	56	57
2	23	26	2	58	60
2	24	22	2	61	63
2	25	42	2	64	68
2	26	39	2	69	73
2	27	26	2	74	77
2	28	33	2	78	81
2	29	29	2	82	85
2	30	39	2	86	90
2	31	32	2	91	94
2	32	46	2	95	99
2	33	28	2	100	103
2	34	29	2	104	107
2	35	51	2	108	113
2	36	27	2	114	116
2	37	24	2	117	119
2	38	50	2	120	125
2	39	52	2	126	131
2	40	20	2	132	134
2	41	29	2	135	138
2	42	21	2	139	141
2	43	36	2	142	145
2	44	30	2	146	149
2	45	32	2	150	153
2	46	20	2	154	156
2	47	28	2	157	160
2	48	24	2	161	163
2	49	36	2	164	167
2	50	21	2	168	170
2	51	26	2	171	173
2	52	39	2	174	178
2	53	41	2	179	183
2	54	42	2	184	188
2	55	20	2	189	191
2	56	33	2	192	195
2	57	32	2	196	199
2	58	37	2	200	203
2	59	32	2	204	207
2	60	23	2	208	210
2	61	35	2	211	214
2	62	43	2	215	219
2	63	20	2	220	222
2	64	20	2	223	225
2	65	47	2	226	231
2	66	69	2	232	239
2	67	25	2	240	242
2	68	56	2	243	249
2	69	34	2	250	253
2	70	20	2	254	256
2	71	23	2	257	259
2	72	27	2	260	262
2	73	32	2	263	266
2	74	63	2	267	273
2	75	30	2	274	277
2	76	32	2	278	281
2	77	32	2	282	285
2	78	23	2	286	288
2	79	40	2	289	293
2	80	25	2	294	296
2	81	33	2	297	300
2	82	15	2	301	302
2	83	42	2	303	307
2	84	24	2	308	310
2	85	26	2	311	313
2	86	21	2	314	316
2	87	25	2	317	319
2	88	28	2	320	322
2	89	13	2	323	324
2	90	39	2	325	329
2	91	20	2	330	332
2	92	28	2	333	335
2	93	18	2	336	337
2	94	25	2	338	340
2	95	28	2	341	343
2	96	28	2	344	346
2	97	27	2	347	349
2	98	24	2	350	352
2	99	40	2	353	357
2	100	77	2	358	365
2	101	42	2	366	370
2	102	28	2	371	373
2	103	27	2	374	376
2	104	20	2	377	379
2	105	58	2	380	385
2	106	30	2	386	389
2	107	20	2	390	392
2	108	40	2	393	397
2	109	66	2	398	404
2	110	23	2	405	407
2	111	53	2	408	413
2	112	33	2	414	417
2	113	26	2	418	420
2	114	36	2	421	424
2	115	19	2	425	427
2	116	49	2	428	433
2	117	27	2	434	436
2	118	32	2	437	440
2	119	34	2	441	444
2	120	25	2	445	447
2	121	21	2	448	450
2	122	29	2	451	454
2	123	24	2	455	457
2	124	25	2	458	460
2	125	23	2	461	463
2	126	7	2	464	464
2	127	18	2	465	466
3	1	35	3	3	6
3	2	28	3	7	9
3	3	22	3	10	12
3	4	53	3	13	18
3	5	23	3	19	21
3	6	23	3	22	24
3	7	36	3	25	28
3	8	25	3	29	31
3	9	37	3	32	35
3	10	26	3	36	38
3	11	20	3	39	41
3	12	19	3	42	43
3	13	31	3	44	47
3	14	24	3	48	50
3	15	46	3	51	55
3	16	41	3	56	60
3	17	33	3	61	64
3	18	48	3	65	69
3	19	27	3	70	72
3	20	38	3	73	76
3	21	31	3	77	80
3	22	38	3	81	84
3	23	46	3	85	89
3	24	26	3	90	92
3	25	26	3	93	95
3	26	28	3	96	98
3	27	23	3	99	101
3	28	42	3	102	106
3	29	33	3	107	110
3	30	46	3	111	115
3	31	49	3	116	120
3	32	36	3	121	124
3	33	43	3	125	129
3	34	36	3	130	133
3	35	115	3	134	145
3	36	26	3	146	148
3	37	24	3	149	151
3	38	27	3	152	154
3	39	42	3	155	159
3	40	34	3	160	163
3	41	39	3	164	167
3	42	59	3	168	173
3	43	43	3	174	178
3	44	31	3	179	182
3	45	22	3	183	185
3	46	21	3	186	188
3	47	18	3	189	190
3	48	19	3	191	192
