g_kanda	g_sarga	g_verses	s_kanda	s_sarga	s_verses	ratio	confidence	status
1	1	107	1	1	100	0.935	plausible	DRAFT-STRUCTURAL
1	2	46	1	2	43	0.935	plausible	DRAFT-STRUCTURAL
1	3	74	1	3	39	0.527	weak	DRAFT-STRUCTURAL
1	4	149	1	4	36	0.242	weak	DRAFT-STRUCTURAL
1	5	20	1	5	23	0.87	plausible	DRAFT-STRUCTURAL
1	6	29	1	6	28	0.966	plausible	DRAFT-STRUCTURAL
1	7	18	1	7	24	0.75	weak	DRAFT-STRUCTURAL
1	8	32	1	8	24	0.75	weak	DRAFT-STRUCTURAL
1	9	69	1	9	20	0.29	weak	DRAFT-STRUCTURAL
1	10	38	1	10	33	0.868	plausible	DRAFT-STRUCTURAL
1	11	25	1	11	31	0.806	weak	DRAFT-STRUCTURAL
1	12	35	1	12	22	0.629	weak	DRAFT-STRUCTURAL
1	13	47	1	13	41	0.872	plausible	DRAFT-STRUCTURAL
1	14	43	1	14	60	0.717	weak	DRAFT-STRUCTURAL
1	15	24	1	15	34	0.706	weak	DRAFT-STRUCTURAL
1	16	11					none	DRAFT-STRUCTURAL
1	17	29	1	16	32	0.906	plausible	DRAFT-STRUCTURAL
1	18	27	1	17	37	0.73	weak	DRAFT-STRUCTURAL
1	19	31	1	18	59	0.525	weak	DRAFT-STRUCTURAL
1	20	22	1	19	22	1.0	plausible	DRAFT-STRUCTURAL
1	21	23	1	20	28	0.821	weak	DRAFT-STRUCTURAL
1	22	20	1	21	22	0.909	plausible	DRAFT-STRUCTURAL
1	23	26	1	22	24	0.923	plausible	DRAFT-STRUCTURAL
1	24	20	1	23	22	0.909	plausible	DRAFT-STRUCTURAL
1	25	21	1	24	32	0.656	weak	DRAFT-STRUCTURAL
1	26	21	1	25	22	0.955	plausible	DRAFT-STRUCTURAL
1	27	30	1	26	36	0.833	weak	DRAFT-STRUCTURAL
1	28	21	1	27	28	0.75	weak	DRAFT-STRUCTURAL
1	29	24	1	28	22	0.917	plausible	DRAFT-STRUCTURAL
1	30	25	1	29	32	0.781	weak	DRAFT-STRUCTURAL
1	31	20	1	30	26	0.769	weak	DRAFT-STRUCTURAL
1	32	24	1	31	24	1.0	plausible	DRAFT-STRUCTURAL
1	33	24	1	32	26	0.923	plausible	DRAFT-STRUCTURAL
1	34	23	1	33	26	0.885	plausible	DRAFT-STRUCTURAL
1	35	51					none	DRAFT-STRUCTURAL
1	36	19	1	34	25	0.76	weak	DRAFT-STRUCTURAL
1	37	23	1	35	22	0.957	plausible	DRAFT-STRUCTURAL
1	38	31	1	36	27	0.871	plausible	DRAFT-STRUCTURAL
1	39	31	1	37	32	0.969	plausible	DRAFT-STRUCTURAL
1	40	23	1	38	24	0.958	plausible	DRAFT-STRUCTURAL
1	41	29	1	39	26	0.897	plausible	DRAFT-STRUCTURAL
1	42	26	1	40	30	0.867	plausible	DRAFT-STRUCTURAL
1	43	27	1	41	26	0.963	plausible	DRAFT-STRUCTURAL
1	44	24	1	42	25	0.96	plausible	DRAFT-STRUCTURAL
1	45	57	1	43	41	0.719	weak	DRAFT-STRUCTURAL
			1	44	23		none	DRAFT-STRUCTURAL
1	46	35	1	45	45	0.778	weak	DRAFT-STRUCTURAL
1	47	23	1	46	23	1.0	plausible	DRAFT-STRUCTURAL
1	48	25	1	47	22	0.88	plausible	DRAFT-STRUCTURAL
1	49	34	1	48	33	0.971	plausible	DRAFT-STRUCTURAL
1	50	24	1	49	23	0.958	plausible	DRAFT-STRUCTURAL
1	51	23	1	50	25	0.92	plausible	DRAFT-STRUCTURAL
1	52	27	1	51	28	0.964	plausible	DRAFT-STRUCTURAL
1	53	23	1	52	23	1.0	plausible	DRAFT-STRUCTURAL
1	54	26	1	53	25	0.962	plausible	DRAFT-STRUCTURAL
1	55	23	1	54	23	1.0	plausible	DRAFT-STRUCTURAL
1	56	28	1	55	28	1.0	plausible	DRAFT-STRUCTURAL
1	57	25	1	56	24	0.96	plausible	DRAFT-STRUCTURAL
1	58	7					none	DRAFT-STRUCTURAL
1	59	19	1	57	22	0.864	plausible	DRAFT-STRUCTURAL
1	60	27	1	58	24	0.889	plausible	DRAFT-STRUCTURAL
1	61	23	1	59	22	0.957	plausible	DRAFT-STRUCTURAL
1	62	34	1	60	34	1.0	plausible	DRAFT-STRUCTURAL
1	63	24	1	61	24	1.0	plausible	DRAFT-STRUCTURAL
1	64	28	1	62	28	1.0	plausible	DRAFT-STRUCTURAL
1	65	33	1	63	26	0.788	weak	DRAFT-STRUCTURAL
1	66	21	1	64	20	0.952	plausible	DRAFT-STRUCTURAL
1	67	30	1	65	40	0.75	weak	DRAFT-STRUCTURAL
1	68	25	1	66	26	0.962	plausible	DRAFT-STRUCTURAL
1	69	28	1	67	27	0.964	plausible	DRAFT-STRUCTURAL
1	70	20	1	68	19	0.95	plausible	DRAFT-STRUCTURAL
1	71	26	1	69	19	0.731	weak	DRAFT-STRUCTURAL
1	72	36	1	70	45	0.8	weak	DRAFT-STRUCTURAL
1	73	23	1	71	24	0.958	plausible	DRAFT-STRUCTURAL
1	74	30	1	72	25	0.833	weak	DRAFT-STRUCTURAL
1	75	30	1	73	40	0.75	weak	DRAFT-STRUCTURAL
1	76	27	1	74	24	0.889	plausible	DRAFT-STRUCTURAL
1	77	55	1	75	28	0.509	weak	DRAFT-STRUCTURAL
1	78	16	1	76	24	0.667	weak	DRAFT-STRUCTURAL
1	79	48					none	DRAFT-STRUCTURAL
1	80	32	1	77	29	0.906	plausible	DRAFT-STRUCTURAL
2	1	42	2	1	51	0.824	weak	DRAFT-STRUCTURAL
			2	2	54		none	DRAFT-STRUCTURAL
2	2	36	2	3	49	0.735	weak	DRAFT-STRUCTURAL
2	3	45	2	4	45	1.0	plausible	DRAFT-STRUCTURAL
2	4	26	2	5	26	1.0	plausible	DRAFT-STRUCTURAL
2	5	29	2	6	28	0.966	plausible	DRAFT-STRUCTURAL
2	6	33	2	7	36	0.917	plausible	DRAFT-STRUCTURAL
2	7	32	2	8	39	0.821	weak	DRAFT-STRUCTURAL
2	8	60	2	9	66	0.909	plausible	DRAFT-STRUCTURAL
2	9	47	2	10	40	0.851	plausible	DRAFT-STRUCTURAL
2	10	29	2	11	29	1.0	plausible	DRAFT-STRUCTURAL
			2	12	112		none	DRAFT-STRUCTURAL
2	11	31	2	13	26	0.839	weak	DRAFT-STRUCTURAL
			2	14	69		none	DRAFT-STRUCTURAL
2	12	38	2	15	49	0.776	weak	DRAFT-STRUCTURAL
2	13	29	2	16	47	0.617	weak	DRAFT-STRUCTURAL
2	14	22	2	17	22	1.0	plausible	DRAFT-STRUCTURAL
2	15	36	2	18	41	0.878	plausible	DRAFT-STRUCTURAL
2	16	47	2	19	40	0.851	plausible	DRAFT-STRUCTURAL
2	17	43	2	20	55	0.782	weak	DRAFT-STRUCTURAL
2	18	56	2	21	64	0.875	plausible	DRAFT-STRUCTURAL
2	19	22	2	22	30	0.733	weak	DRAFT-STRUCTURAL
2	20	47	2	23	41	0.872	plausible	DRAFT-STRUCTURAL
2	21	26	2	24	38	0.684	weak	DRAFT-STRUCTURAL
2	22	17	2	25	47	0.362	weak	DRAFT-STRUCTURAL
2	23	26	2	26	38	0.684	weak	DRAFT-STRUCTURAL
2	24	22	2	27	24	0.917	plausible	DRAFT-STRUCTURAL
2	25	42					none	DRAFT-STRUCTURAL
2	26	39	2	28	26	0.667	weak	DRAFT-STRUCTURAL
2	27	26	2	29	24	0.923	plausible	DRAFT-STRUCTURAL
2	28	33	2	30	47	0.702	weak	DRAFT-STRUCTURAL
2	29	29	2	31	37	0.784	weak	DRAFT-STRUCTURAL
2	30	39	2	32	45	0.867	plausible	DRAFT-STRUCTURAL
2	31	32	2	33	31	0.969	plausible	DRAFT-STRUCTURAL
2	32	46	2	34	61	0.754	weak	DRAFT-STRUCTURAL
2	33	28	2	35	37	0.757	weak	DRAFT-STRUCTURAL
2	34	29	2	36	33	0.879	plausible	DRAFT-STRUCTURAL
2	35	51					none	DRAFT-STRUCTURAL
2	36	27	2	37	37	0.73	weak	DRAFT-STRUCTURAL
2	37	24	2	38	15	0.625	weak	DRAFT-STRUCTURAL
2	38	50	2	39	41	0.82	weak	DRAFT-STRUCTURAL
2	39	52	2	40	51	0.981	plausible	DRAFT-STRUCTURAL
2	40	20	2	41	21	0.952	plausible	DRAFT-STRUCTURAL
2	41	29	2	42	35	0.829	weak	DRAFT-STRUCTURAL
2	42	21	2	43	21	1.0	plausible	DRAFT-STRUCTURAL
2	43	36	2	44	31	0.861	plausible	DRAFT-STRUCTURAL
2	44	30	2	45	33	0.909	plausible	DRAFT-STRUCTURAL
2	45	32	2	46	34	0.941	plausible	DRAFT-STRUCTURAL
2	46	20	2	47	19	0.95	plausible	DRAFT-STRUCTURAL
2	47	28	2	48	37	0.757	weak	DRAFT-STRUCTURAL
2	48	24	2	49	18	0.75	weak	DRAFT-STRUCTURAL
2	49	36	2	50	51	0.706	weak	DRAFT-STRUCTURAL
2	50	21					none	DRAFT-STRUCTURAL
2	51	26	2	51	27	0.963	plausible	DRAFT-STRUCTURAL
2	52	39	2	52	102	0.382	weak	DRAFT-STRUCTURAL
2	53	41	2	53	35	0.854	plausible	DRAFT-STRUCTURAL
2	54	42	2	54	43	0.977	plausible	DRAFT-STRUCTURAL
2	55	20	2	55	34	0.588	weak	DRAFT-STRUCTURAL
2	56	33	2	56	35	0.943	plausible	DRAFT-STRUCTURAL
2	57	32	2	57	34	0.941	plausible	DRAFT-STRUCTURAL
2	58	37	2	58	37	1.0	plausible	DRAFT-STRUCTURAL
2	59	32	2	59	34	0.941	plausible	DRAFT-STRUCTURAL
2	60	23	2	60	23	1.0	plausible	DRAFT-STRUCTURAL
2	61	35	2	61	27	0.771	weak	DRAFT-STRUCTURAL
2	62	43					none	DRAFT-STRUCTURAL
2	63	20					none	DRAFT-STRUCTURAL
2	64	20	2	62	21	0.952	plausible	DRAFT-STRUCTURAL
2	65	47	2	63	53	0.887	plausible	DRAFT-STRUCTURAL
2	66	69	2	64	79	0.873	plausible	DRAFT-STRUCTURAL
2	67	25	2	65	29	0.862	plausible	DRAFT-STRUCTURAL
2	68	56	2	66	29	0.518	weak	DRAFT-STRUCTURAL
2	69	34	2	67	38	0.895	plausible	DRAFT-STRUCTURAL
2	70	20	2	68	22	0.909	plausible	DRAFT-STRUCTURAL
2	71	23	2	69	21	0.913	plausible	DRAFT-STRUCTURAL
2	72	27	2	70	30	0.9	plausible	DRAFT-STRUCTURAL
2	73	32	2	71	47	0.681	weak	DRAFT-STRUCTURAL
2	74	63	2	72	54	0.857	plausible	DRAFT-STRUCTURAL
2	75	30	2	73	28	0.933	plausible	DRAFT-STRUCTURAL
2	76	32	2	74	36	0.889	plausible	DRAFT-STRUCTURAL
2	77	32	2	75	65	0.492	weak	DRAFT-STRUCTURAL
2	78	23	2	76	23	1.0	plausible	DRAFT-STRUCTURAL
2	79	40					none	DRAFT-STRUCTURAL
2	80	25	2	77	26	0.962	plausible	DRAFT-STRUCTURAL
2	81	33	2	78	26	0.788	weak	DRAFT-STRUCTURAL
2	82	15	2	79	17	0.882	plausible	DRAFT-STRUCTURAL
2	83	42					none	DRAFT-STRUCTURAL
2	84	24	2	80	22	0.917	plausible	DRAFT-STRUCTURAL
2	85	26					none	DRAFT-STRUCTURAL
2	86	21	2	81	16	0.762	weak	DRAFT-STRUCTURAL
2	87	25	2	82	32	0.781	weak	DRAFT-STRUCTURAL
2	88	28	2	83	26	0.929	plausible	DRAFT-STRUCTURAL
2	89	13					none	DRAFT-STRUCTURAL
2	90	39					none	DRAFT-STRUCTURAL
2	91	20	2	84	18	0.9	plausible	DRAFT-STRUCTURAL
2	92	28					none	DRAFT-STRUCTURAL
2	93	18	2	85	22	0.818	weak	DRAFT-STRUCTURAL
2	94	25	2	86	25	1.0	plausible	DRAFT-STRUCTURAL
2	95	28	2	87	24	0.857	plausible	DRAFT-STRUCTURAL
2	96	28	2	88	30	0.933	plausible	DRAFT-STRUCTURAL
2	97	27	2	89	23	0.852	plausible	DRAFT-STRUCTURAL
2	98	24	2	90	24	1.0	plausible	DRAFT-STRUCTURAL
2	99	40					none	DRAFT-STRUCTURAL
2	100	77	2	91	84	0.917	plausible	DRAFT-STRUCTURAL
2	101	42	2	92	40	0.952	plausible	DRAFT-STRUCTURAL
2	102	28	2	93	27	0.964	plausible	DRAFT-STRUCTURAL
2	103	27	2	94	27	1.0	plausible	DRAFT-STRUCTURAL
2	104	20	2	95	19	0.95	plausible	DRAFT-STRUCTURAL
2	105	58	2	96	30	0.517	weak	DRAFT-STRUCTURAL
2	106	30	2	97	31	0.968	plausible	DRAFT-STRUCTURAL
2	107	20	2	98	18	0.9	plausible	DRAFT-STRUCTURAL
2	108	40	2	99	42	0.952	plausible	DRAFT-STRUCTURAL
2	109	66	2	100	76	0.868	plausible	DRAFT-STRUCTURAL
2	110	23	2	101	27	0.852	plausible	DRAFT-STRUCTURAL
			2	102	9		none	DRAFT-STRUCTURAL
2	111	53	2	103	49	0.925	plausible	DRAFT-STRUCTURAL
2	112	33	2	104	32	0.97	plausible	DRAFT-STRUCTURAL
2	113	26	2	105	42	0.619	weak	DRAFT-STRUCTURAL
2	114	36	2	106	35	0.972	plausible	DRAFT-STRUCTURAL
2	115	19	2	107	19	1.0	plausible	DRAFT-STRUCTURAL
2	116	49	2	108	18	0.367	weak	DRAFT-STRUCTURAL
2	117	27	2	109	39	0.692	weak	DRAFT-STRUCTURAL
2	118	32	2	110	37	0.865	plausible	DRAFT-STRUCTURAL
2	119	34	2	111	32	0.941	plausible	DRAFT-STRUCTURAL
2	120	25	2	112	31	0.806	weak	DRAFT-STRUCTURAL
2	121	21	2	113	25	0.84	weak	DRAFT-STRUCTURAL
2	122	29	2	114	29	1.0	plausible	DRAFT-STRUCTURAL
2	123	24	2	115	24	1.0	plausible	DRAFT-STRUCTURAL
2	124	25	2	116	26	0.962	plausible	DRAFT-STRUCTURAL
2	125	23	2	117	29	0.793	weak	DRAFT-STRUCTURAL
2	126	7	2	118	54	0.13	weak	DRAFT-STRUCTURAL
2	127	18	2	119	22	0.818	weak	DRAFT-STRUCTURAL
3	1	35					none	DRAFT-STRUCTURAL
3	2	28					none	DRAFT-STRUCTURAL
3	3	22	3	1	23	0.957	plausible	DRAFT-STRUCTURAL
3	4	53					none	DRAFT-STRUCTURAL
3	5	23	3	2	26	0.885	plausible	DRAFT-STRUCTURAL
3	6	23	3	3	26	0.885	plausible	DRAFT-STRUCTURAL
3	7	36	3	4	34	0.944	plausible	DRAFT-STRUCTURAL
3	8	25					none	DRAFT-STRUCTURAL
3	9	37	3	5	43	0.86	plausible	DRAFT-STRUCTURAL
3	10	26	3	6	26	1.0	plausible	DRAFT-STRUCTURAL
3	11	20	3	7	24	0.833	weak	DRAFT-STRUCTURAL
3	12	19	3	8	20	0.95	plausible	DRAFT-STRUCTURAL
3	13	31	3	9	33	0.939	plausible	DRAFT-STRUCTURAL
3	14	24	3	10	22	0.917	plausible	DRAFT-STRUCTURAL
3	15	46	3	11	94	0.489	weak	DRAFT-STRUCTURAL
3	16	41	3	12	37	0.902	plausible	DRAFT-STRUCTURAL
3	17	33	3	13	25	0.758	weak	DRAFT-STRUCTURAL
3	18	48	3	14	36	0.75	weak	DRAFT-STRUCTURAL
3	19	27	3	15	31	0.871	plausible	DRAFT-STRUCTURAL
3	20	38	3	16	43	0.884	plausible	DRAFT-STRUCTURAL
3	21	31	3	17	29	0.935	plausible	DRAFT-STRUCTURAL
3	22	38	3	18	26	0.684	weak	DRAFT-STRUCTURAL
3	23	46					none	DRAFT-STRUCTURAL
3	24	26	3	19	27	0.963	plausible	DRAFT-STRUCTURAL
3	25	26	3	20	25	0.962	plausible	DRAFT-STRUCTURAL
3	26	28	3	21	22	0.786	weak	DRAFT-STRUCTURAL
3	27	23	3	22	24	0.958	plausible	DRAFT-STRUCTURAL
3	28	42	3	23	34	0.81	weak	DRAFT-STRUCTURAL
3	29	33	3	24	36	0.917	plausible	DRAFT-STRUCTURAL
3	30	46	3	25	47	0.979	plausible	DRAFT-STRUCTURAL
3	31	49	3	26	38	0.776	weak	DRAFT-STRUCTURAL
			3	27	20		none	DRAFT-STRUCTURAL
3	32	36	3	28	33	0.917	plausible	DRAFT-STRUCTURAL
3	33	43	3	29	28	0.651	weak	DRAFT-STRUCTURAL
3	34	36	3	30	41	0.878	plausible	DRAFT-STRUCTURAL
3	35	115	3	31	50	0.435	weak	DRAFT-STRUCTURAL
3	36	26	3	32	25	0.962	plausible	DRAFT-STRUCTURAL
3	37	24	3	33	24	1.0	plausible	DRAFT-STRUCTURAL
3	38	27	3	34	26	0.963	plausible	DRAFT-STRUCTURAL
3	39	42	3	35	42	1.0	plausible	DRAFT-STRUCTURAL
3	40	34	3	36	24	0.706	weak	DRAFT-STRUCTURAL
3	41	39	3	37	25	0.641	weak	DRAFT-STRUCTURAL
3	42	59					none	DRAFT-STRUCTURAL
3	43	43					none	DRAFT-STRUCTURAL
3	44	31	3	38	33	0.939	plausible	DRAFT-STRUCTURAL
3	45	22	3	39	25	0.88	plausible	DRAFT-STRUCTURAL
3	46	21	3	40	27	0.778	weak	DRAFT-STRUCTURAL
3	47	18	3	41	20	0.9	plausible	DRAFT-STRUCTURAL
