g_kanda	g_sarga	g_verse	s_kanda	s_sarga	s_verse	score	class
1	1	1	1	1	1	0.588	matched
1	1	2	1	1	2	0.308	fuzzy
1	1	3					gorresio_only
1	1	4	1	1	4	0.286	fuzzy
1	1	5					gorresio_only
1	1	6					gorresio_only
1	1	7	1	1	5	0.426	fuzzy
1	1	8					gorresio_only
1	1	10					gorresio_only
1	1	11					gorresio_only
1	1	12					gorresio_only
1	1	13	1	1	9	0.294	fuzzy
1	1	14	1	1	11	0.38	fuzzy
1	1	15					gorresio_only
1	1	16					gorresio_only
1	1	17					gorresio_only
1	1	18	1	1	16	0.365	fuzzy
1	1	20					gorresio_only
1	1	21	1	1	18	0.34	fuzzy
1	1	22					gorresio_only
1	1	23	1	1	20	0.286	fuzzy
1	1	24	1	1	21	0.299	fuzzy
1	1	25	1	1	22	0.726	matched
1	1	26					gorresio_only
1	1	27	1	1	24	0.872	matched
1	1	28					gorresio_only
1	1	30					gorresio_only
1	1	31					gorresio_only
1	1	32					gorresio_only
1	1	33					gorresio_only
1	1	34					gorresio_only
1	1	35	1	1	33	0.274	fuzzy
1	1	36					gorresio_only
1	1	37					gorresio_only
1	1	38	1	1	37	0.309	fuzzy
1	1	40	1	1	38	0.267	fuzzy
1	1	41					gorresio_only
1	1	42					gorresio_only
1	1	43	1	1	42	0.327	fuzzy
1	1	44					gorresio_only
1	1	45	1	1	43	0.269	fuzzy
1	1	46					gorresio_only
1	1	47					gorresio_only
1	1	48					gorresio_only
1	1	49	1	1	47	0.29	fuzzy
1	1	50	1	1	49	0.319	fuzzy
1	1	51					gorresio_only
1	1	52	1	1	50	0.649	matched
1	1	53	1	1	51	0.778	matched
1	1	54	1	1	52	0.588	matched
1	1	55					gorresio_only
1	1	56					gorresio_only
1	1	57					gorresio_only
1	1	58					gorresio_only
1	1	60					gorresio_only
1	1	61	1	1	58	0.818	matched
1	1	62	1	1	59	0.558	matched
1	1	63					gorresio_only
1	1	64	1	1	63	0.297	fuzzy
1	1	65					gorresio_only
1	1	66					gorresio_only
1	1	67	1	1	66	0.277	fuzzy
1	1	68					gorresio_only
1	1	69					gorresio_only
1	1	70					gorresio_only
1	1	72	1	1	68	0.255	fuzzy
1	1	73					gorresio_only
1	1	74	1	1	71	0.726	matched
1	1	76	1	1	73	0.379	fuzzy
1	1	77					gorresio_only
1	1	78	1	1	75	0.369	fuzzy
1	1	79	1	1	76	0.339	fuzzy
1	1	80	1	1	77	0.351	fuzzy
1	1	81	1	1	78	0.49	matched
1	1	82	1	1	79	0.67	matched
1	1	83	1	1	80	0.5	matched
1	1	84					gorresio_only
1	1	85					gorresio_only
1	1	86					gorresio_only
1	1	87					gorresio_only
1	1	88	1	1	83	0.272	fuzzy
1	1	89					gorresio_only
1	1	90					gorresio_only
1	1	91	1	1	89	0.725	matched
1	1	92					gorresio_only
1	1	93					gorresio_only
1	1	94	1	1	90	0.515	matched
1	1	95	1	1	91	0.372	fuzzy
1	1	96	1	1	92	0.477	matched
1	1	97					gorresio_only
1	1	98					gorresio_only
1	1	99					gorresio_only
1	1	100	1	1	97	0.786	matched
1	1	101					gorresio_only
1	1	103					gorresio_only
1	1	104	1	1	98	0.381	fuzzy
1	1	105					gorresio_only
1	1	106					gorresio_only
1	2	1	1	2	1	0.28	fuzzy
1	2	2					gorresio_only
1	2	3	1	2	2	0.383	fuzzy
1	2	4	1	2	3	0.314	fuzzy
1	2	6					gorresio_only
1	2	7					gorresio_only
1	2	8					gorresio_only
1	2	10					gorresio_only
1	2	11					gorresio_only
1	2	12	1	2	9	0.256	fuzzy
1	2	13					gorresio_only
1	2	14	1	2	11	0.297	fuzzy
1	2	15					gorresio_only
1	2	16					gorresio_only
1	2	17	1	2	15	0.798	matched
1	2	18					gorresio_only
1	2	20					gorresio_only
1	2	21					gorresio_only
1	2	23					gorresio_only
1	2	24	1	2	22	0.6	matched
1	2	25	1	2	23	0.339	fuzzy
1	2	26					gorresio_only
1	2	27	1	2	25	0.45	matched
1	2	28	1	2	26	0.622	matched
1	2	30					gorresio_only
1	2	31					gorresio_only
1	2	32					gorresio_only
1	2	33	1	2	31	0.333	fuzzy
1	2	34					gorresio_only
1	2	35	1	2	32	0.361	fuzzy
1	2	36	1	2	33	0.343	fuzzy
1	2	37					gorresio_only
1	2	40	1	2	36	0.459	matched
1	2	41	1	2	38	0.618	matched
1	2	42	1	2	39	0.556	matched
1	2	43	1	2	40	0.515	matched
1	2	44	1	2	41	0.303	fuzzy
1	2	45					gorresio_only
1	2	46	1	2	42	0.522	matched
1	3	1					gorresio_only
1	3	2	1	3	2	0.632	matched
1	3	3					gorresio_only
1	3	5					gorresio_only
1	3	6					gorresio_only
1	3	7	1	3	14	0.257	fuzzy
1	3	8	1	3	15	0.308	fuzzy
1	3	10	1	3	16	0.355	fuzzy
1	3	11	1	3	18	0.56	matched
1	3	12					gorresio_only
1	3	13					gorresio_only
1	3	15	1	3	20	0.403	fuzzy
1	3	16	1	3	25	0.821	moved
1	3	17	1	3	23	0.756	matched
1	3	18	1	3	24	0.628	matched
1	3	21	1	3	26	0.268	fuzzy
1	3	22	1	3	29	0.426	fuzzy
1	3	24	1	3	30	0.316	fuzzy
1	3	25	1	3	32	0.295	fuzzy
1	3	26					gorresio_only
1	3	27					gorresio_only
1	3	28	1	3	34	0.257	fuzzy
1	3	30	1	3	36	0.25	fuzzy
1	3	31	1	3	38	0.328	fuzzy
1	3	32					gorresio_only
1	3	33	1	3	39	0.306	fuzzy
1	3	34					gorresio_only
1	3	35					gorresio_only
1	3	36					gorresio_only
1	3	37					gorresio_only
1	3	38					gorresio_only
1	3	40	1	4	4	0.274	fuzzy
1	3	41					gorresio_only
1	3	43					gorresio_only
1	3	44	1	4	8	0.256	fuzzy
1	3	45					gorresio_only
1	3	46	1	4	9	0.302	fuzzy
1	3	47					gorresio_only
1	3	48					gorresio_only
1	3	49					gorresio_only
1	3	50					gorresio_only
1	3	51					gorresio_only
1	3	52					gorresio_only
1	3	53					gorresio_only
1	3	54	1	4	14	0.275	fuzzy
1	3	55					gorresio_only
1	3	56					gorresio_only
1	3	57					gorresio_only
1	3	58					gorresio_only
1	3	60					gorresio_only
1	3	61					gorresio_only
1	3	62					gorresio_only
1	3	64					gorresio_only
1	3	66					gorresio_only
1	3	67					gorresio_only
1	3	68					gorresio_only
1	3	69					gorresio_only
1	3	73					gorresio_only
1	3	74					gorresio_only
1	4	1	1	4	1	0.677	moved
1	4	2					gorresio_only
1	4	3					gorresio_only
1	4	4					gorresio_only
1	4	5					gorresio_only
1	4	6					gorresio_only
1	4	7					gorresio_only
1	4	8					gorresio_only
1	4	10					gorresio_only
1	4	11					gorresio_only
1	4	12					gorresio_only
1	4	13					gorresio_only
1	4	14					gorresio_only
1	4	15					gorresio_only
1	4	16					gorresio_only
1	4	17					gorresio_only
1	4	18					gorresio_only
1	4	21					gorresio_only
1	4	22					gorresio_only
1	4	23					gorresio_only
1	4	24					gorresio_only
1	4	25					gorresio_only
1	4	26					gorresio_only
1	4	27					gorresio_only
1	4	28					gorresio_only
1	4	30					gorresio_only
1	4	31					gorresio_only
1	4	32					gorresio_only
1	4	33					gorresio_only
1	4	34	1	3	15	0.613	moved
1	4	35					gorresio_only
1	4	36					gorresio_only
1	4	38					gorresio_only
1	4	40					gorresio_only
1	4	41					gorresio_only
1	4	42					gorresio_only
1	4	43					gorresio_only
1	4	44					gorresio_only
1	4	45					gorresio_only
1	4	46					gorresio_only
1	4	47					gorresio_only
1	4	48					gorresio_only
1	4	49					gorresio_only
1	4	50					gorresio_only
1	4	51					gorresio_only
1	4	52					gorresio_only
1	4	53					gorresio_only
1	4	54					gorresio_only
1	4	55					gorresio_only
1	4	56					gorresio_only
1	4	57					gorresio_only
1	4	58					gorresio_only
1	4	60					gorresio_only
1	4	61					gorresio_only
1	4	62					gorresio_only
1	4	63					gorresio_only
1	4	64					gorresio_only
1	4	65					gorresio_only
1	4	66					gorresio_only
1	4	67					gorresio_only
1	4	68					gorresio_only
1	4	70					gorresio_only
1	4	73					gorresio_only
1	4	74					gorresio_only
1	4	76					gorresio_only
1	4	77					gorresio_only
1	4	78					gorresio_only
1	4	79					gorresio_only
1	4	80					gorresio_only
1	4	81					gorresio_only
1	4	82					gorresio_only
1	4	83					gorresio_only
1	4	84					gorresio_only
1	4	85					gorresio_only
1	4	86					gorresio_only
1	4	87					gorresio_only
1	4	90					gorresio_only
1	4	91					gorresio_only
1	4	92					gorresio_only
1	4	93					gorresio_only
1	4	94					gorresio_only
1	4	95					gorresio_only
1	4	96					gorresio_only
1	4	97					gorresio_only
1	4	98					gorresio_only
1	4	99					gorresio_only
1	4	100					gorresio_only
1	4	101					gorresio_only
1	4	102					gorresio_only
1	4	103					gorresio_only
1	4	104					gorresio_only
1	4	105					gorresio_only
1	4	106					gorresio_only
1	4	107					gorresio_only
1	4	108					gorresio_only
1	4	110					gorresio_only
1	4	111					gorresio_only
1	4	112					gorresio_only
1	4	113					gorresio_only
1	4	114					gorresio_only
1	4	115					gorresio_only
1	4	116					gorresio_only
1	4	117					gorresio_only
1	4	120					gorresio_only
1	4	121					gorresio_only
1	4	123					gorresio_only
1	4	124					gorresio_only
