slp1	iast	grammar	freq_band	poly_band
Asannatara	āsannatara	adj	low	mono
Ayam	āyam	6.P.	high	mono
BArgava	bhārgava	m	high	poly5p
BawwAraka	bhaṭṭāraka	m	mid	poly5p
BrU	bhrū	f	high	mono
GanAtyaya	ghanātyaya	m	low	mono
GfRi	ghṛṇi	m	low	poly5p
SaMsin	śaṃsin	adj	mid	mono
Slezman	śleṣman	m	high	poly2_4
Urmi	ūrmi	mf	mid	poly5p
aBIti	abhīti	f	low	poly2_4
aBiBAzin	abhibhāṣin	adj	mid	mono
aBijana	abhijana	mn	mid	poly5p
aBimantf	abhimantṛ	adj	low	poly2_4
aByaNga	abhyaṅga	m	mid	poly2_4
aByudgati	abhyudgati	f	low	mono
aSOca	aśauca	n	mid	poly2_4
aYj	añj	7.Ā.	high	mono
agratas	agratas	ind	high	poly2_4
amBas	ambhas	n	high	poly5p
anavasita	anavasita	adj	low	mono
anvi	anvi	2.P.	mid	mono
asulaBa	asulabha	adj	low	mono
atiBA	atibhā	2.P.	low	mono
atipramARa	atipramāṇa	adj	low	mono
avalambin	avalambin	adj	mid	poly2_4
avaruj	avaruj	6.P.	low	mono
avasTA	avasthā	1.Ā.	high	mono
azwacatvAriMSat	aṣṭacatvāriṃśat	f	mid	mono
bawu	baṭu	m	mid	poly2_4
devatA	devatā	f	high	poly5p
druma	druma	m	high	poly2_4
durBaga	durbhaga	adj	mid	poly2_4
ekAnta	ekānta	m	high	poly5p
gaRya	gaṇya	adj	low	poly5p
gamBIra	gambhīra	adj	high	poly5p
gozWa	goṣṭha	m	mid	poly5p
hala	hala	mn	mid	poly5p
han	han	6.P.	high	mono
idam	idam	pron	high	poly2_4
indranIla	indranīla	mn	mid	mono
jaraWa	jaraṭha	adj	low	poly5p
kAdambinI	kādambinī	f	low	poly2_4
kAsa	kāsa	m	high	poly2_4
kalakaRWa	kalakaṇṭha	m	low	poly2_4
kawAgni	kaṭāgni	m	low	poly2_4
klAnti	klānti	f	low	mono
kuntala	kuntala	m	mid	poly5p
laGu	laghu	adj	high	poly5p
mAnavatI	mānavatī	f	low	mono
maDumatI	madhumatī	f	low	poly5p
mahAniSA	mahāniśā	f	low	poly2_4
mandAra	mandāra	m	mid	poly5p
mandira	mandira	n	mid	poly5p
maya	maya	adj	high	poly5p
miSra	miśra	adj	high	poly5p
muravErin	muravairin	m	low	mono
nirvAda	nirvāda	m	low	poly5p
nizad	niṣad	1.Ā.	high	poly2_4
nizic	niṣic	6.Ā.	mid	mono
pUrti	pūrti	f	mid	poly2_4
paW	paṭh	1.Ā.	high	mono
padmanABa	padmanābha	m	mid	poly5p
prAtiBAvya	prātibhāvya	n	mid	poly2_4
prabAD	prabādh	9.P.	mid	mono
pradfS	pradṛś	4.Ā.	mid	mono
prasADikA	prasādhikā	f	low	poly2_4
prasTAna	prasthāna	n	mid	poly5p
prayatna	prayatna	m	high	poly5p
puroBAga	purobhāga	m	low	poly5p
puzpakAla	puṣpakāla	m	low	poly2_4
qimBa	ḍimbha	m	low	poly5p
rasita	rasita	n	low	poly5p
ratnapraBA	ratnaprabhā	f	low	poly5p
retas	retas	n	high	poly5p
rukmANgada	rukmāṅgada	m	low	poly2_4
sAhitya	sāhitya	n	mid	poly2_4
sampad	sampad	4.P.	high	mono
sma	sma	ind	high	mono
smf	smṛ	1.Ā.	high	poly2_4
sodara	sodara	m	mid	poly2_4
suparRaka	suparṇaka	m	low	poly5p
uB	ubh	pron	high	poly2_4
udAhf	udāhṛ	2.P.	high	mono
udas	udas	4.Ā.	mid	mono
upaDAv	upadhāv	1.P.	mid	mono
upapad	upapad	4.P.	high	mono
upayam	upayam	6.P.	mid	mono
upodGAta	upodghāta	m	low	poly5p
vAsavadattA	vāsavadattā	f	mid	poly2_4
vAsin	vāsin	adj	high	poly2_4
vEra	vaira	mn	high	poly5p
vaRij	vaṇij	m	high	poly2_4
vfdDaSravas	vṛddhaśravas	m	low	poly2_4
viBU	vibhū	1.P.	mid	poly2_4
vidyA	vidyā	f	high	poly2_4
visfj	visṛj	4.Ā.	high	mono
vitanu	vitanu	m	low	poly2_4
vraj	vraj	1.Ā.	high	mono
vyaYjaka	vyañjaka	adj	mid	poly5p
