slp1	iast	freq_band	poly_band	mw_gold_words	heritage_gloss_sha256	heritage_gloss_words	ru_gloss_sha256	ru_gloss_words	ru_renderings_kept	ru_renderings_distinct	ru_rank1_share	ru_n_total
AyA	āyā	high	mono	35	3cdc3f72ecdc8d1e04d1c31373d52a51aba30a2423bb67fda64bf9e2d0e93a40	28	c36fe89cb2c04e609d9191e279651c2ef1970301145359a0d1500c81c5e73a40	5	5	139	0.0364	247
catur	catur	high	mono	18	041d2662d740266b7806ee8fc09fb23e9d92aff6c1fa33dd817883fffc3982ee	23	b9391061658dc1785e1656a7aeef738c0ad4aca6297bff6f440540497a991c12	5	5	37	0.3735	431
prada	prada	high	mono	9	e3832e8b6d5e311ca40c874ee24c0d76998e3f0030f4c0d4f05474f886c6d1a6	22	a5707b39941e434c6c4413b6a5c63baffb180fb9eb307ed5541c5816cf7e4142	8	5	31	0.2128	47
aTa	atha	high	mono	27	950f162b762f4240be4ab797e59eac8a8d8ba11ccee3ee63e17f1db8f1a81c65	52	9887fecaa2ce4f7196f75382f17c8fb855ae6f0bc16fba12fbeec272432521a6	5	5	149	0.176	966
spfS	spṛś	high	mono	145	c8aaba35d17e6cd851a367f0bad39d9f02e9d5f3d6cabf3626b8995317e64ffd	181	96a896b68bd53922cffdb21e2ddac73ae4bf7576c5651e1b825b85504f3cf872	5	5	143	0.0635	252
paW	paṭh	high	mono	95	7c05e2e4c1a71ff985cdfcceca6aed24fd3f313d778b2b270867b46f04da087a	105	53466868259599c186e33bae185e7a4fa2a8a8ef90409a9056cf6233225a9d03	6	5	24	0.129	31
nagara	nagara	high	mono	20	b9d988e60776a8f2dc0bf592c1ed786b0b229f701b0f8de3fd13ac362f969041	8	7f82e8a061796da13270b87be108e4eb707dc0b72c82226eac2253af34a4481a	6	5	36	0.4783	207
lip	lip	high	mono	65	cb7b7573cab3388ec46393f5a6c9b694c381a82f4b1ce12f0e4e8bb1df2511de	72	54a7bb16eab736b5c70f7a157af7733985e162afe3f8067ee3a17e945a8bf69b	5	5	60	0.2269	119
SuB	śubh	high	mono	143	84d7406e257326e07656783a3e82a490be8f7361b0233048d02b4f9bf21e4cb0	62	343bac9c7d0eeb3ab01741d64b62b89af16519509263947ffc104a3800145c1e	5	5	122	0.0519	231
tyaj	tyaj	high	mono	137	28469c4ab9af58fd206614ece3f8247de560d3a4534eb2b3e7e0ebe6abef0737	129	fc6a2e9db0c4d88afd8351b127a5da5fd2840974f476844c7b518c3690a06b94	5	5	355	0.0845	793
azwan	aṣṭan	high	mono	10	ffc160ec7df97cb431ffc8e81849c331667d63387d7a0ad3a8bc6bb54670488d	18	7504492837369da2a797a381af62db9ce04dfe77e671e5101e2c93ff43343463	7	5	16	0.3824	68
udAhf	udāhṛ	high	mono	25	017dce575605184ff6fe817a3d626d694b6963401d857f00fcae8a8b1d9bb9d1	28	36abc49a49891e06a8d76822d59a4ae6614c2ab35157a1f672d38104fdf94733	5	5	85	0.0822	146
pratigrah	pratigrah	high	mono	99	7d5dd40fd7420353f63cc5d0a9fc2a0781bb68af917d7aeab5750291c9b074b0	38	262af9d81e066054c5e0db126bb3d8bf49934bbcadf0311384a5fc25a2c99ae0	5	5	161	0.1629	350
sadA	sadā	high	mono	10	40f95646122ddb4eb8eac45128dd980a6d7b6e54972d75cd51b01216759ee899	9	26aadbf01049ec7f3492867a1f0475923ad9662dd3a4ded37bed256fc5134f88	5	5	42	0.7292	506
tvar	tvar	high	mono	31	ae91a0d3949e3b9fa0d9b42b7f7c6fa3ef35d53750f9bb74de7e00e96f4dfc9e	38	304d527e8a23cf0a35707a4841a38ea70e55aceef10d3ece37dc9fd697ac4600	5	5	111	0.2396	434
aYj	añj	high	mono	41	5801f145e6d56f8c9b3c35c50a174d49829c944cc4ed03074fb850361220d814	67	114aa70dedfc085280820d7c0208de600755aca7fa2e596da6bf6bd1b2e03e0d	5	5	71	0.0833	120
vraj	vraj	high	mono	147	73e5ef330b3e202941c4344fa82fe053af8211b6535e7d8956837a3b9f849d3d	123	2dd8954afd359a99d3453bd9ddfa2b6c4ca165f2a7e022d051f6b1a10bba28ef	5	5	171	0.0562	249
soma	soma	high	mono	128	104f8cfa624a7420252c16a09e0efb98ffb60ec5cb77f89095a5d5033dca4952	232	77cd7087263c8613f7d9f4130c0702a4fff12a4b444c2db102eae3ab0e94d459	6	5	64	0.2521	1452
sma	sma	high	mono	81	1b983b65e0e8675899299093b05e8319c8a9fa27d7267ad07e5d9dde5abde6de	58	a5f79bc5f532423e479d50428102ff1ee33a84d5cdef368c268b60e564694851	5	5	73	0.3538	195
saMyuj	saṃyuj	high	mono	130	a36426fc4fabdfeed7fca009d8d83b7e05356732ccc016d3bcf8981615022489	56	10092fea223f00ad815cc72641c1266c13280e253e50a1db811bc1946be90696	6	5	97	0.0263	114
prapad	prapad	high	mono	135	c25dc356826470582c89197fb21aaf2698b489ae9685e3b064aab242a2cd8c7a	86	3678dc540658d60ad0ad03790db5a735d798c158fa242cc53a8ac91b4092c388	5	5	191	0.0544	294
KAd	khād	high	mono	37	eb64e8e9eb4620fab2562918c1f98b7120a8785cf4f3dbd883b18308d7124f2c	50	38abce46e7518bb8d2e2321c8ca4e67312ff4c86a208bdedf7c3fb7112661d1e	5	5	27	0.0811	37
sItA	sītā	high	mono	131	2fe97e71188841def89f9c014107186cbb41fab5e03184403353283fb0ae22c1	150	6cb96c85a8081f994fa210e2b60b8230e42caee2fd9c5b8ff0789b4c8969b974	5	5	47	0.3777	683
prakzip	prakṣip	high	mono	38	2504c6323b4959420edb5aa88b9cee57c68b4ff698d13336a3932955378fd146	52	15b6ad5f90ea618e83c7ab5e41b3be4e9a8ad120624dea1f13f2b5e728a5807b	5	5	27	0.0938	32
avasTA	avasthā	high	mono	149	82f6859e6cb76b238eb3ac3591f0582759d9b81e4789891edab41637d6c8dc25	54	09ef6c74740cfb66f47b8a7bd177087b15f089504f45f2b43521f325549b0d4e	5	5	239	0.0578	450
vIkz	vīkṣ	high	mono	53	b9e314c7f4b8eaf239906c4f24c01161695bfe048bf185b042bab7b56b65994d	35	9276963198588b35e60e853e33704563adb918752442447a4455eb0c2a50b461	6	5	48	0.131	84
prasad	prasad	high	mono	98	351051df744ad80c9ef15d34ef4034cd5cca4ad1b20f5118ff1d57233f0ac58f	53	815690c6c587f40553e0d07dd0698d56f8be2a9509fe0b2d1029a0e38d704ab4	6	5	126	0.081	210
Agam	āgam	high	mono	90	e007665d3f752b1eac702069cdd120d82841f01d7d7f951f5e27f810a2efbf4e	72	a592fb4e53826ed51669708b55fb564b777da7dcc37c3c9d607a0888b2c4d3f5	5	5	412	0.1121	981
dviviDa	dvividha	high	mono	5	ac81b2b1891a39b161940ebe197122381b914bf4308eff21484f23fff6ac7d35	17	9e7d913d0961b1d4874e3af148229f0f5f1b8585b18468bc058a8c7e92404594	7	5	21	0.2941	51
vyAp	vyāp	high	mono	28	4df4e51f8e15543888673e8aab3ea3f280f12fc2a50062d831dd51a7517aeb43	33	8852ffda46beb56912b68a3320d4bbfa5e096b5b20581518841551f188e6e4bb	5	5	59	0.0682	88
mil	mil	high	mono	45	8cd9ca494e8d1ed3551b5c8575bf548f88cd5a1cb68f37a3c74422f599b96283	59	cc8fc9277d4e7b8d216710c42dc2e65625db297cdc00f187ac507bb4195b004e	5	5	11	0.0909	11
ASin	āśin	high	mono	2	3ce2a45fc5196c54b2d5c74a442227d233c14f8408200d1dc6c972ba62fe1280	12	a05d7077c3651ecc1fc90f30b562884ea6db248e3da6addbc20ccb9f86fc286d	11	5	6	0.1667	6
sampad	sampad	high	mono	139	65a4358a456fa4abef9f9c593af3da59b6d6f449d2d9d6db3edbb71189511fbb	91	ed660b728de77212a803f3ad283cd17328b326d304f7795126cd203b105d8955	5	5	149	0.0471	255
prahfz	prahṛṣ	high	mono	25	4a6ca34c96bc7a5e81cf8a068233103c4a87330000ca07f1db074004055eeb13	38	0d2a3ab7491469cef0da409536a0b1bc7d7a1cc709d76c80c32af51c51081a23	5	5	104	0.0879	182
nipat	nipat	high	mono	136	a9803fbc96a8ac2a3639b1848ead28961da2d656059f23e6867f90757e237ee9	49	fb1b1c9782a04d173fc29491b77bcc49d6fb2f1f2ae4f873149ea6559a9b9eab	5	5	147	0.1107	298
car	car	high	mono	134	5ed5a4ea7fb73b7675dd6131889624a1d3bd2dba74d7adc51e9f44524de0cf24	259	d6060e4cb4a23dd0403a1c3beab2996fc2b99a1fa517efaf4b181f2225041bff	5	5	641	0.0319	1097
pre	pre	high	mono	55	eaba5adb2d74b17e0e4bc98a9fff8d500b4baa392af3b121d650d4d2cd0d9b2b	48	ab3917a6f8890ca4e9d2c354123d7e603e5ff4e104d5e6e51e2a7eb8d44491ad	9	5	84	0.342	193
BrU	bhrū	high	mono	18	94c0ddb4461b7b6e8acd181729647d2aba7bdfe49d2b57e05f080033dcc5037e	36	c797aba5913f71c7d0f9ee5962039758e7d4b42de825e37ebd54ad3a8d05573d	5	5	11	0.4773	44
visfj	visṛj	high	mono	130	7f90eb68f8cc109cba71b18bb27f6b5ce6016fd8d1bcb6bb93c2393c88c5d9d6	34	b7db2b3cbe8a80943ca2be5b1c1793f761e31027c055d9997b189ae749c99453	5	5	175	0.0582	292
roza	roṣa	high	mono	13	f29c20d19f06c79abee6e17248a8e677f11d7da3d36920f7bc45bffb70df362c	9	1a98209ff7858ead9cc5e43917516ceff21ccdb651fbda9cc6c33cbe90522d42	6	5	26	0.2151	93
aDunA	adhunā	high	mono	4	122e261e6a1941452c646270966ea8ad962488bd73bf4d88e918af7a3f255e09	8	c287c84b98218ebd0b8c34ad08dd68a07126a20c36b35f323269779e675703a1	5	5	9	0.4138	29
prajan	prajan	high	mono	89	01cfa1ff4ae47f1656505e6175341e87493eae15b5a11a4d1286f19c334e8aae	34	dc4c3c0f313c960f5b06f54732baeac9233acffa9ca3a39b05240e13e2892de8	5	5	57	0.069	87
han	han	high	mono	146	ac922777710d13c91a341892f2fada24287f1dca40a5af05009da1d94100cdcb	165	cad5737669d85a914b5465798a0e19e4aa632fcc352c9f5f4cf4864d6db27b33	5	5	784	0.0637	3311
mf	mṛ	high	mono	46	13b951ea9841c2c5d442a3212919c7e1c492d40b0a4dabd1774c6e74fbbe7b84	84	42c6d69bbf2c136203f0fe2cb3c53fe9f1977f16fd722cb1ee6333a78dbce584	5	5	104	0.1304	345
Ayam	āyam	high	mono	77	ef5b4b4d4098ea8cddfc6331f8d9c5e1b49a6553ea0c160caf592a3ebdf3a631	42	e96bc64cfc0bd956787bbb48adf26060b1ef3932eefaeabea507ab406abc0586	5	5	66	0.0787	89
Acar	ācar	high	mono	59	a02dabd751e55166542dce7fc33db065b82f83777bd17ed8b62468fd9c14c89b	36	72bd2d899d78843e49188b1ad9658eb2d0b19dcaf46d84e24b15af0d46b0f10a	5	5	175	0.0504	238
upAdA	upādā	high	mono	91	092eaf6ce607b160622cdb01cf3ebcf6249f9bc4d9c9c4da4e715219c8003039	29	5f1b567c3d07bacbb6b540aa9024b12927745ca73ba10b3b861a8e445290da62	7	5	59	0.1446	83
upapad	upapad	high	mono	132	c1baefffb31dbb3c3453f79943aeff928e6b6e9b788cef7767e1c54ec6ff0aa4	62	12b619ced544cffc7ca399a50339109dfd14f3d32dea2b58ae37cd7d2164a68c	5	5	167	0.0556	234
vyaT	vyath	high	mono	91	2031e18ca5574e820d30b62eee3fc704c5800e68343d71e227903599a9e96149	41	62a2485b0af74aba881d6689914317eea1d4a082f4879146fe679374d300a1ee	5	5	131	0.05	160
yAc	yāc	high	mono	114	685cdc10f32603b3508eb5a97a6ce215fbc5e9ebdd534956d4282b9a66e81957	46	d212554fd1a207314316a17b2f6c2c1a8e77206ecaef1cf8929e54ab94cdc2f4	5	5	110	0.0865	208
Df	dhṛ	high	mono	133	d31f8cef8656bf557f2bdc6c9d24f142ca4ffc60e922d942528fd6ac879f8eda	174	e806365103b6ff31b4a6db497c392c6f94ad7f2ce72e245a32011347d513116d	5	5	146	0.0472	233
rakz	rakṣ	high	poly2_4	103	3f4bdf51e52000c831a9fdf28aeaddcdd709227d318b415e51b5a570d299c4b1	103	18e272d967413d1919ccca9c4c89f8fa6d7209cefde574d6eecf7aa577e53751	5	5	256	0.0396	556
janapada	janapada	high	poly2_4	24	4699d932bf94dbce48ebc78ff89f6f24382d5d6a5d91d49fa94ba9a903aa0596	33	00d97896624c766c568c634703f97a1340fd23df2d3790548b1bc4c87d075d9f	5	5	30	0.2424	66
