dict	entries	tag	count	per_1000_entries
abch	1965	<s>	10530	5358.78
abch	1965	<eid>	4619	2350.64
abch	1965	<syns>	4619	2350.64
abch	1965	<L>	1965	1000.0
abch	1965	<pc>	1965	1000.0
abch	1965	<info>	1965	1000.0
abch	1965	<LEND>	1965	1000.0
acc	49833	{#...#}	49915	1001.65
acc	49833	<L>	49833	1000.0
acc	49833	<pc>	49833	1000.0
acc	49833	<k1>	49833	1000.0
acc	49833	<k2>	49833	1000.0
acc	49833	<LEND>	49833	1000.0
acc	49833	<HI1>	26982	541.45
acc	49833	<symbol>	9288	186.38
acc	49833	<HI>	5260	105.55
acc	49833	{%...%}	1356	27.21
acc	49833	<H>	37	0.74
acc	49833	<F>	24	0.48
acc	49833	<P>	20	0.4
acc	49833	<e>	7	0.14
acph	163	<s>	1016	6233.13
acph	163	<eid>	383	2349.69
acph	163	<syns>	383	2349.69
acph	163	<L>	163	1000.0
acph	163	<pc>	163	1000.0
acph	163	<info>	163	1000.0
acph	163	<LEND>	163	1000.0
acsj	240	<s>	1020	4250.0
acsj	240	<eid>	491	2045.83
acsj	240	<syns>	491	2045.83
acsj	240	<L>	240	1000.0
acsj	240	<pc>	240	1000.0
acsj	240	<info>	240	1000.0
acsj	240	<LEND>	240	1000.0
ae	11359	<s>	72856	6413.94
ae	11359	<ab>	35746	3146.93
ae	11359	{@...@}	33947	2988.56
ae	11359	<lex>	22879	2014.17
ae	11359	<L>	11359	1000.0
ae	11359	<pc>	11359	1000.0
ae	11359	<k1>	11359	1000.0
ae	11359	<k2>	11359	1000.0
ae	11359	<LEND>	11359	1000.0
ae	11359	<i>	3028	266.57
ae	11359	<ls>	1141	100.45
ae	11359	<H>	26	2.29
ae	11359	{%...%}	2	0.18
ap	90843	{#...#}	235116	2588.16
ap	90843	<L>	90843	1000.0
ap	90843	<pc>	90843	1000.0
ap	90843	<k1>	90843	1000.0
ap	90843	<k2>	90843	1000.0
ap	90843	<e>	90843	1000.0
ap	90843	<LEND>	90843	1000.0
ap	90843	<ls>	68273	751.55
ap	90843	{%...%}	36807	405.17
ap	90843	<ab>	32860	361.72
ap	90843	<lex>	30184	332.27
ap	90843	{@...@}	15515	170.79
ap	90843	<lang>	1538	16.93
ap	90843	<ns>	1309	14.41
ap	90843	<sab>	468	5.15
ap	90843	<hom>	12	0.13
ap	90843	<is>	10	0.11
ap	90843	<h>	10	0.11
ap	90843	<HS>	2	0.02
ap	90843	<Poem>	1	0.01
ap90	34882	{#...#}	134401	3853.02
ap90	34882	{@...@}	72535	2079.44
ap90	34882	<lbinfo>	47034	1348.37
ap90	34882	<ab>	46066	1320.62
ap90	34882	<ls>	43892	1258.3
ap90	34882	<L>	34882	1000.0
ap90	34882	<pc>	34882	1000.0
ap90	34882	<k1>	34882	1000.0
ap90	34882	<k2>	34882	1000.0
ap90	34882	<LEND>	34882	1000.0
ap90	34882	{%...%}	31345	898.6
ap90	34882	<P>	38	1.09
ap90	34882	<h>	9	0.26
armh	7907	<L>	7907	1000.0
armh	7907	<pc>	7907	1000.0
armh	7907	<k1>	7907	1000.0
armh	7907	<k2>	7907	1000.0
armh	7907	<vn>	7907	1000.0
armh	7907	<LEND>	7907	1000.0
ben	17310	<ab>	68327	3947.26
ben	17310	{%...%}	57486	3320.97
ben	17310	<ls>	49234	2844.25
ben	17310	{@...@}	38339	2214.85
ben	17310	{#...#}	22136	1278.8
